m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,9.4,12.3,15.8,13.8,9.0,0.3,55.0
2,10.7,13.5,17.2,12.1,10.0,0.34,34.0
3,11.1,14.4,18.0,14.4,12.0,0.39,48.0
4,12.9,16.0,20.2,14.2,14.0,0.45,57.0
5,15.6,19.5,24.7,16.1,6.0,0.18,7.0
6,16.8,20.1,24.4,15.7,9.0,0.3,14.0
7,18.4,22.7,28.1,15.9,1.0,0.04,0.0
8,18.8,22.5,28.2,15.4,3.0,0.11,16.0
9,18.6,22.0,26.9,13.1,7.0,0.24,16.0
10,16.2,18.6,22.4,12.8,12.0,0.39,36.0
11,13.0,15.5,18.5,12.1,15.0,0.49,52.0
12,10.6,13.0,16.3,13.1,13.0,0.41,77.0
