m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,9.0,13.3,11.3,84.5,9.8,0.05
1,1,1,8.5,13.2,11.1,85.0,9.4,0.06
1,1,2,8.3,13.3,11.0,85.5,9.6,0.06
1,1,3,8.1,13.1,10.8,87.3,10.0,0.06
1,1,4,7.7,13.0,10.4,87.5,10.6,0.06
1,1,5,7.1,12.7,10.0,88.0,10.7,0.1
1,1,6,6.5,12.9,9.8,88.5,10.1,0.06
1,1,7,6.8,12.6,9.9,89.5,11.3,0.06
1,1,8,6.8,13.3,10.1,88.5,11.7,0.06
1,1,9,6.9,13.9,10.5,87.8,11.4,0.08
1,1,10,7.8,14.7,11.5,84.0,11.1,0.13
1,1,11,9.5,15.7,12.5,79.0,11.8,0.13
1,1,12,10.5,16.2,13.2,72.8,13.5,0.13
1,1,13,11.3,16.6,14.0,72.0,13.9,0.12
1,1,14,12.1,16.7,14.2,70.3,13.4,0.16
1,1,15,13.0,16.3,14.5,68.3,14.3,0.1
1,1,16,13.0,16.2,14.4,70.5,13.6,0.12
1,1,17,12.1,15.9,13.9,73.8,12.9,0.12
1,1,18,11.1,14.9,13.0,79.0,10.8,0.1
1,1,19,10.9,14.3,12.8,79.0,11.5,0.16
1,1,20,10.4,14.1,12.5,80.3,10.9,0.1
1,1,21,10.0,13.9,12.2,81.3,10.5,0.08
1,1,22,9.8,13.7,12.0,82.0,10.2,0.08
1,1,23,9.4,13.6,11.6,82.5,10.5,0.04
1,2,0,8.8,13.1,11.1,84.5,12.9,0.12
1,2,1,8.8,13.7,11.4,86.0,13.1,0.08
1,2,2,8.3,13.7,11.3,87.3,13.3,0.12
1,2,3,8.0,13.7,11.0,87.3,13.5,0.08
1,2,4,7.5,13.6,10.8,88.0,13.9,0.12
1,2,5,7.1,13.8,10.6,88.3,13.5,0.16
1,2,6,6.5,14.1,10.4,87.3,13.2,0.08
1,2,7,6.6,13.7,10.3,89.8,14.3,0.08
1,2,8,6.4,13.5,10.1,89.3,14.1,0.08
1,2,9,6.9,14.1,10.4,87.5,13.9,0.1
1,2,10,8.2,14.4,11.5,82.0,14.6,0.1
1,2,11,9.4,14.6,12.2,77.8,15.2,0.1
1,2,12,10.7,15.4,13.3,72.8,15.0,0.09
1,2,13,11.8,15.7,14.0,70.0,14.8,0.14
1,2,14,12.4,16.0,14.2,70.5,14.9,0.1
1,2,15,12.7,15.7,14.5,69.3,14.1,0.12
1,2,16,12.4,15.6,14.2,70.0,14.2,0.04
1,2,17,11.8,15.3,13.8,74.0,13.3,0.1
1,2,18,11.4,14.5,12.9,76.0,13.0,0.11
1,2,19,10.8,14.1,12.5,79.3,12.7,0.14
1,2,20,10.4,13.7,12.1,80.5,13.4,0.12
1,2,21,9.9,13.4,11.7,82.5,12.3,0.14
1,2,22,9.6,13.5,11.5,84.5,12.7,0.12
1,2,23,9.4,13.3,11.4,85.5,13.4,0.14
1,3,0,10.1,13.5,12.1,85.0,12.3,0.08
1,3,1,9.4,13.1,11.6,86.0,12.8,0.13
1,3,2,9.1,13.3,11.4,86.5,12.6,0.17
1,3,3,9.0,13.5,11.2,85.5,13.0,0.13
1,3,4,8.7,13.2,11.1,86.0,12.6,0.15
1,3,5,8.7,13.2,11.0,87.5,13.0,0.11
1,3,6,8.7,13.3,11.1,88.0,13.9,0.12
1,3,7,8.5,13.3,10.9,88.0,13.1,0.13
1,3,8,8.5,13.3,10.9,87.0,13.5,0.05
1,3,9,8.8,13.8,11.1,84.0,14.4,0.05
1,3,10,10.3,14.2,12.2,80.0,15.8,0.06
1,3,11,11.6,15.1,13.5,76.0,17.1,0.05
1,3,12,12.1,16.0,14.3,72.0,17.2,0.07
1,3,13,13.3,16.3,14.8,70.5,16.8,0.07
1,3,14,13.3,17.0,15.4,69.0,16.6,0.09
1,3,15,13.5,17.3,15.8,67.0,16.3,0.11
1,3,16,13.0,17.3,15.4,68.0,15.9,0.1
1,3,17,12.2,16.8,14.7,73.5,14.7,0.13
1,3,18,12.0,15.3,13.6,78.0,14.4,0.12
1,3,19,11.1,14.5,12.8,79.5,14.3,0.12
1,3,20,11.0,14.3,12.4,80.5,14.1,0.08
1,3,21,10.6,14.2,12.3,83.5,13.9,0.11
1,3,22,10.0,14.1,12.2,84.0,14.4,0.04
1,3,23,10.0,13.9,12.1,84.5,13.9,0.05
2,1,0,9.5,13.4,11.4,82.8,12.3,0.08
2,1,1,9.1,13.3,11.0,83.8,13.5,0.15
2,1,2,8.8,13.2,10.8,86.0,12.5,0.15
2,1,3,8.6,12.8,10.5,85.5,11.6,0.13
2,1,4,8.3,12.6,10.3,86.3,13.5,0.13
2,1,5,8.0,12.6,10.3,85.5,12.6,0.2
2,1,6,7.9,12.0,9.8,84.5,11.7,0.17
2,1,7,7.8,12.6,10.1,84.5,13.3,0.13
2,1,8,7.2,12.2,9.6,86.0,13.6,0.13
2,1,9,8.7,12.8,10.9,82.0,12.5,0.18
2,1,10,9.3,13.5,11.5,78.3,15.0,0.18
2,1,11,10.6,14.6,12.5,73.5,15.8,0.23
2,1,12,12.1,15.6,13.8,69.0,14.6,0.16
2,1,13,12.8,16.6,14.8,66.0,16.8,0.18
2,1,14,12.8,17.3,15.2,63.8,16.3,0.15
2,1,15,13.1,17.7,15.4,62.5,14.9,0.15
2,1,16,12.6,17.5,15.1,65.5,16.4,0.1
2,1,17,12.1,16.6,14.4,67.3,15.4,0.15
2,1,18,11.6,15.3,13.5,73.0,13.2,0.12
2,1,19,11.5,14.6,13.2,76.5,13.1,0.13
2,1,20,10.9,14.1,12.8,77.8,13.1,0.1
2,1,21,10.8,13.9,12.4,77.5,12.2,0.13
2,1,22,10.1,13.5,12.0,80.8,11.6,0.15
2,1,23,10.0,13.5,11.6,83.0,11.3,0.1
2,2,0,11.1,13.6,12.4,84.8,9.2,0.03
2,2,1,11.0,13.2,12.1,87.3,9.9,0.05
2,2,2,10.5,13.2,11.9,88.8,11.0,0.08
2,2,3,10.3,13.2,11.8,88.8,9.2,0.05
2,2,4,10.1,13.1,11.6,89.3,9.9,0.1
2,2,5,9.7,12.9,11.4,89.8,9.9,0.1
2,2,6,9.4,12.7,11.2,90.0,9.4,0.09
2,2,7,9.3,12.9,11.0,90.8,10.3,0.1
2,2,8,9.6,12.9,11.1,91.5,10.3,0.13
2,2,9,10.3,13.6,12.1,86.8,10.9,0.2
2,2,10,11.6,14.5,13.2,82.8,11.3,0.18
2,2,11,12.8,15.3,14.2,76.8,13.3,0.13
2,2,12,13.6,16.3,15.1,72.0,13.6,0.08
2,2,13,14.4,17.4,16.2,68.8,13.4,0.13
2,2,14,14.8,18.2,16.7,66.5,12.6,0.15
2,2,15,15.0,18.5,17.0,65.0,12.2,0.13
2,2,16,15.1,18.5,16.9,64.5,12.9,0.13
2,2,17,14.5,17.7,16.1,67.5,13.8,0.13
2,2,18,13.4,16.8,15.2,71.5,12.9,0.14
2,2,19,12.8,15.2,14.1,77.8,12.2,0.13
2,2,20,12.5,14.8,13.7,81.0,12.2,0.18
2,2,21,12.0,14.4,13.2,82.8,12.6,0.1
2,2,22,11.5,14.0,12.8,83.5,11.7,0.15
2,2,23,11.0,13.8,12.5,84.5,12.4,0.15
2,3,0,11.0,13.7,12.1,80.0,12.2,0.1
2,3,1,11.0,13.1,11.9,79.5,11.3,0.11
2,3,2,10.9,12.8,11.9,80.0,11.9,0.14
2,3,3,10.7,12.4,11.3,80.0,10.0,0.11
2,3,4,10.6,12.1,11.3,82.5,12.1,0.11
2,3,5,10.0,11.8,10.9,84.5,11.5,0.14
2,3,6,9.6,11.7,10.7,86.0,11.6,0.07
2,3,7,10.0,11.6,10.6,85.0,12.8,0.06
2,3,8,10.0,12.1,10.5,84.0,13.1,0.08
2,3,9,10.7,12.7,11.5,80.0,13.7,0.03
2,3,10,11.6,14.2,12.9,75.0,15.8,0.03
2,3,11,12.5,15.6,14.0,70.5,14.4,0.11
2,3,12,13.5,17.1,15.3,65.5,14.5,0.09
2,3,13,14.4,18.4,16.1,63.0,14.4,0.08
2,3,14,14.0,19.0,17.0,60.5,15.2,0.11
2,3,15,14.7,19.9,16.9,58.5,14.8,0.14
2,3,16,14.7,19.5,16.9,59.0,16.1,0.14
2,3,17,14.2,18.5,16.3,63.0,16.5,0.03
2,3,18,13.4,16.0,14.9,65.0,15.1,0.11
2,3,19,12.1,15.5,13.9,72.0,14.6,0.08
2,3,20,12.0,14.8,13.2,76.0,14.6,0.06
2,3,21,11.7,14.3,13.0,74.5,13.7,0.11
2,3,22,11.5,14.0,12.6,78.0,12.8,0.06
2,3,23,11.3,14.0,12.4,78.5,11.9,0.06
3,1,0,11.1,13.4,12.1,85.0,13.5,0.08
3,1,1,11.0,13.1,12.1,85.0,13.5,0.15
3,1,2,11.0,12.9,12.0,85.8,13.1,0.1
3,1,3,10.8,12.8,11.9,85.5,13.4,0.1
3,1,4,10.8,13.0,11.8,85.5,13.0,0.1
3,1,5,10.3,13.0,11.7,85.5,13.9,0.15
3,1,6,9.6,13.1,11.4,85.3,12.7,0.15
3,1,7,10.1,12.6,11.6,86.5,13.2,0.15
3,1,8,10.6,13.2,12.0,85.3,13.5,0.1
3,1,9,11.6,14.1,12.9,81.0,14.6,0.13
3,1,10,12.1,14.7,13.5,77.3,15.3,0.15
3,1,11,13.1,15.2,14.3,74.5,16.1,0.13
3,1,12,13.8,16.7,15.2,68.8,15.9,0.27
3,1,13,13.9,16.5,15.2,67.0,19.0,0.23
3,1,14,14.0,16.8,15.4,65.8,20.0,0.25
3,1,15,14.1,17.1,15.4,64.8,19.5,0.23
3,1,16,14.0,16.5,15.2,67.8,18.3,0.23
3,1,17,13.6,16.0,14.6,71.5,20.2,0.18
3,1,18,12.8,15.3,13.9,75.8,16.8,0.14
3,1,19,12.1,14.6,13.2,78.5,17.8,0.2
3,1,20,11.7,14.1,12.8,82.5,17.0,0.18
3,1,21,11.6,13.9,12.7,82.0,16.1,0.13
3,1,22,11.2,13.8,12.5,85.0,14.9,0.1
3,1,23,11.2,13.7,12.4,85.3,14.8,0.13
3,2,0,11.4,14.5,12.9,82.0,11.1,0.06
3,2,1,11.5,14.0,12.6,81.0,12.5,0.03
3,2,2,11.1,13.7,12.3,83.0,13.0,0.03
3,2,3,10.9,13.7,12.3,82.5,13.0,0.03
3,2,4,10.8,13.5,12.0,82.5,11.9,0.05
3,2,5,10.4,13.4,11.9,84.3,12.4,0.03
3,2,6,10.3,13.0,11.5,83.5,12.5,0.09
3,2,7,10.3,12.7,11.5,83.8,12.1,0.08
3,2,8,10.8,13.5,12.2,81.3,14.6,0.05
3,2,9,12.1,15.0,13.6,76.8,14.6,0.05
3,2,10,13.2,16.0,14.6,69.8,14.9,0.08
3,2,11,14.6,17.0,15.7,67.0,15.3,0.05
3,2,12,15.2,17.9,16.5,62.8,15.2,0.06
3,2,13,15.7,19.2,17.3,61.5,16.1,0.08
3,2,14,15.9,20.0,17.7,61.8,16.7,0.1
3,2,15,15.7,20.3,17.9,61.8,17.0,0.05
3,2,16,15.2,19.9,17.4,62.5,17.7,0.05
3,2,17,14.5,18.9,16.5,64.5,17.4,0.08
3,2,18,14.0,18.4,15.9,67.8,14.6,0.05
3,2,19,13.0,16.4,14.6,73.8,16.5,0.08
3,2,20,12.4,15.6,13.8,77.0,15.0,0.05
3,2,21,12.1,15.1,13.5,76.5,13.3,0.08
3,2,22,11.8,14.7,13.3,78.8,13.6,0.05
3,2,23,11.3,14.6,12.7,78.8,12.8,0.05
3,3,0,11.2,15.4,13.1,79.5,10.2,0.12
3,3,1,10.7,15.2,13.1,80.0,12.1,0.16
3,3,2,11.0,15.0,12.7,81.0,13.6,0.07
3,3,3,11.0,14.5,12.7,81.5,12.7,0.09
3,3,4,10.0,14.4,12.4,83.0,13.5,0.09
3,3,5,10.0,14.2,12.3,83.0,12.1,0.07
3,3,6,10.0,13.8,11.9,80.5,11.1,0.05
3,3,7,10.1,14.2,12.2,83.0,13.1,0.09
3,3,8,11.0,14.6,12.9,79.0,14.0,0.09
