m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,15.1,17.1,16.3,76.5,17.9,0.15
1,1,15.0,17.0,16.1,76.5,18.8,0.19
1,2,15.1,17.0,16.0,77.0,18.4,0.18
1,3,15.0,17.0,16.1,76.5,18.2,0.13
1,4,15.0,17.0,16.0,77.0,18.5,0.16
1,5,15.0,17.0,16.0,78.0,18.9,0.16
1,6,14.8,17.0,15.9,77.5,18.4,0.15
1,7,14.8,17.0,15.9,78.5,19.1,0.16
1,8,14.8,17.1,15.8,78.0,19.3,0.15
1,9,15.0,17.3,16.2,77.0,18.9,0.14
1,10,15.8,18.0,16.8,74.5,19.5,0.16
1,11,16.1,18.5,17.4,72.5,19.8,0.18
1,12,16.7,19.0,17.9,71.0,21.1,0.18
1,13,16.6,19.5,18.1,71.5,20.9,0.19
1,14,16.7,19.1,18.0,71.5,21.1,0.19
1,15,16.6,19.0,18.0,72.0,22.4,0.16
1,16,16.5,19.0,17.8,71.0,23.0,0.19
1,17,16.2,18.6,17.5,73.0,20.4,0.17
1,18,16.0,18.0,16.9,74.0,20.4,0.1
1,19,16.0,17.9,16.7,74.5,20.7,0.1
1,20,15.6,17.7,16.5,74.5,20.6,0.13
1,21,15.3,17.4,16.4,75.5,19.5,0.14
1,22,15.3,17.3,16.4,75.5,18.5,0.12
1,23,15.0,17.1,16.2,76.0,18.7,0.13
2,0,15.0,17.0,16.1,75.5,19.5,0.11
2,1,15.0,17.0,16.2,77.0,19.5,0.1
2,2,14.8,17.0,15.9,77.0,17.7,0.09
2,3,14.7,16.9,15.6,77.0,17.6,0.05
2,4,14.3,16.9,15.6,77.5,18.0,0.1
2,5,14.4,16.0,15.6,76.5,17.1,0.09
2,6,14.4,16.1,15.5,77.0,18.9,0.1
2,7,14.6,16.3,15.5,76.5,17.7,0.06
2,8,14.6,16.4,15.6,76.5,18.9,0.09
2,9,15.1,17.0,16.1,74.5,17.8,0.06
2,10,15.8,18.0,16.8,72.5,18.9,0.08
2,11,16.1,18.6,17.4,70.0,19.8,0.08
2,12,16.6,19.6,18.1,68.5,19.4,0.12
2,13,16.7,20.0,18.2,68.0,19.7,0.12
2,14,16.7,20.0,18.3,69.5,20.2,0.16
2,15,16.6,19.8,18.2,69.0,19.3,0.15
2,16,16.4,19.0,17.9,68.5,20.4,0.21
2,17,16.0,19.0,17.5,70.5,19.5,0.17
2,18,16.0,18.1,17.2,71.0,18.6,0.15
2,19,15.7,17.8,16.8,73.5,17.7,0.14
2,20,15.5,17.8,16.6,73.5,18.0,0.11
2,21,15.3,17.6,16.4,74.0,18.4,0.1
2,22,15.0,17.1,16.3,74.0,19.3,0.09
2,23,15.1,17.2,16.3,75.5,18.6,0.12
3,0,15.0,16.7,15.8,75.0,18.4,0.1
3,1,15.0,16.2,15.6,76.0,18.6,0.13
3,2,14.9,16.1,15.6,75.5,18.6,0.13
3,3,14.8,16.1,15.6,76.0,19.1,0.11
3,4,14.8,16.0,15.5,77.0,18.6,0.13
3,5,14.6,16.0,15.4,76.0,18.6,0.13
3,6,14.6,16.0,15.5,76.5,18.2,0.11
3,7,14.4,16.0,15.3,76.5,16.8,0.14
3,8,14.7,16.1,15.4,75.5,18.0,0.14
3,9,15.1,17.2,16.3,72.5,18.4,0.09
3,10,15.7,18.0,17.1,70.5,19.5,0.14
3,11,16.0,19.0,17.5,68.5,20.6,0.13
3,12,16.5,19.0,17.9,66.5,20.9,0.18
3,13,16.6,19.7,18.2,67.5,20.7,0.2
3,14,16.7,19.5,18.3,67.5,21.8,0.21
3,15,16.6,19.4,18.2,67.5,21.5,0.15
3,16,16.6,19.0,17.9,68.0,20.9,0.17
3,17,16.1,19.0,17.5,70.0,20.9,0.19
3,18,16.0,18.0,17.2,70.5,20.4,0.16
3,19,15.7,18.0,16.7,72.5,18.7,0.14
3,20,15.5,17.0,16.5,73.5,18.6,0.11
3,21,15.0,17.0,16.1,74.5,17.7,0.12
3,22,15.1,17.0,16.1,75.5,19.1,0.14
3,23,15.0,16.9,15.9,76.0,18.4,0.13
4,0,15.9,17.1,16.5,73.8,15.8,0.1
4,1,15.6,17.0,16.3,74.3,16.0,0.09
4,2,15.3,17.0,16.3,74.3,14.9,0.12
4,3,15.0,17.0,16.1,74.5,15.7,0.1
4,4,15.0,17.0,16.0,74.0,15.7,0.09
4,5,15.0,16.8,15.8,74.5,14.9,0.09
4,6,15.0,16.6,16.0,75.0,15.4,0.09
4,7,15.0,16.8,16.0,74.0,16.0,0.07
4,8,15.9,18.0,16.9,71.3,16.1,0.05
4,9,16.4,18.7,17.6,69.3,16.5,0.08
4,10,17.0,19.0,18.1,67.8,19.0,0.08
4,11,17.1,20.0,18.7,67.5,19.2,0.13
4,12,17.4,20.2,19.0,66.8,20.6,0.17
4,13,17.4,20.4,19.0,66.5,20.5,0.17
4,14,17.9,20.8,19.3,65.3,21.9,0.18
4,15,17.9,20.7,19.1,66.0,21.2,0.12
4,16,17.6,20.0,19.0,67.0,20.4,0.22
4,17,17.1,20.0,18.6,68.5,20.6,0.2
4,18,17.0,19.2,18.4,69.5,19.2,0.17
4,19,16.7,18.9,17.9,70.3,16.8,0.18
4,20,16.0,18.0,17.3,72.8,16.5,0.17
4,21,16.0,17.9,17.0,72.8,16.0,0.13
4,22,16.0,17.7,16.9,73.3,16.0,0.07
4,23,16.0,17.3,16.6,74.3,15.6,0.08
5,0,17.0,18.4,17.6,75.0,16.8,0.06
5,1,17.0,18.2,17.6,75.0,16.6,0.04
5,2,17.0,18.1,17.5,75.5,16.4,0.04
5,3,16.6,18.0,17.4,75.5,15.9,0.05
5,4,16.4,18.0,17.2,75.0,16.9,0.06
5,5,16.6,17.9,17.2,75.5,16.8,0.04
5,6,16.3,17.8,17.2,75.0,16.8,0.04
5,7,16.5,18.0,17.3,74.5,16.8,0.02
5,8,17.0,19.0,18.0,72.0,17.1,0.02
5,9,17.8,20.0,18.8,68.5,18.4,0.03
5,10,18.1,21.0,19.5,67.5,19.8,0.06
5,11,18.5,21.3,20.0,66.5,20.0,0.09
5,12,18.8,22.0,20.4,65.5,20.4,0.14
5,13,19.0,22.0,20.4,65.0,20.0,0.15
5,14,19.0,22.0,20.5,65.5,20.0,0.18
5,15,19.0,22.0,20.6,68.0,19.5,0.12
5,16,19.0,22.0,20.4,68.5,19.6,0.2
5,17,18.4,21.5,20.0,69.0,19.7,0.21
5,18,18.0,20.8,19.5,69.5,19.1,0.19
5,19,18.0,20.0,19.1,71.0,18.2,0.15
5,20,17.5,19.1,18.4,73.0,18.0,0.11
5,21,17.0,19.0,18.1,73.0,17.3,0.09
5,22,17.1,19.0,18.0,73.0,17.3,0.08
5,23,17.0,18.9,18.0,74.5,17.5,0.09
6,0,18.2,20.0,19.1,75.5,15.5,0.09
6,1,18.0,20.0,19.0,75.5,15.3,0.09
6,2,18.0,19.6,18.8,76.8,14.7,0.08
6,3,18.0,19.5,18.8,76.5,15.0,0.08
6,4,17.9,19.6,18.8,76.3,14.7,0.08
6,5,17.7,19.7,18.7,77.5,14.9,0.07
6,6,17.6,19.6,18.5,76.5,14.5,0.1
6,7,18.0,19.9,18.8,74.5,14.9,0.08
6,8,18.6,21.0,19.7,73.5,14.5,0.09
6,9,19.0,21.0,20.0,71.0,16.3,0.08
6,10,19.5,22.0,20.7,71.0,16.9,0.12
6,11,20.0,22.1,21.2,70.0,17.3,0.17
6,12,20.0,23.0,21.5,69.8,18.2,0.14
6,13,20.4,23.0,21.7,69.8,17.9,0.18
6,14,20.4,23.0,21.7,70.0,18.0,0.23
6,15,20.1,23.0,21.5,70.0,18.8,0.14
6,16,20.2,23.0,21.6,70.5,17.7,0.19
6,17,20.0,22.2,21.3,70.8,16.8,0.18
6,18,19.9,21.9,20.9,71.8,17.0,0.15
6,19,19.3,21.3,20.5,73.0,16.8,0.16
6,20,19.0,21.0,20.0,74.0,15.8,0.13
6,21,18.9,20.8,19.7,75.3,15.9,0.11
6,22,18.7,20.4,19.5,75.5,15.9,0.08
6,23,18.5,20.0,19.3,75.3,15.5,0.07
7,0,20.0,21.3,20.7,75.0,15.7,0.01
7,1,19.9,21.1,20.5,75.5,15.1,0.02
7,2,19.6,21.0,20.5,76.5,15.9,0.01
7,3,19.7,21.0,20.3,76.5,15.7,0.02
7,4,19.5,21.0,20.3,78.0,15.3,0.02
7,5,19.5,21.0,20.2,78.0,16.2,0.02
7,6,19.3,21.0,20.2,78.5,15.8,0.03
7,7,19.6,21.0,20.4,77.0,15.3,0.02
7,8,20.6,22.0,21.5,73.5,16.4,0.01
7,9,21.2,23.0,22.2,71.0,17.5,0.02
7,10,21.7,24.0,22.8,69.0,18.2,0.02
7,11,22.0,24.4,23.2,68.0,18.0,0.02
7,12,22.4,25.0,23.7,68.0,18.6,0.03
7,13,22.7,25.0,24.0,67.0,19.0,0.03
7,14,23.0,25.2,24.1,67.0,19.5,0.06
7,15,22.6,25.0,24.0,67.5,19.8,0.05
7,16,22.6,25.0,23.9,68.5,18.9,0.09
7,17,22.4,25.0,23.6,68.5,19.1,0.09
7,18,22.0,24.0,23.2,70.0,18.9,0.06
7,19,21.8,23.0,22.5,71.0,18.4,0.06
7,20,21.0,22.1,21.7,73.5,17.3,0.03
7,21,20.9,22.0,21.5,74.5,17.1,0.02
7,22,20.6,22.0,21.2,75.0,16.2,0.02
7,23,20.4,22.0,21.1,75.0,16.6,0.01
8,0,21.0,22.9,22.0,75.5,18.6,0.01
8,1,21.0,23.0,21.9,76.0,19.3,0.02
8,2,20.9,22.4,21.8,75.5,18.4,0.02
8,3,20.7,22.3,21.7,75.5,18.2,0.02
8,4,20.6,22.3,21.5,75.0,17.7,0.01
8,5,20.6,22.1,21.4,75.5,17.1,0.02
8,6,20.3,22.0,21.2,76.0,17.7,0.04
8,7,20.5,22.0,21.4,75.5,17.1,0.03
8,8,21.2,23.0,22.2,73.0,18.0,0.03
8,9,22.0,24.0,23.1,69.0,18.8,0.01
8,10,22.5,25.0,23.8,66.0,20.6,0.02
8,11,22.8,26.0,24.3,65.5,21.5,0.06
8,12,23.0,26.4,24.8,64.0,21.6,0.06
8,13,23.2,27.0,25.0,66.5,21.5,0.08
8,14,23.5,27.0,25.0,66.0,21.3,0.09
8,15,23.6,26.4,24.9,65.5,21.6,0.06
8,16,23.4,26.1,24.9,67.0,21.3,0.09
8,17,23.2,25.9,24.5,68.5,21.3,0.1
8,18,23.0,25.0,24.1,69.5,20.6,0.07
8,19,22.6,24.0,23.3,71.5,19.1,0.11
8,20,22.0,23.6,22.7,72.5,19.5,0.07
8,21,22.0,23.2,22.5,72.5,19.1,0.05
8,22,21.6,23.0,22.5,73.5,19.6,0.05
