m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,6.0,11.2,16.0,0.0,11.2,0.33
1,1,2,7.3,11.5,15.7,0.2,8.6,0.67
1,1,3,5.5,10.1,16.0,0.2,6.6,0.67
1,1,4,6.7,10.6,15.5,0.3,10.1,0.67
1,1,5,4.2,9.4,15.0,5.1,9.1,0.67
1,1,6,2.1,7.8,14.0,0.2,6.9,0.67
1,1,7,3.0,8.7,15.3,0.0,9.4,0.33
1,1,8,6.8,11.0,13.6,13.5,10.8,1.0
1,1,9,5.7,10.5,14.5,0.7,8.6,1.0
1,1,10,7.3,11.1,15.1,0.9,10.1,1.0
1,2,11,4.5,10.1,14.5,1.2,6.8,1.0
1,2,12,2.1,8.1,15.0,0.0,6.8,0.0
1,2,13,4.5,8.7,14.5,0.0,7.9,0.33
1,2,14,5.5,10.1,14.5,0.0,11.7,0.33
1,2,15,7.8,11.4,16.0,2.2,11.0,0.67
1,2,16,6.0,10.6,15.0,2.1,12.9,0.67
1,2,17,6.5,10.1,15.7,11.3,12.8,0.67
1,2,18,6.5,10.3,14.5,7.9,11.9,0.67
1,2,19,5.5,10.5,14.2,4.2,14.1,1.0
1,2,20,7.5,10.8,14.6,2.1,14.2,0.67
1,3,21,7.8,11.3,15.2,0.0,13.0,0.33
1,3,22,7.5,11.0,15.0,0.0,12.0,0.33
1,3,23,7.9,11.6,14.7,0.0,11.1,0.33
1,3,24,6.5,10.6,14.5,0.0,11.5,0.33
1,3,25,5.5,11.2,15.0,0.0,8.1,0.33
1,3,26,6.2,12.1,16.2,0.0,7.9,0.33
1,3,27,9.5,13.2,15.5,0.0,14.7,0.33
1,3,28,8.4,12.1,15.5,0.0,11.5,0.33
1,3,29,7.5,12.5,16.7,0.0,10.5,0.33
1,3,30,10.5,12.9,16.5,0.0,12.1,0.33
1,3,31,7.5,11.3,16.1,0.0,11.4,0.0
2,1,1,6.9,11.8,16.5,0.0,8.3,0.33
2,1,2,9.5,11.8,17.5,0.0,15.1,0.33
2,1,3,6.5,11.3,17.5,0.0,9.6,0.0
2,1,4,5.5,10.0,16.0,0.0,7.1,0.0
2,1,5,4.0,10.3,16.6,0.0,7.6,0.0
2,1,6,6.0,10.2,16.1,0.0,9.5,0.0
2,1,7,7.7,11.8,17.0,0.7,10.2,0.67
2,1,8,7.9,11.4,15.7,3.9,11.3,0.67
2,1,9,9.5,13.1,16.7,9.4,11.3,0.67
2,1,10,8.9,12.9,16.5,0.5,10.6,0.67
2,2,11,10.3,12.5,16.5,6.7,11.4,0.67
2,2,12,9.0,12.5,16.7,0.3,8.0,0.67
2,2,13,10.0,13.1,17.5,0.2,9.1,0.67
2,2,14,9.0,13.2,19.0,0.5,14.6,0.67
2,2,15,8.7,13.5,18.8,0.7,12.4,0.67
2,2,16,7.5,12.8,18.0,0.1,8.6,0.67
2,2,17,7.5,12.6,17.8,0.0,9.1,0.0
2,2,18,10.0,12.1,16.0,0.2,11.0,0.67
2,2,19,7.0,11.8,16.1,0.0,12.8,0.33
2,2,20,6.5,11.6,18.0,0.0,7.7,0.33
2,3,21,7.5,12.3,17.1,0.0,9.3,0.33
2,3,22,7.5,12.3,18.5,4.5,11.3,1.0
2,3,23,8.0,12.4,18.6,0.4,12.7,0.67
2,3,24,7.3,12.0,16.7,1.5,11.6,1.0
2,3,25,9.5,13.4,17.4,2.5,10.8,1.0
2,3,26,8.0,11.4,16.2,0.2,9.9,0.67
2,3,27,8.1,12.0,15.5,0.1,10.7,0.67
2,3,28,6.4,11.4,17.5,0.0,9.2,0.33
2,3,29,11.0,13.3,15.5,0.4,16.9,1.0
3,1,1,8.7,12.2,15.9,2.1,8.6,0.67
