m,coco,coco_pct
3,7.0,0.05
12,9.0,0.014
2,3.0,0.581
10,4.0,0.039
9,7.0,0.022
9,18.0,0.026
11,7.0,0.04
8,8.0,0.008
9,1.0,0.0
3,1.0,0.0
12,2.0,0.156
9,2.0,0.44
11,4.0,0.077
10,7.0,0.04
10,17.0,0.015
2,25.0,0.0
3,18.0,0.046
4,4.0,0.051
5,3.0,0.53
11,1.0,0.0
10,1.0,0.0
5,7.0,0.059
1,4.0,0.151
8,1.0,0.0
5,17.0,0.01
6,8.0,0.015
8,2.0,0.622
5,4.0,0.069
5,5.0,0.0
7,17.0,0.003
12,25.0,0.0
3,4.0,0.049
9,4.0,0.003
7,7.0,0.005
8,5.0,0.0
5,2.0,0.267
4,2.0,0.209
1,1.0,0.0
9,9.0,0.0
5,1.0,0.0
3,8.0,0.023
11,25.0,0.0
6,1.0,0.0
5,25.0,0.0
7,4.0,0.01
6,25.0,0.0
1,17.0,0.012
5,9.0,0.003
11,18.0,0.049
6,18.0,0.046
7,2.0,0.575
3,2.0,0.185
6,17.0,0.015
7,25.0,0.0
11,9.0,0.011
12,18.0,0.086
4,5.0,0.0
2,4.0,0.072
8,3.0,0.305
7,1.0,0.001
4,18.0,0.06
8,17.0,0.005
9,25.0,0.0
11,5.0,0.0
3,9.0,0.007
4,3.0,0.574
7,8.0,0.004
2,7.0,0.06
2,9.0,0.014
10,18.0,0.07
10,2.0,0.199
2,17.0,0.019
6,9.0,0.003
9,5.0,0.0
1,5.0,0.0
8,9.0,0.001
1,8.0,0.039
6,5.0,0.005
11,2.0,0.177
8,25.0,0.0
1,9.0,0.011
10,8.0,0.03
2,8.0,0.035
2,18.0,0.035
11,8.0,0.037
12,7.0,0.061
2,5.0,0.0
1,2.0,0.125
12,3.0,0.554
12,8.0,0.034
7,3.0,0.393
8,4.0,0.006
2,1.0,0.0
4,1.0,0.001
11,3.0,0.595
10,25.0,0.0
10,9.0,0.008
4,8.0,0.028
6,2.0,0.399
8,7.0,0.02
12,4.0,0.079
3,5.0,0.003
8,18.0,0.033
10,3.0,0.6
3,17.0,0.018
2,2.0,0.185
7,5.0,0.0
4,17.0,0.022
5,18.0,0.042
6,3.0,0.488
12,1.0,0.0
4,9.0,0.011
10,5.0,0.0
7,9.0,0.0
9,3.0,0.497
11,17.0,0.014
4,25.0,0.0
9,17.0,0.006
1,25.0,0.0
6,4.0,0.005
4,7.0,0.046
3,3.0,0.619
3,25.0,0.0
12,17.0,0.017
5,8.0,0.02
1,18.0,0.045
7,18.0,0.009
1,7.0,0.062
9,8.0,0.007
12,5.0,0.0
6,7.0,0.023
1,3.0,0.556
