m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,6.2,12.0,9.3,85.0,9.3,0.2
1,1,6.0,11.9,9.1,85.5,9.3,0.18
1,2,5.7,11.9,8.9,86.5,9.3,0.19
1,3,5.3,11.7,8.7,86.5,9.3,0.2
1,4,5.2,11.8,8.7,87.5,9.3,0.18
1,5,4.8,11.6,8.5,87.5,10.2,0.2
1,6,4.6,11.6,8.3,87.0,10.2,0.2
1,7,4.5,11.7,8.2,88.0,10.2,0.19
1,8,4.8,11.5,8.2,87.0,10.2,0.21
1,9,5.2,11.5,8.6,86.5,10.2,0.21
1,10,7.0,12.4,9.6,84.5,10.2,0.21
1,11,8.4,13.2,10.8,80.0,11.2,0.2
1,12,10.0,14.0,11.8,77.5,12.0,0.21
1,13,11.1,14.4,12.7,73.0,11.1,0.25
1,14,11.9,14.8,13.3,69.5,11.1,0.21
1,15,12.2,14.9,13.6,69.0,11.1,0.25
1,16,11.8,14.6,13.3,69.5,11.1,0.2
1,17,10.7,14.0,12.3,73.0,9.3,0.23
1,18,8.9,13.3,11.1,77.5,9.3,0.21
1,19,8.4,12.9,10.7,80.5,9.3,0.2
1,20,7.8,12.8,10.3,81.5,9.3,0.2
1,21,7.4,12.5,9.9,83.0,9.3,0.21
1,22,6.9,12.4,9.8,84.5,9.3,0.19
1,23,6.6,12.2,9.5,85.5,9.3,0.2
2,0,8.3,11.9,10.0,83.0,8.3,0.16
2,1,7.7,11.8,9.9,84.0,8.4,0.2
2,2,7.3,11.7,9.6,85.0,8.4,0.18
2,3,6.9,11.3,9.3,85.0,8.4,0.14
2,4,7.0,11.2,9.4,85.0,8.3,0.15
2,5,6.9,11.1,9.1,85.5,9.3,0.2
2,6,6.2,10.8,8.6,85.0,8.4,0.17
2,7,6.6,11.0,8.9,84.0,9.3,0.16
2,8,7.1,11.3,9.3,82.5,10.2,0.17
2,9,8.0,12.2,10.1,81.0,10.2,0.2
2,10,10.2,12.7,11.6,77.0,10.2,0.18
2,11,11.1,14.2,12.8,71.0,10.9,0.18
2,12,11.9,15.7,13.8,68.5,10.2,0.15
2,13,12.7,17.2,14.3,63.0,11.2,0.14
2,14,13.0,17.7,15.0,61.0,12.1,0.15
2,15,12.6,17.6,14.8,62.5,12.1,0.14
2,16,12.5,17.3,14.6,62.0,13.0,0.13
2,17,11.9,16.1,13.7,64.5,11.8,0.11
2,18,11.0,14.9,12.6,71.5,10.2,0.13
2,19,10.3,13.9,11.9,74.5,9.3,0.14
2,20,9.6,13.1,11.3,77.5,9.3,0.14
2,21,8.9,12.7,10.8,79.5,8.4,0.22
2,22,9.1,12.4,10.8,80.0,8.3,0.16
2,23,8.7,12.1,10.5,81.5,8.3,0.14
3,0,8.4,12.5,10.5,82.5,8.4,0.21
3,1,8.2,12.2,10.3,83.5,8.4,0.2
3,2,8.1,12.3,10.1,84.0,9.3,0.22
3,3,7.9,11.7,9.7,85.0,8.4,0.21
3,4,7.9,11.8,9.9,85.5,9.3,0.2
3,5,7.5,11.7,9.7,86.0,9.3,0.2
3,6,7.5,11.3,9.3,86.5,8.3,0.22
3,7,7.9,11.7,9.7,84.5,8.3,0.19
3,8,8.8,12.2,10.5,81.0,10.0,0.19
3,9,9.5,13.1,11.5,78.5,9.3,0.19
3,10,11.4,14.3,13.1,72.5,11.1,0.16
3,11,12.0,15.6,14.1,68.0,12.1,0.19
