m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,5.6,11.7,8.8,88.8,9.3,0.16
1,1,1,5.6,11.5,8.6,87.8,9.3,0.15
1,1,2,5.5,11.3,8.5,88.0,9.3,0.19
1,1,3,4.8,11.1,8.1,89.5,9.3,0.2
1,1,4,4.7,10.9,8.3,89.3,8.9,0.15
1,1,5,4.5,10.7,8.2,89.3,9.3,0.16
1,1,6,4.2,11.1,8.1,90.0,9.3,0.2
1,1,7,4.2,11.1,8.1,90.5,9.3,0.2
1,1,8,4.5,11.0,8.3,90.3,9.3,0.21
1,1,9,4.4,10.9,8.3,89.3,8.9,0.2
1,1,10,6.1,12.3,9.5,85.8,9.3,0.23
1,1,11,6.9,12.7,10.2,81.5,10.2,0.22
1,1,12,8.3,13.3,11.0,78.8,10.6,0.22
1,1,13,9.4,14.2,11.8,75.0,10.2,0.26
1,1,14,10.4,14.5,12.5,72.5,10.2,0.26
1,1,15,11.0,14.4,12.6,72.5,9.8,0.25
1,1,16,10.6,14.1,12.4,72.5,9.3,0.19
1,1,17,9.5,13.2,11.1,77.5,8.9,0.22
1,1,18,8.1,12.9,10.4,81.0,7.4,0.22
1,1,19,7.6,12.8,10.1,83.8,8.9,0.17
1,1,20,7.5,12.7,9.9,84.3,9.3,0.19
1,1,21,6.5,12.4,9.4,87.0,8.9,0.25
1,1,22,6.4,12.2,9.4,86.3,8.9,0.18
1,1,23,6.2,12.0,9.1,87.3,9.3,0.2
1,2,0,5.8,11.3,8.9,85.0,9.3,0.22
1,2,1,5.7,11.3,8.9,85.0,9.8,0.19
1,2,2,5.6,11.5,8.8,85.5,10.2,0.19
1,2,3,5.1,11.5,8.6,86.0,10.2,0.19
1,2,4,5.1,11.6,8.6,86.8,9.3,0.17
1,2,5,4.8,11.4,8.4,87.5,11.2,0.19
1,2,6,4.4,11.0,8.1,86.8,11.1,0.17
1,2,7,4.4,10.9,8.0,87.5,11.1,0.16
1,2,8,4.5,10.8,8.0,86.8,10.6,0.19
1,2,9,4.7,11.0,8.1,85.0,11.1,0.19
1,2,10,6.3,11.9,9.5,84.0,12.1,0.17
1,2,11,7.6,12.4,10.4,79.8,12.1,0.16
1,2,12,9.6,13.4,11.6,75.8,11.1,0.16
1,2,13,10.7,14.2,12.6,72.0,11.6,0.17
1,2,14,12.0,14.5,13.3,69.0,11.6,0.13
1,2,15,12.1,14.7,13.6,68.5,11.1,0.22
1,2,16,11.8,14.6,13.3,68.0,10.2,0.16
1,2,17,10.3,13.6,12.1,71.5,9.3,0.23
1,2,18,8.9,12.9,11.0,76.5,9.3,0.21
1,2,19,8.1,12.6,10.5,79.5,9.3,0.2
1,2,20,7.7,12.4,10.2,80.5,9.8,0.19
1,2,21,7.2,12.0,9.7,83.0,9.3,0.18
1,2,22,6.6,11.5,9.3,82.5,9.8,0.18
1,2,23,6.4,11.4,9.3,83.3,9.8,0.19
1,3,0,7.6,12.6,9.6,83.5,9.3,0.22
1,3,1,7.0,12.2,9.3,84.0,8.3,0.2
1,3,2,6.9,12.1,9.2,84.0,10.0,0.18
1,3,3,6.4,11.9,9.0,85.0,8.4,0.2
1,3,4,5.8,12.1,9.2,86.0,9.3,0.21
1,3,5,5.8,12.1,8.9,86.0,9.3,0.24
1,3,6,5.8,12.1,9.0,86.5,10.2,0.24
1,3,7,5.9,12.0,9.1,87.0,10.2,0.22
1,3,8,5.7,11.6,9.0,87.0,10.2,0.22
1,3,9,6.6,12.2,9.4,85.5,10.2,0.24
1,3,10,8.0,12.6,10.6,84.5,10.2,0.23
1,3,11,9.3,13.4,11.5,78.5,12.1,0.24
1,3,12,11.1,14.6,12.6,73.0,12.1,0.25
1,3,13,11.8,15.4,13.8,71.0,13.0,0.3
1,3,14,12.4,16.0,14.3,69.0,13.0,0.24
1,3,15,12.6,15.8,14.2,69.0,12.1,0.26
1,3,16,12.3,15.2,14.0,69.0,12.1,0.25
1,3,17,11.5,14.6,13.2,72.5,11.1,0.23
1,3,18,10.1,13.5,12.0,77.5,10.2,0.22
1,3,19,9.6,13.4,11.5,80.5,10.2,0.23
1,3,20,9.0,13.2,11.0,81.5,10.2,0.21
1,3,21,8.6,12.9,10.9,82.5,9.3,0.21
1,3,22,7.9,13.0,10.4,82.5,10.2,0.21
1,3,23,7.7,12.9,10.0,83.0,9.3,0.2
2,1,0,7.1,11.7,9.6,84.0,10.2,0.19
2,1,1,6.9,11.6,9.0,84.5,9.7,0.24
2,1,2,6.5,11.5,9.1,86.3,9.2,0.23
2,1,3,6.3,11.6,9.0,86.0,9.3,0.16
2,1,4,6.1,11.2,8.6,87.5,8.8,0.21
2,1,5,6.0,11.3,8.5,88.0,9.8,0.19
2,1,6,5.6,10.9,8.3,85.5,8.9,0.16
2,1,7,5.6,10.7,8.4,85.8,9.3,0.19
2,1,8,6.2,10.5,8.6,85.3,9.8,0.16
2,1,9,6.1,11.0,9.0,83.3,9.8,0.2
2,1,10,8.5,12.2,10.4,79.5,11.0,0.22
2,1,11,10.1,13.2,11.8,73.5,12.1,0.21
2,1,12,10.8,14.5,12.7,70.0,12.6,0.13
2,1,13,11.4,15.9,13.7,66.0,12.6,0.14
2,1,14,12.0,16.5,14.2,63.5,12.9,0.16
2,1,15,11.7,16.5,14.1,63.3,13.0,0.15
2,1,16,12.0,16.3,14.0,63.3,12.9,0.19
2,1,17,11.1,15.1,13.1,66.8,11.5,0.17
2,1,18,9.8,14.1,11.9,73.5,10.2,0.17
2,1,19,9.0,13.1,11.1,77.0,8.8,0.23
2,1,20,8.8,12.3,10.8,80.3,8.8,0.19
2,1,21,7.9,12.1,10.1,81.3,8.4,0.29
2,1,22,7.9,12.3,10.5,81.8,8.6,0.21
2,1,23,7.5,12.0,10.2,83.0,9.7,0.2
2,2,0,8.5,12.5,10.5,86.0,7.0,0.15
2,2,1,8.7,12.4,10.7,85.8,8.4,0.16
2,2,2,8.5,12.1,10.5,85.0,8.3,0.18
2,2,3,7.5,11.9,9.7,85.8,8.4,0.13
2,2,4,7.9,11.9,9.8,85.5,7.8,0.13
2,2,5,7.7,11.8,9.6,85.5,8.8,0.18
2,2,6,6.7,11.5,9.1,85.0,8.8,0.1
2,2,7,7.7,11.5,9.5,84.8,9.2,0.17
2,2,8,7.8,11.8,9.6,83.5,10.2,0.17
2,2,9,8.5,12.3,10.6,81.8,9.3,0.17
2,2,10,10.5,12.8,11.8,80.3,9.8,0.16
2,2,11,11.9,14.4,13.4,75.3,10.2,0.14
2,2,12,12.6,16.3,14.6,71.0,10.2,0.15
2,2,13,13.1,17.7,15.5,65.5,11.1,0.13
2,2,14,13.3,18.1,15.7,64.0,11.1,0.11
2,2,15,13.6,18.0,15.9,63.3,12.1,0.13
2,2,16,13.1,17.7,15.5,62.8,12.1,0.13
2,2,17,12.9,16.7,14.8,65.8,11.6,0.1
2,2,18,11.8,15.1,13.6,74.5,9.3,0.1
2,2,19,11.1,14.4,12.8,75.5,9.8,0.14
2,2,20,10.4,13.5,11.9,79.3,9.3,0.1
2,2,21,10.0,13.0,11.4,81.3,7.9,0.22
2,2,22,10.0,12.6,11.2,80.8,7.9,0.13
2,2,23,9.7,12.5,11.1,83.3,7.4,0.1
2,3,0,8.3,11.7,9.9,77.5,8.3,0.13
2,3,1,8.0,11.6,9.8,77.5,8.3,0.18
2,3,2,6.9,11.3,9.2,77.5,8.2,0.14
2,3,3,6.8,10.9,9.0,78.5,7.4,0.13
2,3,4,7.9,10.9,9.4,79.0,9.1,0.12
2,3,5,6.6,10.6,9.1,79.0,9.1,0.23
2,3,6,6.6,10.4,8.2,79.0,8.3,0.25
2,3,7,6.7,10.6,8.8,78.5,9.3,0.11
2,3,8,7.5,11.3,9.4,77.5,9.3,0.18
2,3,9,8.2,12.4,10.1,76.0,10.2,0.23
2,3,10,10.3,13.7,12.0,71.0,10.2,0.17
2,3,11,11.3,14.9,13.4,68.5,10.9,0.18
2,3,12,12.2,16.6,14.4,63.5,10.2,0.18
2,3,13,13.2,17.3,15.0,61.5,11.1,0.14
2,3,14,13.3,17.7,15.2,58.5,12.1,0.17
2,3,15,12.9,17.9,15.1,57.5,12.1,0.13
2,3,16,12.8,17.4,14.8,56.0,13.0,0.08
2,3,17,11.8,16.5,13.9,60.0,12.1,0.06
2,3,18,11.2,15.2,12.9,67.0,10.2,0.1
2,3,19,10.3,13.9,12.0,68.5,9.3,0.03
2,3,20,9.6,13.5,11.4,71.0,9.3,0.12
2,3,21,9.1,12.7,10.8,73.0,8.4,0.14
2,3,22,9.2,12.3,10.7,75.0,9.3,0.15
2,3,23,8.7,12.0,10.2,75.5,9.3,0.11
3,1,0,7.9,11.6,9.9,89.0,9.8,0.31
3,1,1,7.8,11.7,10.0,88.5,10.2,0.32
3,1,2,7.4,11.6,9.5,87.3,10.6,0.33
3,1,3,7.3,11.3,9.4,91.0,10.6,0.3
3,1,4,7.3,11.4,9.2,88.0,11.1,0.27
3,1,5,7.3,11.1,9.2,88.8,10.6,0.32
3,1,6,6.9,11.0,8.6,90.5,9.3,0.29
3,1,7,7.2,11.4,9.2,90.8,11.0,0.3
3,1,8,7.7,11.3,9.6,89.8,10.6,0.32
3,1,9,8.8,11.8,10.1,89.0,11.1,0.29
3,1,10,10.2,12.7,11.2,82.0,12.1,0.28
3,1,11,11.1,13.6,12.1,77.0,13.9,0.27
3,1,12,11.7,14.6,13.2,75.5,14.8,0.2
3,1,13,12.5,15.2,13.6,70.5,15.4,0.26
3,1,14,12.3,14.8,13.5,73.5,15.8,0.36
3,1,15,12.0,14.5,13.4,72.0,15.8,0.41
3,1,16,11.8,14.7,13.5,70.5,16.3,0.28
3,1,17,11.2,13.9,12.7,74.5,15.4,0.29
3,1,18,10.7,13.3,12.2,79.0,13.9,0.33
3,1,19,9.8,12.8,11.5,79.3,12.9,0.3
3,1,20,9.2,12.4,11.1,81.5,12.5,0.24
3,1,21,8.6,12.1,10.6,87.0,11.1,0.35
3,1,22,9.1,12.2,10.9,85.3,10.6,0.23
3,1,23,8.5,12.0,10.6,86.8,9.7,0.27
3,2,0,8.9,11.8,10.6,85.3,8.4,0.16
3,2,1,8.7,11.8,10.6,86.3,8.3,0.14
3,2,2,8.5,11.9,10.1,86.5,8.3,0.17
3,2,3,8.4,11.4,9.6,86.5,8.3,0.19
3,2,4,8.1,11.8,10.0,87.3,8.8,0.17
3,2,5,8.2,11.5,9.9,88.3,9.3,0.13
3,2,6,7.9,11.1,9.4,89.0,8.3,0.2
3,2,7,8.3,11.6,9.9,86.0,8.3,0.18
3,2,8,9.3,12.1,10.6,84.0,8.8,0.2
3,2,9,10.0,12.9,11.5,80.8,8.8,0.18
3,2,10,11.6,14.3,12.9,74.3,10.2,0.15
3,2,11,12.4,15.6,14.1,69.0,11.1,0.22
3,2,12,13.1,17.1,14.9,65.3,11.6,0.14
3,2,13,13.3,18.1,15.8,62.8,13.9,0.1
3,2,14,13.3,17.6,15.2,64.5,15.2,0.15
3,2,15,13.2,17.7,15.5,64.0,15.8,0.16
