m,coco,coco_pct
5,4.0,0.011
4,27.0,0.0
2,8.0,0.013
11,8.0,0.012
1,7.0,0.031
6,9.0,0.0
12,9.0,0.005
4,25.0,0.001
5,19.0,0.0
2,19.0,0.0
4,3.0,0.19
10,1.0,0.386
9,7.0,0.005
3,4.0,0.033
5,8.0,0.001
11,4.0,0.034
1,23.0,0.0
10,4.0,0.026
4,18.0,0.013
6,19.0,0.0
4,26.0,0.0
9,4.0,0.011
10,18.0,0.01
7,27.0,0.0
2,17.0,0.003
8,3.0,0.014
8,18.0,0.0
1,25.0,0.0
8,25.0,0.0
9,17.0,0.001
6,3.0,0.089
5,9.0,0.0
2,25.0,0.001
7,7.0,0.0
8,7.0,0.0
9,27.0,0.0
9,2.0,0.333
3,27.0,0.0
4,8.0,0.012
2,23.0,0.0
2,1.0,0.38
12,8.0,0.017
7,8.0,0.0
8,4.0,0.002
11,26.0,0.0
3,1.0,0.303
7,23.0,0.0
4,23.0,0.0
11,19.0,0.0
4,17.0,0.007
1,19.0,0.0
9,25.0,0.0
2,18.0,0.004
5,18.0,0.002
2,9.0,0.003
1,1.0,0.397
11,2.0,0.363
12,1.0,0.328
9,3.0,0.087
1,5.0,0.013
6,27.0,0.0
12,19.0,0.0
6,17.0,0.001
11,23.0,0.0
4,9.0,0.0
7,1.0,0.883
10,26.0,0.0
2,4.0,0.03
8,5.0,0.004
3,26.0,0.0
5,1.0,0.504
1,2.0,0.306
10,5.0,0.003
8,26.0,0.0
1,3.0,0.184
10,7.0,0.026
11,25.0,0.005
3,5.0,0.006
12,26.0,0.0
6,5.0,0.003
2,3.0,0.188
10,19.0,0.0
7,26.0,0.0
11,1.0,0.301
7,19.0,0.0
5,23.0,0.0
4,7.0,0.032
11,3.0,0.216
6,25.0,0.0
5,27.0,0.0
7,18.0,0.001
6,7.0,0.006
7,25.0,0.0
6,4.0,0.016
8,2.0,0.108
10,27.0,0.0
4,2.0,0.407
3,8.0,0.026
12,5.0,0.015
5,5.0,0.0
6,8.0,0.001
5,3.0,0.09
1,18.0,0.01
1,9.0,0.004
7,17.0,0.0
4,1.0,0.304
7,2.0,0.09
7,4.0,0.004
5,17.0,0.002
12,18.0,0.01
4,4.0,0.029
12,17.0,0.003
10,3.0,0.181
11,7.0,0.033
9,8.0,0.002
3,3.0,0.167
2,27.0,0.0
2,26.0,0.0
4,5.0,0.004
9,19.0,0.0
2,5.0,0.002
5,25.0,0.001
8,23.0,0.0
9,26.0,0.0
7,3.0,0.018
1,17.0,0.004
1,26.0,0.0
3,9.0,0.001
9,9.0,0.0
9,1.0,0.552
11,9.0,0.0
8,9.0,0.0
12,23.0,0.0
11,27.0,0.0
9,18.0,0.006
7,9.0,0.0
10,17.0,0.003
12,2.0,0.357
1,27.0,0.0
12,4.0,0.031
10,8.0,0.01
10,23.0,0.0
12,7.0,0.035
12,25.0,0.0
8,17.0,0.0
3,25.0,0.001
5,2.0,0.38
6,1.0,0.583
9,5.0,0.003
6,23.0,0.0
9,23.0,0.0
11,5.0,0.009
10,9.0,0.007
1,4.0,0.043
8,27.0,0.0
10,2.0,0.348
2,2.0,0.344
2,7.0,0.033
8,8.0,0.0
1,8.0,0.009
3,23.0,0.0
3,7.0,0.051
6,18.0,0.001
6,2.0,0.301
11,17.0,0.009
6,26.0,0.0
12,27.0,0.0
4,19.0,0.0
5,26.0,0.0
3,19.0,0.0
8,1.0,0.87
3,17.0,0.008
3,2.0,0.383
3,18.0,0.021
5,7.0,0.008
7,5.0,0.002
11,18.0,0.018
12,3.0,0.2
10,25.0,0.001
8,19.0,0.0
