m,m3,coco,coco_pct
10,3,5.0,0.008
5,2,25.0,0.003
6,3,9.0,0.0
12,3,25.0,0.0
12,1,7.0,0.023
6,3,27.0,0.0
11,1,9.0,0.001
7,3,25.0,0.001
12,2,8.0,0.004
6,3,26.0,0.0
12,2,2.0,0.304
6,2,18.0,0.001
7,2,8.0,0.002
12,2,5.0,0.003
3,2,18.0,0.003
10,1,5.0,0.005
5,1,23.0,0.0
7,1,25.0,0.0
10,2,9.0,0.007
12,1,17.0,0.005
11,2,23.0,0.0
2,1,18.0,0.001
6,1,5.0,0.006
9,2,18.0,0.007
12,2,1.0,0.37
12,2,3.0,0.275
1,1,27.0,0.0
8,2,8.0,0.001
2,1,3.0,0.206
2,2,1.0,0.34
2,2,18.0,0.0
11,1,25.0,0.001
1,2,25.0,0.002
1,3,4.0,0.014
7,2,18.0,0.0
9,2,7.0,0.028
5,3,3.0,0.172
1,2,9.0,0.004
3,1,8.0,0.03
11,3,1.0,0.35
9,1,17.0,0.006
11,2,1.0,0.281
12,3,7.0,0.003
3,1,26.0,0.0
7,1,5.0,0.005
1,2,8.0,0.01
4,2,27.0,0.0
9,3,23.0,0.0
3,2,1.0,0.355
3,1,5.0,0.003
5,3,17.0,0.008
8,1,4.0,0.005
11,1,27.0,0.0
5,2,7.0,0.022
4,2,7.0,0.087
12,2,9.0,0.001
10,3,27.0,0.0
2,2,8.0,0.001
3,3,9.0,0.008
6,2,8.0,0.004
4,3,3.0,0.27
5,2,26.0,0.0
3,2,5.0,0.003
10,3,18.0,0.001
7,2,9.0,0.0
3,1,3.0,0.322
8,1,18.0,0.001
2,1,2.0,0.26
3,3,5.0,0.006
8,1,9.0,0.0
7,3,5.0,0.003
8,2,2.0,0.317
4,1,3.0,0.238
7,2,26.0,0.0
4,3,23.0,0.0
2,3,7.0,0.003
12,1,2.0,0.267
10,3,7.0,0.053
12,2,18.0,0.001
7,1,8.0,0.0
4,3,1.0,0.203
12,1,23.0,0.0
4,1,7.0,0.062
9,2,9.0,0.005
12,3,2.0,0.214
2,1,27.0,0.0
3,2,25.0,0.0
1,2,7.0,0.019
7,3,27.0,0.0
6,1,9.0,0.001
1,2,26.0,0.0
5,2,27.0,0.0
9,1,26.0,0.0
7,1,4.0,0.009
9,3,27.0,0.0
5,2,18.0,0.003
5,3,23.0,0.0
4,2,1.0,0.329
5,2,5.0,0.006
2,3,8.0,0.001
4,1,17.0,0.003
8,1,27.0,0.0
9,2,8.0,0.026
12,1,3.0,0.274
11,1,17.0,0.004
11,2,2.0,0.314
8,3,3.0,0.117
9,1,23.0,0.001
7,3,18.0,0.004
5,1,9.0,0.005
3,3,25.0,0.0
2,2,27.0,0.001
12,3,4.0,0.026
7,3,1.0,0.69
2,3,17.0,0.001
7,2,4.0,0.005
12,2,4.0,0.029
3,2,3.0,0.262
5,2,3.0,0.169
3,1,2.0,0.254
5,2,23.0,0.0
4,3,4.0,0.022
10,1,7.0,0.007
11,2,7.0,0.055
10,2,23.0,0.0
12,1,25.0,0.002
4,1,2.0,0.356
10,2,18.0,0.001
11,3,26.0,0.0
5,3,1.0,0.376
11,1,18.0,0.0
5,2,9.0,0.001
2,3,18.0,0.0
4,2,23.0,0.0
10,2,25.0,0.002
6,1,4.0,0.015
1,1,8.0,0.008
11,1,8.0,0.007
8,2,18.0,0.001
1,2,4.0,0.014
12,1,1.0,0.386
9,3,18.0,0.002
10,1,27.0,0.0
6,1,7.0,0.034
9,3,7.0,0.012
3,2,7.0,0.073
8,3,8.0,0.003
6,3,1.0,0.702
4,1,8.0,0.013
9,1,27.0,0.0
1,1,9.0,0.002
5,3,27.0,0.0
5,2,2.0,0.358
3,3,7.0,0.119
4,1,1.0,0.29
4,2,9.0,0.008
3,1,4.0,0.037
10,1,25.0,0.003
1,2,1.0,0.458
8,2,5.0,0.003
2,2,23.0,0.0
12,1,27.0,0.0
6,1,2.0,0.348
10,3,23.0,0.0
6,3,23.0,0.0
1,2,3.0,0.251
9,3,3.0,0.201
9,3,5.0,0.001
1,2,2.0,0.235
2,1,1.0,0.479
9,1,18.0,0.001
5,2,8.0,0.007
11,2,8.0,0.007
12,3,8.0,0.001
10,1,18.0,0.0
1,2,18.0,0.0
9,2,25.0,0.005
1,1,18.0,0.001
8,1,2.0,0.242
3,3,3.0,0.272
8,2,25.0,0.002
9,1,7.0,0.023
10,2,7.0,0.021
2,2,4.0,0.017
7,3,3.0,0.081
9,1,1.0,0.235
2,2,5.0,0.043
4,1,4.0,0.022
3,2,4.0,0.023
12,1,5.0,0.005
11,1,7.0,0.023
3,1,23.0,0.0
3,1,1.0,0.276
3,3,4.0,0.035
7,1,9.0,0.0
12,2,23.0,0.0
11,1,2.0,0.357
6,1,27.0,0.0
9,2,4.0,0.014
12,2,26.0,0.0
7,3,9.0,0.0
7,1,23.0,0.0
11,3,17.0,0.006
8,3,5.0,0.0
6,1,18.0,0.001
3,2,2.0,0.247
9,3,26.0,0.0
5,2,4.0,0.012
10,2,5.0,0.005
7,1,17.0,0.004
5,1,17.0,0.002
11,1,5.0,0.032
8,1,8.0,0.001
9,1,8.0,0.009
3,3,26.0,0.0
2,3,5.0,0.005
3,2,23.0,0.0
11,1,23.0,0.0
7,2,27.0,0.0
5,3,18.0,0.001
2,1,9.0,0.005
5,1,5.0,0.009
10,1,23.0,0.0
4,2,5.0,0.0
4,2,26.0,0.001
4,2,17.0,0.006
9,3,25.0,0.0
11,2,25.0,0.001
12,3,23.0,0.0
6,1,25.0,0.005
11,2,27.0,0.0
8,3,4.0,0.006
11,1,26.0,0.0
1,1,7.0,0.036
8,1,3.0,0.048
3,3,8.0,0.059
10,2,3.0,0.232
3,3,17.0,0.004
10,1,9.0,0.004
3,2,27.0,0.0
2,3,3.0,0.296
8,2,1.0,0.536
2,3,27.0,0.0
4,3,2.0,0.369
4,3,5.0,0.002
12,3,26.0,0.0
4,1,26.0,0.0
1,3,8.0,0.004
1,3,18.0,0.0
4,2,2.0,0.303
9,3,4.0,0.014
3,3,18.0,0.0
8,3,18.0,0.003
12,1,26.0,0.0
4,2,25.0,0.001
9,1,5.0,0.004
6,3,2.0,0.192
5,1,3.0,0.217
2,3,4.0,0.019
8,3,23.0,0.0
4,1,25.0,0.005
1,1,1.0,0.473
3,1,18.0,0.001
7,2,17.0,0.002
1,1,2.0,0.205
7,2,2.0,0.222
12,3,18.0,0.0
1,2,27.0,0.0
5,1,18.0,0.003
2,1,26.0,0.0
5,1,25.0,0.001
10,3,2.0,0.304
7,3,8.0,0.0
3,2,9.0,0.009
6,2,2.0,0.289
6,1,17.0,0.015
10,3,4.0,0.021
6,1,1.0,0.352
7,1,27.0,0.0
2,3,9.0,0.001
9,3,17.0,0.005
8,1,25.0,0.001
9,1,4.0,0.01
8,3,26.0,0.0
11,3,25.0,0.001
10,1,2.0,0.353
7,3,17.0,0.003
5,3,2.0,0.365
3,3,1.0,0.229
7,2,1.0,0.697
5,3,5.0,0.004
10,1,1.0,0.411
9,1,2.0,0.493
5,3,4.0,0.006
6,2,4.0,0.011
2,1,5.0,0.006
9,1,9.0,0.007
5,3,9.0,0.022
1,3,23.0,0.0
2,2,2.0,0.338
12,1,9.0,0.004
4,1,27.0,0.0
8,1,17.0,0.001
12,1,8.0,0.019
10,3,25.0,0.001
8,2,9.0,0.0
2,3,1.0,0.462
10,3,26.0,0.0
10,2,4.0,0.013
7,3,26.0,0.0
1,1,26.0,0.0
5,1,4.0,0.013
7,2,23.0,0.0
8,2,3.0,0.116
1,3,7.0,0.015
9,1,25.0,0.005
3,1,7.0,0.056
