m,coco,coco_pct
7,23.0,0.0
7,1.0,0.754
3,5.0,0.021
2,7.0,0.011
10,2.0,0.566
4,27.0,0.0
11,23.0,0.0
12,3.0,0.088
2,18.0,0.0
12,26.0,0.0
8,27.0,0.0
6,27.0,0.0
9,27.0,0.0
10,23.0,0.0
2,23.0,0.0
3,7.0,0.055
11,26.0,0.0
9,7.0,0.015
10,8.0,0.008
9,4.0,0.015
2,2.0,0.445
1,5.0,0.022
3,4.0,0.028
8,23.0,0.0
6,17.0,0.0
9,17.0,0.001
10,17.0,0.001
12,8.0,0.004
9,18.0,0.001
6,23.0,0.0
12,17.0,0.0
1,25.0,0.0
8,18.0,0.0
12,25.0,0.0
5,26.0,0.0
2,1.0,0.404
4,8.0,0.007
2,4.0,0.025
5,25.0,0.0
12,23.0,0.0
11,5.0,0.012
11,9.0,0.001
11,27.0,0.0
7,25.0,0.0
4,25.0,0.0
8,7.0,0.001
4,1.0,0.253
3,27.0,0.0
10,3.0,0.066
10,1.0,0.307
2,5.0,0.019
11,4.0,0.015
3,25.0,0.0
5,18.0,0.001
3,26.0,0.0
4,4.0,0.021
7,17.0,0.0
1,2.0,0.512
3,17.0,0.003
6,26.0,0.0
3,1.0,0.284
10,7.0,0.025
7,18.0,0.0
2,17.0,0.001
6,1.0,0.551
11,3.0,0.07
3,9.0,0.003
6,25.0,0.0
8,1.0,0.666
4,18.0,0.001
8,2.0,0.307
2,25.0,0.0
1,8.0,0.004
9,25.0,0.001
9,26.0,0.0
1,9.0,0.0
5,5.0,0.005
7,8.0,0.0
6,2.0,0.393
9,5.0,0.0
8,25.0,0.0
2,8.0,0.0
6,18.0,0.0
5,27.0,0.0
9,1.0,0.351
4,7.0,0.045
8,4.0,0.004
4,3.0,0.1
6,5.0,0.004
5,3.0,0.049
10,25.0,0.0
1,3.0,0.071
9,23.0,0.0
12,1.0,0.372
10,4.0,0.015
11,17.0,0.001
4,9.0,0.002
12,5.0,0.021
12,18.0,0.0
5,7.0,0.012
2,9.0,0.0
3,18.0,0.0
11,1.0,0.326
10,18.0,0.002
9,2.0,0.537
9,3.0,0.071
5,4.0,0.009
1,27.0,0.0
11,7.0,0.019
11,25.0,0.0
3,3.0,0.117
5,2.0,0.535
10,5.0,0.009
7,9.0,0.0
1,18.0,0.001
7,27.0,0.0
7,3.0,0.014
3,2.0,0.474
1,26.0,0.0
7,26.0,0.0
8,17.0,0.0
12,7.0,0.014
12,4.0,0.02
12,2.0,0.48
4,23.0,0.0
2,3.0,0.095
6,8.0,0.003
8,5.0,0.003
8,8.0,0.0
8,3.0,0.018
7,2.0,0.224
4,26.0,0.0
7,4.0,0.004
7,7.0,0.001
12,27.0,0.0
1,17.0,0.001
4,17.0,0.0
5,17.0,0.0
6,7.0,0.009
2,27.0,0.0
11,8.0,0.006
9,8.0,0.005
2,26.0,0.0
12,9.0,0.001
10,26.0,0.0
7,5.0,0.004
10,27.0,0.0
11,18.0,0.001
3,23.0,0.0
4,5.0,0.011
5,23.0,0.0
1,23.0,0.0
6,4.0,0.006
3,8.0,0.015
9,9.0,0.002
5,1.0,0.375
8,26.0,0.0
1,4.0,0.018
5,8.0,0.006
6,9.0,0.0
8,9.0,0.0
1,1.0,0.349
5,9.0,0.007
11,2.0,0.549
4,2.0,0.559
6,3.0,0.034
10,9.0,0.001
1,7.0,0.021
