m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,8.9,12.1,10.6,76.5,13.9,0.07
1,1,1,9.1,11.9,10.7,72.5,13.9,0.03
1,1,2,8.5,12.1,10.4,72.0,13.9,0.0
1,1,3,8.3,12.2,10.4,73.3,13.9,0.0
1,1,4,8.3,11.5,10.4,72.0,14.4,0.0
1,1,5,8.4,11.3,10.1,73.5,13.5,0.0
1,1,6,8.0,11.3,10.0,69.0,14.8,0.0
1,1,7,8.0,11.2,9.9,69.8,14.9,0.0
1,1,8,8.7,11.7,10.3,66.0,14.9,0.0
1,1,9,10.3,13.6,12.0,62.3,15.5,0.0
1,1,10,13.3,16.2,14.8,56.0,10.1,0.03
1,1,11,14.8,17.1,15.8,58.5,10.1,0.03
1,1,12,15.4,17.7,16.5,59.5,13.5,0.03
1,1,13,15.5,17.7,16.5,62.5,15.5,0.03
1,1,14,15.5,17.5,16.7,64.0,15.4,0.03
1,1,15,15.4,17.7,16.5,64.5,15.5,0.03
1,1,16,14.7,17.3,16.2,69.3,15.8,0.03
1,1,17,13.9,16.0,15.0,71.8,13.9,0.0
1,1,18,11.7,15.2,13.4,79.0,9.2,0.03
1,1,19,10.6,14.2,12.4,77.5,10.2,0.0
1,1,20,10.0,13.3,11.9,78.3,9.4,0.0
1,1,21,9.7,12.8,11.1,80.5,10.3,0.0
1,1,22,9.4,12.5,10.8,78.5,11.1,0.0
1,1,23,9.1,12.5,10.8,78.5,11.2,0.0
1,2,0,8.4,12.1,10.3,74.5,13.4,0.0
1,2,1,8.4,12.2,10.5,73.0,13.0,0.0
1,2,2,8.1,11.8,10.1,74.0,12.6,0.0
1,2,3,8.0,12.0,10.1,73.3,13.1,0.0
1,2,4,7.9,11.8,9.8,72.3,15.0,0.03
1,2,5,7.8,11.6,9.8,71.5,14.8,0.0
1,2,6,7.6,11.8,9.8,68.5,14.4,0.0
1,2,7,7.6,11.5,9.2,68.3,14.3,0.0
1,2,8,8.3,12.5,10.7,64.3,16.3,0.0
1,2,9,10.4,13.8,12.3,60.5,15.4,0.03
1,2,10,13.0,16.0,14.6,56.5,13.1,0.03
1,2,11,14.8,17.2,15.9,58.3,12.6,0.0
1,2,12,15.3,17.6,16.2,57.0,15.4,0.03
1,2,13,15.3,17.8,16.5,58.5,16.8,0.03
1,2,14,15.4,17.7,16.5,60.8,19.1,0.0
1,2,15,15.5,17.4,16.3,61.5,19.5,0.0
1,2,16,14.9,16.9,15.8,63.3,18.6,0.0
1,2,17,13.9,16.0,14.9,68.8,17.3,0.0
1,2,18,12.4,14.5,13.4,73.0,12.0,0.0
1,2,19,11.2,13.8,12.4,74.8,12.1,0.0
1,2,20,10.5,13.6,11.9,75.5,10.2,0.07
1,2,21,9.7,13.1,11.5,74.0,11.2,0.07
1,2,22,9.2,12.9,11.1,74.3,11.6,0.03
1,2,23,9.4,12.8,11.1,75.0,12.1,0.0
1,3,0,10.7,14.1,12.3,70.5,13.2,0.0
1,3,1,10.3,13.9,11.8,72.0,12.2,0.0
1,3,2,10.0,14.0,12.0,72.5,13.0,0.0
1,3,3,9.1,14.0,11.9,71.0,14.8,0.0
1,3,4,9.8,13.8,11.4,73.0,11.9,0.0
1,3,5,9.4,13.2,11.3,70.5,13.9,0.0
1,3,6,8.8,13.2,11.0,67.5,13.9,0.0
1,3,7,8.7,13.0,10.9,69.0,13.0,0.0
1,3,8,9.3,14.1,11.8,66.0,14.8,0.0
1,3,9,12.1,16.1,14.5,60.5,13.9,0.0
1,3,10,14.4,18.0,16.2,56.0,14.8,0.0
1,3,11,15.2,18.4,16.8,57.5,16.8,0.0
1,3,12,15.5,19.0,17.5,59.5,17.7,0.0
1,3,13,15.6,18.9,17.1,59.0,20.6,0.03
1,3,14,15.8,18.8,17.4,61.5,20.4,0.03
1,3,15,15.6,18.6,17.1,61.5,20.4,0.03
1,3,16,15.3,18.0,16.7,65.0,18.7,0.03
1,3,17,14.2,17.5,16.0,67.5,19.5,0.0
1,3,18,13.5,15.9,14.6,71.5,14.8,0.0
1,3,19,12.8,15.3,14.0,69.5,13.0,0.0
1,3,20,11.7,15.1,13.9,68.5,11.9,0.03
1,3,21,11.3,14.3,13.4,68.5,12.7,0.03
1,3,22,11.0,14.4,12.6,71.5,12.2,0.03
1,3,23,10.8,14.0,12.4,71.0,12.8,0.0
2,1,0,10.3,13.1,11.7,77.8,11.6,0.03
2,1,1,10.0,12.6,11.3,76.0,11.3,0.0
2,1,2,9.3,12.2,10.9,75.5,12.2,0.0
2,1,3,9.1,12.9,11.1,74.0,12.6,0.0
2,1,4,9.0,12.4,11.0,73.8,13.0,0.0
2,1,5,8.4,12.2,10.8,73.5,12.7,0.03
