m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,2.5,7.4,13.5,7.2,2.0,0.2,14.0
1,2,1.5,7.0,13.3,7.0,3.0,0.26,12.0
1,3,2.5,8.5,16.0,10.1,3.0,0.25,4.0
2,1,5.0,9.6,16.5,7.5,2.0,0.23,6.0
2,2,4.8,10.3,16.3,6.8,2.0,0.22,3.0
2,3,6.0,11.0,17.0,7.4,3.0,0.33,10.0
3,1,6.5,11.2,16.0,9.0,5.0,0.46,22.0
3,2,7.8,12.4,17.5,8.6,3.0,0.28,8.0
3,3,7.5,12.1,17.5,9.0,3.0,0.3,12.0
4,1,7.0,12.6,18.5,8.8,4.0,0.39,6.0
4,2,9.3,14.6,19.3,9.1,4.0,0.36,23.0
4,3,10.5,15.9,20.6,8.4,5.0,0.47,31.0
5,1,11.8,17.2,22.8,8.6,4.0,0.43,10.0
5,2,11.5,17.3,23.0,8.7,5.0,0.46,16.0
5,3,14.5,20.0,25.0,8.8,3.0,0.3,11.0
6,1,16.0,20.9,26.0,8.8,5.0,0.52,11.0
6,2,17.3,23.6,28.8,9.1,2.0,0.24,13.0
6,3,19.0,24.8,30.5,9.5,3.0,0.27,5.0
7,1,19.0,25.0,30.0,9.5,3.0,0.29,5.0
7,2,20.3,25.8,30.8,9.6,2.0,0.23,2.0
7,3,20.5,26.6,32.0,9.5,2.0,0.22,4.0
8,1,21.0,26.5,31.8,9.3,2.0,0.23,2.0
8,2,20.8,25.8,31.5,9.0,3.0,0.3,8.0
8,3,20.5,25.1,30.5,8.5,4.0,0.4,7.0
9,1,19.0,23.2,28.0,8.0,6.0,0.56,25.0
9,2,17.0,22.2,27.8,7.9,5.0,0.51,12.0
9,3,15.3,20.4,26.5,8.4,3.0,0.3,10.0
10,1,15.0,19.0,24.0,7.5,3.0,0.33,11.0
10,2,13.5,18.3,23.3,6.6,4.0,0.36,22.0
10,3,12.0,16.5,22.0,6.9,4.0,0.4,19.0
11,1,9.8,14.4,18.8,8.3,4.0,0.44,12.0
11,2,9.3,13.2,18.0,6.8,4.0,0.36,12.0
11,3,6.0,11.1,16.0,6.3,3.0,0.34,6.0
12,1,4.8,9.3,14.5,7.2,3.0,0.3,7.0
12,2,4.8,9.6,15.0,7.3,2.0,0.21,7.0
12,3,4.5,8.9,15.5,6.9,1.0,0.06,0.0
