m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,2.5,8.1,4.8,84.3,6.0,0.04
1,1,1,2.0,7.5,4.8,85.5,5.6,0.1
1,1,2,1.5,7.5,4.5,87.0,5.2,0.06
1,1,3,2.0,6.5,4.3,86.8,6.9,0.04
1,1,4,2.0,8.0,4.0,86.8,5.2,0.06
1,1,5,1.0,8.5,4.5,87.0,5.6,0.1
1,1,6,1.5,8.0,4.5,86.8,5.6,0.1
1,1,7,1.0,8.5,4.5,86.3,4.7,0.08
1,1,8,1.5,8.5,5.0,84.3,4.3,0.08
1,1,9,4.0,9.0,6.8,79.3,4.3,0.04
1,1,10,6.0,11.0,8.8,70.8,7.0,0.06
1,1,11,8.0,13.0,10.5,64.5,8.8,0.06
1,1,12,10.0,15.0,12.3,58.5,9.2,0.04
1,1,13,11.0,15.0,13.3,54.0,11.6,0.06
1,1,14,11.0,15.5,13.5,54.8,10.7,0.08
1,1,15,11.0,15.0,13.0,54.8,10.8,0.12
1,1,16,10.0,14.0,12.0,61.3,10.1,0.1
1,1,17,8.0,12.5,10.5,70.0,7.0,0.12
1,1,18,5.9,11.0,8.5,76.0,8.3,0.12
1,1,19,5.0,9.5,7.8,74.5,6.5,0.12
1,1,20,4.0,9.5,7.0,79.0,8.3,0.14
1,1,21,4.0,9.0,6.5,79.0,7.0,0.08
1,1,22,3.0,9.0,5.8,80.0,6.0,0.06
1,1,23,3.0,8.0,5.5,81.8,5.6,0.04
1,2,0,1.5,8.0,5.0,81.8,5.5,0.02
1,2,1,1.5,6.5,4.5,83.8,5.2,0.04
1,2,2,1.0,7.0,4.0,84.3,5.1,0.02
1,2,3,0.0,6.0,3.5,84.8,5.5,0.04
1,2,4,0.5,6.0,3.3,83.8,5.6,0.06
1,2,5,-0.5,6.0,2.8,86.5,5.6,0.04
1,2,6,-0.5,6.0,2.8,86.5,5.2,0.04
1,2,7,-1.0,6.0,2.8,85.5,5.2,0.02
1,2,8,0.5,7.0,3.5,83.5,5.5,0.02
1,2,9,4.0,8.5,6.3,77.0,4.3,0.02
1,2,10,7.0,10.0,8.3,66.3,4.6,0.06
1,2,11,8.0,12.0,10.0,60.0,7.9,0.06
1,2,12,10.0,13.5,11.8,54.3,9.3,0.04
1,2,13,11.0,14.0,12.3,50.0,12.0,0.02
1,2,14,11.0,15.0,12.5,50.0,12.4,0.02
1,2,15,11.0,15.0,13.0,50.5,12.4,0.04
1,2,16,10.0,14.0,11.8,55.3,9.8,0.02
1,2,17,7.5,11.5,9.5,63.8,8.0,0.06
1,2,18,6.0,10.0,8.3,67.3,7.4,0.02
1,2,19,5.0,9.0,7.0,71.8,7.8,0.02
1,2,20,3.5,8.0,5.8,75.8,7.4,0.04
1,2,21,3.5,8.0,5.8,79.0,7.0,0.04
1,2,22,2.0,8.0,4.8,80.8,6.5,0.04
