m,coco,coco_pct
2,23.0,0.0
7,3.0,0.034
1,3.0,0.179
9,17.0,0.0
2,21.0,0.0
5,5.0,0.005
11,17.0,0.004
1,26.0,0.001
4,3.0,0.178
11,2.0,0.493
7,8.0,0.0
11,1.0,0.251
1,25.0,0.001
12,2.0,0.445
5,18.0,0.002
6,25.0,0.001
11,9.0,0.008
4,7.0,0.047
2,26.0,0.0
5,21.0,0.0
7,2.0,0.161
12,4.0,0.032
10,9.0,0.005
10,17.0,0.003
1,23.0,0.0
7,25.0,0.0
12,17.0,0.001
2,17.0,0.001
8,3.0,0.054
8,25.0,0.001
8,8.0,0.0
9,1.0,0.36
11,25.0,0.0
10,26.0,0.0
3,21.0,0.0
11,8.0,0.01
5,1.0,0.422
4,26.0,0.0
7,18.0,0.0
10,23.0,0.0
6,8.0,0.001
2,9.0,0.006
7,7.0,0.0
8,21.0,0.0
3,25.0,0.001
3,23.0,0.0
11,26.0,0.0
2,1.0,0.312
6,1.0,0.583
7,23.0,0.0
1,1.0,0.278
10,5.0,0.009
4,21.0,0.0
12,23.0,0.0
5,9.0,0.002
8,17.0,0.0
12,21.0,0.0
8,5.0,0.005
5,2.0,0.453
6,21.0,0.0
10,8.0,0.015
9,3.0,0.124
7,26.0,0.0
10,4.0,0.024
5,25.0,0.001
6,18.0,0.001
3,9.0,0.017
11,5.0,0.023
3,17.0,0.004
5,26.0,0.0
1,8.0,0.016
10,25.0,0.005
11,21.0,0.0
5,3.0,0.074
6,5.0,0.004
4,4.0,0.035
12,8.0,0.014
1,5.0,0.021
4,23.0,0.0
9,25.0,0.002
4,25.0,0.002
1,18.0,0.001
9,2.0,0.459
4,5.0,0.006
12,25.0,0.0
5,4.0,0.012
3,26.0,0.0
9,18.0,0.0
9,23.0,0.0
4,8.0,0.015
10,7.0,0.031
9,7.0,0.019
8,9.0,0.0
5,7.0,0.022
6,23.0,0.0
7,21.0,0.0
7,4.0,0.008
3,3.0,0.17
5,17.0,0.001
9,9.0,0.001
4,1.0,0.259
1,21.0,0.0
6,9.0,0.0
10,1.0,0.282
5,8.0,0.006
4,17.0,0.004
12,7.0,0.042
8,23.0,0.0
2,18.0,0.0
12,18.0,0.001
2,25.0,0.0
12,3.0,0.154
7,17.0,0.0
9,26.0,0.0
6,3.0,0.054
3,1.0,0.251
2,7.0,0.021
10,2.0,0.481
2,8.0,0.007
1,7.0,0.035
6,2.0,0.336
8,2.0,0.275
2,5.0,0.016
11,4.0,0.03
6,26.0,0.0
4,9.0,0.006
11,18.0,0.001
8,4.0,0.01
10,18.0,0.002
6,17.0,0.0
1,2.0,0.427
9,5.0,0.007
3,8.0,0.033
8,7.0,0.0
12,26.0,0.0
3,5.0,0.013
9,8.0,0.004
10,3.0,0.142
11,23.0,0.0
2,3.0,0.171
12,9.0,0.005
3,2.0,0.395
12,5.0,0.024
3,7.0,0.076
1,17.0,0.003
5,23.0,0.0
6,4.0,0.007
3,4.0,0.04
11,3.0,0.145
6,7.0,0.012
10,21.0,0.0
8,26.0,0.0
9,4.0,0.023
7,9.0,0.0
9,21.0,0.0
2,4.0,0.038
3,18.0,0.001
7,5.0,0.006
4,2.0,0.446
1,4.0,0.037
2,2.0,0.427
12,1.0,0.283
4,18.0,0.002
7,1.0,0.791
11,7.0,0.036
1,9.0,0.002
8,1.0,0.653
8,18.0,0.001
