m,m3,coco,coco_pct
10,2,3.0,0.15
8,3,4.0,0.019
9,2,1.0,0.205
10,2,25.0,0.004
1,1,23.0,0.0
2,1,25.0,0.0
6,1,1.0,0.42
6,2,2.0,0.407
5,3,9.0,0.004
2,3,17.0,0.001
3,2,2.0,0.398
3,1,17.0,0.002
11,2,26.0,0.001
8,2,2.0,0.292
4,3,23.0,0.0
3,2,23.0,0.0
11,2,21.0,0.0
8,1,7.0,0.0
8,2,8.0,0.0
11,3,1.0,0.271
4,3,7.0,0.057
12,3,7.0,0.02
3,2,21.0,0.0
6,2,26.0,0.0
11,3,5.0,0.026
2,3,1.0,0.322
2,2,2.0,0.514
5,1,26.0,0.001
12,2,26.0,0.0
2,1,17.0,0.001
7,3,9.0,0.0
5,2,23.0,0.0
5,1,17.0,0.001
9,2,21.0,0.0
6,3,5.0,0.0
11,2,18.0,0.002
2,2,4.0,0.025
5,3,23.0,0.0
6,3,7.0,0.001
12,2,4.0,0.037
5,3,25.0,0.0
11,3,21.0,0.0
10,3,26.0,0.0
5,2,4.0,0.011
2,2,3.0,0.169
7,1,23.0,0.0
6,2,18.0,0.0
1,3,3.0,0.215
1,3,2.0,0.396
5,3,5.0,0.0
3,1,9.0,0.02
7,2,2.0,0.139
11,1,4.0,0.03
9,1,8.0,0.009
7,3,18.0,0.0
1,3,7.0,0.026
8,3,2.0,0.345
4,1,5.0,0.008
6,1,2.0,0.444
11,3,4.0,0.026
9,1,25.0,0.002
2,3,9.0,0.003
10,2,2.0,0.439
1,3,25.0,0.002
2,3,23.0,0.0
8,3,5.0,0.005
11,2,7.0,0.041
10,1,23.0,0.0
2,2,1.0,0.26
12,1,25.0,0.0
12,2,21.0,0.0
12,2,5.0,0.025
8,1,17.0,0.0
1,3,5.0,0.013
4,1,23.0,0.0
10,2,4.0,0.032
10,1,21.0,0.0
6,1,23.0,0.001
11,3,18.0,0.0
3,3,1.0,0.215
3,1,7.0,0.066
9,3,21.0,0.0
12,1,17.0,0.001
7,3,5.0,0.015
2,3,25.0,0.0
3,3,21.0,0.0
10,2,9.0,0.011
12,3,2.0,0.441
2,3,21.0,0.0
8,3,8.0,0.0
5,1,25.0,0.001
7,1,17.0,0.0
5,3,8.0,0.01
7,3,25.0,0.001
5,1,4.0,0.013
1,2,18.0,0.001
6,1,18.0,0.003
7,2,18.0,0.0
12,2,9.0,0.005
1,2,8.0,0.011
7,2,9.0,0.0
7,2,4.0,0.009
9,1,26.0,0.0
8,3,25.0,0.001
7,3,7.0,0.0
4,1,3.0,0.175
7,1,9.0,0.0
11,2,1.0,0.237
7,1,2.0,0.146
6,3,8.0,0.0
9,2,7.0,0.038
12,2,3.0,0.204
12,1,2.0,0.45
6,1,25.0,0.001
12,1,7.0,0.045
8,3,21.0,0.0
9,3,18.0,0.0
