m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,5.3,9.2,14.0,10.6,19.0,0.6,122.0
2,5.9,10.8,15.7,10.6,14.0,0.49,79.0
3,7.5,12.3,17.4,12.1,15.0,0.48,69.0
4,8.9,13.6,18.7,11.0,15.0,0.49,61.0
5,10.9,15.9,20.8,10.1,14.0,0.47,50.0
6,14.9,19.2,24.0,9.1,15.0,0.5,68.0
7,16.5,21.4,25.7,8.7,11.0,0.36,21.0
8,16.9,21.6,26.7,8.4,12.0,0.39,40.0
9,15.3,20.3,25.7,8.6,13.0,0.43,68.0
10,12.5,17.1,22.9,9.6,14.0,0.46,97.0
11,9.3,13.2,17.4,10.4,18.0,0.61,169.0
12,7.0,11.1,15.4,11.8,16.0,0.52,144.0
