m,coco,coco_pct
12,4.0,0.102
2,25.0,0.001
11,1.0,0.084
9,1.0,0.152
1,12.0,0.001
1,9.0,0.014
6,1.0,0.076
12,7.0,0.185
5,9.0,0.002
9,12.0,0.0
7,17.0,0.01
8,2.0,0.324
12,1.0,0.123
10,5.0,0.037
9,26.0,0.0
1,4.0,0.141
10,4.0,0.085
12,18.0,0.001
1,26.0,0.0
6,8.0,0.028
7,18.0,0.002
2,18.0,0.001
12,8.0,0.067
11,25.0,0.001
5,2.0,0.302
9,14.0,0.0
10,18.0,0.002
9,9.0,0.007
4,14.0,0.0
3,3.0,0.259
2,2.0,0.266
11,9.0,0.023
3,8.0,0.042
12,5.0,0.03
9,2.0,0.363
5,3.0,0.292
7,9.0,0.0
12,12.0,0.0
8,17.0,0.007
7,2.0,0.266
8,4.0,0.214
12,14.0,0.0
3,1.0,0.084
8,5.0,0.014
2,17.0,0.01
5,5.0,0.022
11,2.0,0.308
12,2.0,0.248
4,26.0,0.0
2,3.0,0.233
9,4.0,0.075
1,14.0,0.0
1,25.0,0.0
3,25.0,0.001
8,25.0,0.003
9,17.0,0.01
1,1.0,0.125
10,25.0,0.0
5,14.0,0.0
3,14.0,0.0
11,5.0,0.023
3,2.0,0.334
3,18.0,0.001
8,7.0,0.071
10,2.0,0.324
4,3.0,0.249
3,12.0,0.0
12,3.0,0.21
1,2.0,0.223
8,14.0,0.0
10,17.0,0.022
1,3.0,0.232
8,26.0,0.0
3,9.0,0.004
9,18.0,0.003
11,4.0,0.105
7,8.0,0.009
10,7.0,0.11
8,12.0,0.0
4,1.0,0.096
3,17.0,0.022
10,8.0,0.049
10,26.0,0.0
9,3.0,0.25
6,18.0,0.007
1,17.0,0.018
4,17.0,0.019
7,7.0,0.05
10,14.0,0.0
6,25.0,0.005
5,7.0,0.106
6,9.0,0.002
4,18.0,0.005
11,26.0,0.0
5,12.0,0.0
3,4.0,0.109
6,12.0,0.0
7,26.0,0.0
1,18.0,0.003
9,7.0,0.087
6,3.0,0.283
8,9.0,0.001
3,7.0,0.117
10,1.0,0.132
3,26.0,0.0
12,26.0,0.0
6,5.0,0.039
6,14.0,0.0
11,14.0,0.0
2,7.0,0.119
2,14.0,0.0
3,5.0,0.028
1,5.0,0.035
7,5.0,0.022
8,18.0,0.002
1,7.0,0.151
2,9.0,0.006
11,12.0,0.0
5,18.0,0.001
7,25.0,0.005
5,8.0,0.024
6,7.0,0.108
5,17.0,0.008
4,8.0,0.032
7,1.0,0.14
12,17.0,0.013
10,9.0,0.012
5,25.0,0.004
12,9.0,0.021
11,7.0,0.181
7,4.0,0.228
11,3.0,0.159
4,12.0,0.0
1,8.0,0.057
9,5.0,0.021
4,7.0,0.141
5,26.0,0.0
8,8.0,0.019
9,8.0,0.03
8,1.0,0.142
5,4.0,0.142
7,14.0,0.0
7,3.0,0.27
6,4.0,0.173
6,17.0,0.02
2,8.0,0.039
2,1.0,0.178
4,4.0,0.119
9,25.0,0.003
6,26.0,0.0
7,12.0,0.0
8,3.0,0.204
5,1.0,0.099
11,17.0,0.015
10,3.0,0.228
10,12.0,0.0
2,4.0,0.117
4,2.0,0.303
11,8.0,0.1
2,5.0,0.032
2,26.0,0.0
4,9.0,0.005
6,2.0,0.259
4,5.0,0.03
2,12.0,0.0
11,18.0,0.002
12,25.0,0.0
4,25.0,0.002
