m,m3,coco,coco_pct
6,1,9.0,0.0
1,1,18.0,0.001
8,3,26.0,0.0
10,1,26.0,0.0
3,1,2.0,0.311
3,1,18.0,0.002
10,2,2.0,0.35
2,2,1.0,0.232
3,1,26.0,0.0
10,1,9.0,0.013
3,2,4.0,0.141
9,1,15.0,0.0
8,2,25.0,0.002
11,2,17.0,0.017
2,3,9.0,0.018
11,1,1.0,0.064
12,1,15.0,0.0
5,2,17.0,0.01
10,3,7.0,0.114
2,3,15.0,0.001
1,2,4.0,0.162
12,1,7.0,0.239
8,2,17.0,0.014
9,1,9.0,0.005
3,3,7.0,0.071
12,2,15.0,0.0
1,3,18.0,0.0
5,2,15.0,0.0
1,2,5.0,0.037
4,2,4.0,0.11
6,2,4.0,0.13
10,3,8.0,0.056
10,3,14.0,0.0
4,2,14.0,0.0
1,2,9.0,0.024
4,2,2.0,0.313
6,3,17.0,0.008
11,1,7.0,0.198
6,2,5.0,0.033
9,3,5.0,0.038
5,3,7.0,0.062
11,2,7.0,0.173
8,1,3.0,0.202
8,1,2.0,0.314
4,2,26.0,0.0
5,2,2.0,0.208
2,3,5.0,0.026
8,1,26.0,0.0
11,3,2.0,0.326
6,3,2.0,0.208
7,2,8.0,0.009
1,1,4.0,0.132
4,1,1.0,0.094
4,3,2.0,0.226
7,3,3.0,0.279
8,2,15.0,0.0
7,1,15.0,0.0
10,2,8.0,0.049
4,2,3.0,0.15
9,1,4.0,0.08
1,3,8.0,0.048
3,2,15.0,0.0
8,3,14.0,0.0
9,2,25.0,0.005
7,1,9.0,0.0
12,3,7.0,0.119
9,3,4.0,0.077
7,3,2.0,0.287
1,1,2.0,0.23
8,2,4.0,0.254
4,2,15.0,0.0
9,3,1.0,0.174
2,3,18.0,0.0
1,1,7.0,0.15
5,2,3.0,0.301
5,1,15.0,0.0
6,2,12.0,0.0
5,1,7.0,0.087
7,2,12.0,0.0
12,1,18.0,0.002
10,3,26.0,0.0
9,3,15.0,0.0
9,2,9.0,0.002
8,1,25.0,0.004
12,3,1.0,0.19
12,3,5.0,0.043
3,1,5.0,0.032
4,2,1.0,0.167
7,2,3.0,0.27
4,3,4.0,0.178
11,2,3.0,0.155
9,1,5.0,0.008
3,2,7.0,0.156
5,2,25.0,0.001
7,3,18.0,0.0
2,2,15.0,0.0
10,3,5.0,0.025
11,3,25.0,0.0
9,1,8.0,0.024
8,1,1.0,0.165
7,1,2.0,0.245
12,2,26.0,0.0
7,1,7.0,0.054
1,3,12.0,0.0
5,3,12.0,0.0
3,2,1.0,0.059
11,3,15.0,0.0
1,1,26.0,0.0
8,3,15.0,0.0
4,1,15.0,0.0
7,1,25.0,0.002
5,3,17.0,0.007
1,2,3.0,0.207
6,3,1.0,0.131
5,2,5.0,0.019
10,1,12.0,0.0
1,3,4.0,0.136
4,1,4.0,0.069
11,2,9.0,0.013
10,1,1.0,0.203
1,2,17.0,0.014
8,3,17.0,0.005
11,2,18.0,0.001
10,2,26.0,0.0
7,3,26.0,0.0
10,3,12.0,0.0
2,1,14.0,0.001
9,2,26.0,0.0
9,1,26.0,0.0
1,1,1.0,0.1
4,1,3.0,0.259
5,3,26.0,0.0
12,2,8.0,0.059
6,1,17.0,0.024
11,1,9.0,0.008
11,3,3.0,0.148
4,3,1.0,0.028
8,2,14.0,0.0
1,2,14.0,0.0
12,3,26.0,0.0
6,3,25.0,0.002
7,2,14.0,0.0
2,2,14.0,0.0
11,3,8.0,0.123
1,3,2.0,0.179
3,2,5.0,0.026
8,3,25.0,0.003
9,2,3.0,0.271
1,3,3.0,0.24
8,3,2.0,0.38
2,1,18.0,0.003
11,1,5.0,0.029
10,2,5.0,0.024
12,3,14.0,0.0
5,2,18.0,0.001
12,1,5.0,0.019
