m,coco,coco_pct
10,3.0,0.066
9,8.0,0.005
5,7.0,0.028
9,5.0,0.012
3,5.0,0.044
7,2.0,0.109
5,4.0,0.006
11,17.0,0.002
6,8.0,0.001
11,7.0,0.068
10,25.0,0.001
2,1.0,0.476
1,17.0,0.002
10,26.0,0.0
10,23.0,0.0
3,7.0,0.079
1,2.0,0.248
6,3.0,0.073
3,17.0,0.003
7,23.0,0.0
6,5.0,0.009
11,3.0,0.109
2,2.0,0.292
3,26.0,0.0
1,7.0,0.05
1,25.0,0.0
6,2.0,0.281
9,23.0,0.0
2,9.0,0.005
7,9.0,0.0
10,4.0,0.01
2,5.0,0.068
9,18.0,0.002
1,18.0,0.006
11,8.0,0.024
3,3.0,0.096
4,8.0,0.02
8,7.0,0.001
5,17.0,0.001
11,5.0,0.069
7,5.0,0.022
5,9.0,0.0
6,4.0,0.009
10,2.0,0.361
6,26.0,0.0
4,17.0,0.002
3,1.0,0.363
8,3.0,0.013
3,2.0,0.329
1,9.0,0.005
12,25.0,0.0
8,17.0,0.0
8,2.0,0.127
8,1.0,0.84
11,26.0,0.0
10,9.0,0.012
4,25.0,0.001
7,7.0,0.0
8,8.0,0.0
5,25.0,0.001
3,4.0,0.015
2,25.0,0.0
2,3.0,0.092
3,8.0,0.041
7,4.0,0.004
12,18.0,0.004
10,18.0,0.006
1,8.0,0.024
6,7.0,0.012
7,26.0,0.0
6,17.0,0.001
9,25.0,0.001
5,1.0,0.585
8,5.0,0.013
2,17.0,0.001
4,3.0,0.102
6,18.0,0.003
8,25.0,0.0
10,5.0,0.035
1,3.0,0.079
12,17.0,0.001
8,26.0,0.0
9,26.0,0.0
4,4.0,0.009
10,8.0,0.029
10,7.0,0.046
4,23.0,0.0
11,23.0,0.0
12,9.0,0.014
2,18.0,0.001
7,1.0,0.847
9,2.0,0.332
11,2.0,0.331
8,18.0,0.0
11,4.0,0.016
8,9.0,0.0
7,25.0,0.0
4,5.0,0.024
5,18.0,0.004
8,23.0,0.0
6,9.0,0.0
12,23.0,0.0
4,9.0,0.004
9,3.0,0.065
6,23.0,0.0
3,25.0,0.0
4,2.0,0.42
4,18.0,0.006
11,1.0,0.37
7,3.0,0.018
10,17.0,0.001
5,2.0,0.314
6,25.0,0.001
5,26.0,0.0
4,26.0,0.0
1,5.0,0.116
11,9.0,0.005
5,23.0,0.0
3,9.0,0.026
5,3.0,0.041
1,26.0,0.0
12,8.0,0.03
11,18.0,0.005
12,26.0,0.0
2,4.0,0.018
9,9.0,0.001
4,1.0,0.358
4,7.0,0.055
12,3.0,0.086
7,17.0,0.0
12,4.0,0.02
6,1.0,0.61
8,4.0,0.005
5,5.0,0.013
11,25.0,0.001
1,4.0,0.019
12,1.0,0.439
2,23.0,0.0
2,7.0,0.036
10,1.0,0.434
7,8.0,0.0
9,4.0,0.006
3,18.0,0.004
1,1.0,0.45
12,2.0,0.263
3,23.0,0.0
1,23.0,0.0
2,8.0,0.011
12,7.0,0.047
2,26.0,0.0
9,7.0,0.016
7,18.0,0.0
12,5.0,0.095
9,17.0,0.001
9,1.0,0.559
5,8.0,0.008
