m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,4.7,11.0,8.3,91.0,7.4,0.08
1,1,4.1,10.8,7.6,91.5,6.5,0.08
1,2,3.9,10.3,7.3,93.0,7.4,0.07
1,3,3.4,10.0,6.7,94.0,6.5,0.08
1,4,3.0,9.7,6.4,94.0,6.5,0.12
1,5,2.6,9.9,6.4,93.5,6.5,0.14
1,6,2.1,9.8,5.9,94.5,5.6,0.13
1,7,2.0,9.2,5.9,94.5,6.5,0.1
1,8,1.9,9.7,6.1,94.5,5.6,0.09
1,9,5.1,11.4,8.1,92.5,6.5,0.08
1,10,9.0,13.6,11.0,85.5,8.3,0.09
1,11,11.2,15.9,13.4,76.0,11.2,0.12
1,12,13.4,17.0,15.5,69.5,13.9,0.11
1,13,14.2,18.0,16.3,64.0,15.7,0.09
1,14,14.5,18.5,16.7,61.5,15.9,0.12
1,15,15.0,18.5,16.8,61.0,15.7,0.1
1,16,14.2,18.0,16.4,62.5,15.7,0.11
1,17,13.5,16.6,15.1,67.5,13.0,0.12
1,18,11.0,14.8,12.8,77.0,11.0,0.1
1,19,9.1,13.7,11.5,81.5,9.4,0.1
1,20,8.0,13.1,10.6,85.5,8.3,0.1
1,21,6.6,12.8,10.0,87.0,6.5,0.05
1,22,5.8,12.0,9.3,88.0,8.3,0.09
1,23,5.3,12.0,9.1,88.0,8.3,0.1
2,0,7.1,12.1,9.6,88.0,7.3,0.06
2,1,6.7,11.6,9.2,88.0,6.5,0.08
2,2,6.0,11.1,8.7,89.0,6.5,0.09
2,3,6.0,10.7,8.3,89.5,5.7,0.07
2,4,5.4,11.0,8.1,90.5,5.6,0.07
2,5,5.0,10.6,7.8,92.0,5.6,0.07
2,6,5.0,11.0,7.7,92.0,5.6,0.09
2,7,4.8,10.8,7.6,92.0,5.6,0.09
2,8,6.0,10.6,8.5,92.0,5.6,0.08
2,9,10.0,13.0,11.5,85.5,6.4,0.07
2,10,13.0,15.9,14.7,75.0,8.3,0.09
2,11,15.2,18.0,16.5,66.5,11.3,0.08
2,12,16.5,19.5,18.3,60.5,13.9,0.08
2,13,17.0,20.4,18.6,56.0,15.0,0.1
2,14,17.2,21.0,19.0,54.5,15.9,0.08
2,15,17.0,21.1,19.1,54.5,16.8,0.1
2,16,17.1,20.8,18.8,55.0,16.6,0.08
2,17,16.0,19.2,17.5,58.5,14.8,0.07
2,18,14.6,17.1,15.9,64.5,13.1,0.06
2,19,12.5,14.8,13.9,75.0,9.2,0.06
2,20,11.6,14.0,12.8,79.5,7.4,0.06
2,21,10.0,12.9,11.6,82.5,7.4,0.06
2,22,9.0,12.6,10.8,83.5,7.3,0.06
2,23,8.0,12.0,9.8,85.5,6.7,0.07
3,0,8.9,13.1,11.0,86.5,7.4,0.15
3,1,7.9,13.0,10.6,88.0,8.3,0.13
