m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,4.0,9.6,16.8,8.1,4.0,0.41,9.0
1,2,3.6,9.6,17.3,9.3,3.0,0.27,7.0
1,3,7.0,12.5,18.0,10.6,4.0,0.37,13.0
2,1,4.7,11.6,18.5,8.4,3.0,0.27,3.0
2,2,6.3,13.1,20.4,9.4,2.0,0.2,1.0
2,3,4.7,12.2,19.9,10.6,3.0,0.31,2.0
3,1,7.4,13.1,18.9,12.1,5.0,0.49,24.0
3,2,7.7,14.5,21.6,10.5,3.0,0.3,15.0
3,3,8.8,15.0,21.9,12.9,4.0,0.36,27.0
4,1,8.6,15.1,21.8,12.2,2.0,0.25,13.0
4,2,9.9,17.1,23.9,11.1,3.0,0.3,10.0
4,3,10.9,17.0,23.5,11.3,4.0,0.39,12.0
5,1,11.4,19.8,27.1,11.0,1.0,0.12,2.0
5,2,11.6,19.8,28.3,11.8,1.0,0.14,0.0
5,3,13.9,21.6,29.6,11.1,1.0,0.1,2.0
6,1,13.8,21.9,29.4,11.6,1.0,0.11,1.0
6,2,14.8,21.7,30.2,11.3,1.0,0.11,1.0
6,3,15.4,23.4,31.7,11.1,1.0,0.07,0.0
7,1,16.4,24.4,33.4,11.0,0.0,0.01,0.0
7,2,18.0,26.1,35.3,11.0,0.0,0.03,0.0
7,3,18.4,26.4,35.6,9.9,0.0,0.01,0.0
8,1,18.0,26.5,35.9,10.0,0.0,0.03,0.0
8,2,18.2,26.0,35.7,10.4,0.0,0.03,0.0
8,3,18.4,26.5,35.1,10.1,0.0,0.01,0.0
9,1,17.0,24.5,32.2,10.1,1.0,0.06,1.0
9,2,17.1,23.5,30.8,10.7,2.0,0.21,4.0
9,3,14.5,22.0,30.5,9.4,1.0,0.13,2.0
10,1,13.8,21.5,31.0,8.9,1.0,0.11,2.0
10,2,15.3,20.0,26.8,10.6,4.0,0.36,30.0
10,3,12.1,18.0,24.2,9.6,4.0,0.38,29.0
11,1,10.5,15.8,22.4,10.8,4.0,0.39,8.0
11,2,9.9,15.5,22.3,9.0,4.0,0.42,21.0
11,3,7.7,13.4,19.4,8.5,4.0,0.4,27.0
12,1,6.7,12.3,18.5,8.4,4.0,0.43,8.0
12,2,7.4,12.9,18.4,10.1,4.0,0.36,14.0
12,3,4.8,11.1,18.9,7.0,3.0,0.27,2.0
