m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,4.1,9.6,7.3,93.3,5.6,0.12
1,1,1,3.2,9.4,6.4,94.0,5.2,0.12
1,1,2,3.2,9.4,6.3,95.0,5.6,0.12
1,1,3,2.6,9.3,6.0,96.0,5.2,0.14
1,1,4,2.8,8.3,5.7,96.3,5.2,0.16
1,1,5,2.4,8.0,4.9,96.5,6.5,0.16
1,1,6,1.9,7.3,4.5,97.0,5.6,0.16
1,1,7,1.7,7.6,4.8,97.3,5.6,0.12
1,1,8,1.3,7.5,4.8,97.8,3.8,0.12
1,1,9,4.1,9.5,7.2,96.8,4.3,0.08
1,1,10,8.1,12.4,10.2,88.8,7.0,0.06
1,1,11,11.0,14.7,12.9,78.8,9.2,0.12
1,1,12,12.3,16.6,14.6,69.8,10.6,0.1
1,1,13,13.2,17.9,15.7,65.3,13.5,0.08
1,1,14,13.8,18.4,16.1,62.8,13.0,0.14
1,1,15,14.6,18.0,16.2,60.5,13.0,0.12
1,1,16,14.1,17.7,15.9,63.5,12.6,0.14
1,1,17,13.1,16.5,15.0,68.5,10.8,0.18
1,1,18,10.1,14.5,12.5,78.3,8.3,0.16
1,1,19,8.5,12.9,10.9,84.8,7.4,0.14
1,1,20,7.6,12.2,10.0,87.5,5.6,0.12
1,1,21,6.2,11.4,8.5,89.8,6.1,0.08
1,1,22,5.2,10.9,8.1,90.3,7.0,0.08
1,1,23,4.5,9.9,7.8,91.5,7.0,0.12
1,2,0,4.0,10.8,7.2,89.8,6.5,0.0
1,2,1,2.5,10.5,6.2,90.8,6.5,0.04
1,2,2,2.7,10.2,5.9,91.8,7.0,0.02
1,2,3,2.1,9.6,5.4,92.3,6.6,0.02
1,2,4,1.9,10.0,5.8,93.0,7.0,0.08
1,2,5,1.2,9.6,5.2,93.3,6.5,0.08
1,2,6,0.5,9.3,4.8,94.5,5.6,0.08
1,2,7,0.4,9.0,4.7,94.3,7.4,0.06
1,2,8,1.1,9.0,5.0,94.3,6.5,0.06
1,2,9,4.4,11.0,7.5,91.5,5.6,0.06
1,2,10,8.5,13.1,10.9,84.3,7.4,0.08
1,2,11,11.1,15.6,13.3,76.5,10.6,0.08
1,2,12,13.4,16.7,15.3,70.0,15.4,0.08
1,2,13,14.2,17.8,16.3,65.0,15.4,0.08
1,2,14,15.1,18.4,16.8,62.8,16.4,0.1
1,2,15,15.1,18.0,16.8,61.5,15.8,0.08
1,2,16,15.1,17.7,16.4,61.0,15.4,0.08
1,2,17,13.7,16.1,15.1,66.5,14.4,0.1
1,2,18,10.9,14.0,12.5,76.3,10.9,0.06
1,2,19,8.6,13.5,11.1,80.5,9.8,0.08
1,2,20,6.9,12.8,9.9,84.5,7.0,0.08
1,2,21,5.3,12.9,9.4,87.0,7.4,0.02
1,2,22,4.4,12.2,8.6,88.0,7.9,0.04
1,2,23,4.2,12.1,8.4,87.5,7.9,0.02
1,3,0,7.1,12.2,10.0,89.0,7.4,0.11
1,3,1,6.5,11.5,9.2,88.5,7.4,0.09
1,3,2,6.0,10.9,8.8,89.0,8.3,0.07
1,3,3,5.5,11.1,8.4,91.5,8.3,0.09
1,3,4,5.2,11.7,8.6,90.5,7.5,0.11
1,3,5,4.4,11.5,8.4,90.5,7.4,0.16
1,3,6,4.5,11.8,8.4,92.0,8.3,0.15
1,3,7,4.4,12.0,8.5,92.5,7.4,0.13
