m,coco,coco_pct
10,7.0,0.058
10,23.0,0.0
2,2.0,0.369
4,23.0,0.0
7,18.0,0.006
9,23.0,0.0
9,25.0,0.005
12,4.0,0.021
12,7.0,0.025
10,18.0,0.003
1,18.0,0.001
11,18.0,0.001
12,5.0,0.102
4,25.0,0.001
11,17.0,0.001
9,4.0,0.022
12,8.0,0.009
2,17.0,0.0
2,25.0,0.0
5,17.0,0.002
1,25.0,0.002
3,1.0,0.11
4,27.0,0.0
1,3.0,0.136
1,1.0,0.284
12,3.0,0.151
4,3.0,0.202
5,5.0,0.039
6,5.0,0.028
8,18.0,0.004
10,1.0,0.137
6,8.0,0.015
6,2.0,0.558
6,17.0,0.008
5,27.0,0.001
11,9.0,0.001
5,2.0,0.548
4,1.0,0.133
9,26.0,0.0
7,9.0,0.0
9,3.0,0.184
9,17.0,0.001
2,7.0,0.027
5,9.0,0.002
8,3.0,0.092
6,1.0,0.191
12,25.0,0.0
1,5.0,0.078
10,8.0,0.02
7,2.0,0.481
11,4.0,0.034
10,9.0,0.008
3,5.0,0.051
1,8.0,0.009
5,3.0,0.184
10,2.0,0.464
2,1.0,0.231
2,3.0,0.186
9,5.0,0.014
4,2.0,0.462
2,4.0,0.049
2,27.0,0.0
6,7.0,0.034
6,23.0,0.0
10,17.0,0.003
10,27.0,0.0
9,18.0,0.008
5,26.0,0.0
6,4.0,0.019
2,26.0,0.0
7,3.0,0.078
7,4.0,0.011
3,18.0,0.001
1,9.0,0.001
10,3.0,0.195
1,4.0,0.023
6,9.0,0.0
7,5.0,0.005
6,25.0,0.006
7,7.0,0.011
11,3.0,0.212
12,26.0,0.0
5,7.0,0.049
11,2.0,0.481
3,4.0,0.065
6,27.0,0.001
4,7.0,0.067
9,2.0,0.557
1,23.0,0.0
1,7.0,0.034
11,23.0,0.0
6,26.0,0.001
8,9.0,0.002
6,18.0,0.007
4,17.0,0.001
12,1.0,0.193
11,5.0,0.071
10,4.0,0.034
7,25.0,0.007
9,27.0,0.0
8,7.0,0.016
3,26.0,0.0
3,27.0,0.0
8,8.0,0.006
4,5.0,0.051
6,3.0,0.134
4,9.0,0.002
1,2.0,0.434
7,27.0,0.0
4,18.0,0.005
3,3.0,0.215
1,26.0,0.0
12,2.0,0.499
8,25.0,0.004
5,18.0,0.006
9,1.0,0.159
3,17.0,0.001
3,7.0,0.062
7,1.0,0.396
3,25.0,0.001
1,17.0,0.0
12,9.0,0.0
12,27.0,0.0
2,9.0,0.001
5,1.0,0.124
4,4.0,0.049
2,5.0,0.13
5,4.0,0.027
8,4.0,0.014
10,5.0,0.073
2,23.0,0.0
8,17.0,0.002
3,23.0,0.0
7,26.0,0.0
4,26.0,0.0
12,18.0,0.0
9,8.0,0.014
3,9.0,0.004
7,23.0,0.0
8,23.0,0.0
8,2.0,0.589
2,18.0,0.001
10,25.0,0.003
8,26.0,0.0
11,7.0,0.051
11,8.0,0.022
2,8.0,0.007
1,27.0,0.0
7,17.0,0.001
9,7.0,0.035
12,23.0,0.0
7,8.0,0.003
11,25.0,0.002
3,8.0,0.014
8,1.0,0.265
5,25.0,0.006
5,8.0,0.014
3,2.0,0.477
4,8.0,0.027
12,17.0,0.0
11,26.0,0.0
10,26.0,0.0
8,27.0,0.0
11,1.0,0.124
8,5.0,0.006
5,23.0,0.0
9,9.0,0.002
11,27.0,0.0
