m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,2.7,8.4,14.6,11.3,1.0,0.14,2.0
1,2,2.0,8.1,14.9,12.0,1.0,0.14,4.0
1,3,3.6,9.1,16.6,14.2,1.0,0.09,3.0
2,1,4.7,10.2,17.3,11.1,1.0,0.13,2.0
2,2,5.0,10.6,16.7,9.2,1.0,0.07,1.0
2,3,5.9,11.5,17.7,12.6,1.0,0.13,4.0
3,1,6.7,12.1,17.2,13.4,3.0,0.29,12.0
3,2,7.6,12.8,18.6,13.8,2.0,0.25,4.0
3,3,6.9,12.7,17.9,12.7,3.0,0.23,4.0
4,1,7.8,13.4,19.5,13.6,2.0,0.21,2.0
4,2,9.3,14.9,20.7,12.1,3.0,0.3,20.0
4,3,11.1,15.7,21.0,9.8,4.0,0.39,6.0
5,1,12.1,17.9,24.0,11.2,2.0,0.22,1.0
5,2,12.4,18.0,24.0,12.4,2.0,0.23,12.0
5,3,14.3,19.7,25.4,10.0,2.0,0.21,13.0
6,1,15.7,20.8,26.1,10.7,2.0,0.24,3.0
6,2,17.0,22.7,28.7,10.1,2.0,0.16,6.0
6,3,19.1,24.3,29.7,10.6,2.0,0.17,12.0
7,1,19.7,25.2,31.0,10.4,2.0,0.19,2.0
7,2,20.7,25.8,31.4,10.6,1.0,0.1,1.0
7,3,21.2,26.2,32.0,10.3,1.0,0.13,2.0
8,1,21.3,26.8,32.5,11.1,1.0,0.06,0.0
8,2,20.8,26.2,32.2,10.6,1.0,0.14,1.0
8,3,20.5,25.4,31.2,10.5,3.0,0.26,7.0
9,1,18.9,23.9,29.2,11.3,3.0,0.32,17.0
9,2,18.2,23.1,28.7,9.8,3.0,0.26,18.0
9,3,15.5,21.0,26.6,11.1,1.0,0.14,9.0
10,1,14.8,19.8,25.3,11.9,2.0,0.17,4.0
10,2,13.6,19.2,24.1,10.4,2.0,0.2,6.0
10,3,11.3,17.0,22.4,10.6,3.0,0.25,10.0
11,1,9.7,14.8,20.0,13.5,2.0,0.22,8.0
11,2,9.1,14.2,18.9,11.4,2.0,0.23,4.0
11,3,6.6,12.1,17.5,13.9,3.0,0.26,8.0
12,1,6.5,11.2,15.8,14.2,1.0,0.13,0.0
12,2,4.9,10.7,16.5,11.4,2.0,0.17,6.0
12,3,5.0,10.2,17.3,10.4,0.0,0.03,0.0
