m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,2.2,7.6,4.9,94.8,4.2,0.1
1,1,1,1.7,7.4,4.6,95.0,4.7,0.13
1,1,2,0.9,7.3,4.2,95.0,4.6,0.13
1,1,3,0.6,7.2,4.1,95.8,4.3,0.2
1,1,4,0.2,7.6,4.3,95.8,5.2,0.1
1,1,5,0.0,6.4,3.6,96.0,4.7,0.13
1,1,6,0.0,6.7,3.5,95.8,4.3,0.1
1,1,7,0.1,5.6,3.0,95.5,6.1,0.1
1,1,8,0.4,6.3,3.6,95.5,5.6,0.07
1,1,9,3.5,8.3,6.2,94.0,5.2,0.03
1,1,10,6.3,10.4,8.4,84.0,10.2,0.1
1,1,11,8.6,12.0,10.5,76.8,12.0,0.13
1,1,12,10.5,13.2,12.0,71.0,10.6,0.07
1,1,13,11.8,14.8,13.3,65.3,9.3,0.07
1,1,14,12.5,16.2,14.1,61.0,9.2,0.1
1,1,15,13.2,16.7,14.5,61.0,9.2,0.1
1,1,16,12.9,16.8,14.5,61.3,7.4,0.07
1,1,17,12.1,15.7,13.5,63.8,5.6,0.13
1,1,18,8.8,12.1,10.6,76.3,4.3,0.17
1,1,19,6.8,10.7,8.8,83.8,3.8,0.13
1,1,20,5.4,10.1,7.7,88.3,4.3,0.1
1,1,21,4.3,9.1,6.8,90.8,3.7,0.1
1,1,22,3.6,8.8,6.4,92.0,2.7,0.1
1,1,23,2.9,8.1,5.7,94.3,3.8,0.13
1,2,0,1.4,8.8,5.2,90.0,5.6,0.03
1,2,1,1.1,8.6,5.0,92.0,4.7,0.2
1,2,2,0.5,7.9,4.5,91.3,5.2,0.13
1,2,3,0.4,7.6,4.2,92.0,5.2,0.07
1,2,4,-0.1,6.9,3.6,91.8,7.0,0.1
1,2,5,-0.1,7.1,3.4,92.5,6.5,0.1
1,2,6,-0.5,7.5,3.6,92.8,5.2,0.1
1,2,7,-0.8,7.5,3.4,93.3,6.5,0.13
1,2,8,0.0,7.2,3.4,92.0,6.1,0.1
1,2,9,3.0,9.2,6.0,86.8,8.3,0.17
1,2,10,6.2,10.1,8.4,77.0,12.1,0.13
1,2,11,8.8,11.7,10.6,69.5,13.0,0.17
1,2,12,10.3,13.1,11.8,64.3,12.5,0.13
1,2,13,12.0,14.4,13.4,59.0,9.2,0.13
1,2,14,13.1,16.0,14.5,57.8,8.8,0.17
1,2,15,14.0,16.2,15.2,56.8,8.8,0.13
1,2,16,14.0,16.9,15.4,55.8,8.3,0.17
1,2,17,12.5,15.6,14.0,61.8,9.2,0.17
1,2,18,9.7,12.3,11.0,73.3,5.2,0.17
1,2,19,7.0,11.0,9.2,80.3,4.8,0.17
1,2,20,5.2,10.4,8.0,83.5,5.6,0.13
1,2,21,4.0,10.2,7.3,86.5,3.7,0.17
1,2,22,3.0,9.6,6.8,87.5,4.3,0.07
1,2,23,2.3,9.1,5.8,90.3,4.7,0.13
1,3,0,5.3,11.1,8.1,90.0,6.4,0.12
1,3,1,5.0,10.9,7.1,89.5,6.4,0.09
1,3,2,3.6,10.5,6.6,91.5,5.6,0.09
1,3,3,3.8,10.6,6.8,93.0,6.5,0.12
1,3,4,3.8,10.7,6.4,93.5,7.4,0.15
1,3,5,3.5,10.5,6.8,95.0,6.5,0.15
1,3,6,3.6,10.4,6.7,94.5,6.5,0.12
1,3,7,2.6,10.4,6.1,96.5,6.5,0.12
