m,coco,coco_pct,country,place
1,1.0,0.421,spanje,alicante
1,2.0,0.26,spanje,alicante
1,3.0,0.258,spanje,alicante
1,4.0,0.012,spanje,alicante
1,5.0,0.013,spanje,alicante
1,7.0,0.023,spanje,alicante
1,8.0,0.007,spanje,alicante
1,9.0,0.002,spanje,alicante
1,17.0,0.002,spanje,alicante
1,18.0,0.0,spanje,alicante
1,23.0,0.0,spanje,alicante
1,25.0,0.001,spanje,alicante
1,26.0,0.0,spanje,alicante
1,27.0,0.0,spanje,alicante
2,1.0,0.426,spanje,alicante
2,2.0,0.272,spanje,alicante
2,3.0,0.249,spanje,alicante
2,4.0,0.021,spanje,alicante
2,5.0,0.018,spanje,alicante
2,7.0,0.006,spanje,alicante
2,8.0,0.003,spanje,alicante
2,9.0,0.002,spanje,alicante
2,17.0,0.002,spanje,alicante
2,18.0,0.0,spanje,alicante
2,23.0,0.0,spanje,alicante
2,25.0,0.0,spanje,alicante
2,26.0,0.0,spanje,alicante
2,27.0,0.0,spanje,alicante
3,1.0,0.285,spanje,alicante
3,2.0,0.257,spanje,alicante
3,3.0,0.285,spanje,alicante
3,4.0,0.032,spanje,alicante
3,5.0,0.004,spanje,alicante
3,7.0,0.084,spanje,alicante
3,8.0,0.039,spanje,alicante
3,9.0,0.01,spanje,alicante
3,17.0,0.004,spanje,alicante
3,18.0,0.001,spanje,alicante
3,23.0,0.0,spanje,alicante
3,25.0,0.0,spanje,alicante
3,26.0,0.0,spanje,alicante
3,27.0,0.0,spanje,alicante
4,1.0,0.274,spanje,alicante
4,2.0,0.343,spanje,alicante
4,3.0,0.236,spanje,alicante
4,4.0,0.026,spanje,alicante
4,5.0,0.001,spanje,alicante
4,7.0,0.078,spanje,alicante
4,8.0,0.022,spanje,alicante
4,9.0,0.006,spanje,alicante
4,17.0,0.006,spanje,alicante
4,18.0,0.004,spanje,alicante
4,23.0,0.0,spanje,alicante
4,25.0,0.003,spanje,alicante
4,26.0,0.0,spanje,alicante
4,27.0,0.0,spanje,alicante
5,1.0,0.362,spanje,alicante
