m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,0,6.9,12.2,9.8,66.5,13.5,0.05,spanje,alicante
1,1,6.9,12.3,9.3,67.0,13.2,0.05,spanje,alicante
1,2,6.5,12.0,9.3,66.5,14.1,0.05,spanje,alicante
1,3,6.0,12.0,9.2,67.0,14.6,0.03,spanje,alicante
1,4,6.0,12.0,8.8,67.0,14.8,0.03,spanje,alicante
1,5,6.0,11.9,8.6,67.0,14.4,0.03,spanje,alicante
1,6,6.0,11.8,8.7,65.5,13.9,0.03,spanje,alicante
1,7,5.7,11.3,8.5,66.0,14.4,0.04,spanje,alicante
1,8,6.4,11.7,8.8,63.5,14.1,0.03,spanje,alicante
1,9,9.1,14.3,11.6,57.0,14.2,0.03,spanje,alicante
1,10,11.4,16.3,13.7,52.5,14.6,0.03,spanje,alicante
1,11,12.4,17.4,14.9,49.5,14.6,0.03,spanje,alicante
1,12,13.3,18.4,15.9,47.5,15.7,0.05,spanje,alicante
1,13,13.8,18.7,16.2,46.0,16.4,0.05,spanje,alicante
1,14,13.7,18.6,16.1,48.0,18.0,0.05,spanje,alicante
1,15,13.4,17.7,15.7,50.0,17.3,0.06,spanje,alicante
1,16,12.9,16.8,14.8,54.0,15.9,0.04,spanje,alicante
1,17,11.2,15.0,13.0,62.0,14.1,0.03,spanje,alicante
1,18,10.2,14.2,12.2,66.5,13.2,0.04,spanje,alicante
1,19,9.2,14.0,11.4,68.0,13.2,0.04,spanje,alicante
1,20,8.7,13.4,10.9,67.0,13.0,0.03,spanje,alicante
1,21,8.3,12.6,10.4,68.5,13.2,0.01,spanje,alicante
1,22,7.8,12.9,9.9,69.5,13.0,0.02,spanje,alicante
1,23,7.3,12.7,10.0,67.5,13.4,0.05,spanje,alicante
2,0,8.6,12.7,10.6,69.5,11.2,0.02,spanje,alicante
2,1,7.9,12.6,10.2,70.5,11.6,0.03,spanje,alicante
2,2,7.7,12.5,10.1,72.0,13.0,0.01,spanje,alicante
2,3,7.5,12.1,10.0,68.5,13.4,0.01,spanje,alicante
2,4,7.1,12.2,10.1,68.5,13.0,0.03,spanje,alicante
2,5,6.9,11.6,9.7,69.5,12.6,0.04,spanje,alicante
2,6,6.8,12.1,9.6,69.5,13.3,0.03,spanje,alicante
2,7,6.9,12.0,9.3,68.5,13.7,0.03,spanje,alicante
2,8,8.8,12.8,10.7,64.0,13.7,0.05,spanje,alicante
2,9,11.6,15.3,13.6,56.0,12.6,0.03,spanje,alicante
2,10,13.1,16.8,15.2,53.0,14.6,0.03,spanje,alicante
2,11,13.8,18.2,16.2,51.0,15.1,0.03,spanje,alicante
2,12,14.6,18.9,16.8,49.5,17.8,0.03,spanje,alicante
2,13,14.8,19.0,17.2,48.0,18.4,0.03,spanje,alicante
2,14,14.7,18.7,17.1,49.0,18.7,0.03,spanje,alicante
2,15,14.3,18.5,16.6,54.0,18.6,0.03,spanje,alicante
2,16,14.0,17.6,15.9,59.0,17.7,0.03,spanje,alicante
2,17,13.2,16.4,15.1,64.5,15.7,0.03,spanje,alicante
2,18,12.2,15.1,13.7,70.0,12.8,0.03,spanje,alicante
2,19,11.5,14.4,13.1,70.5,11.9,0.03,spanje,alicante
2,20,10.7,14.0,12.4,68.0,12.8,0.03,spanje,alicante
2,21,10.2,13.4,11.8,68.5,11.0,0.03,spanje,alicante
2,22,9.6,13.0,11.4,70.0,11.0,0.01,spanje,alicante
2,23,9.1,12.9,10.9,70.5,10.7,0.03,spanje,alicante
3,0,10.0,14.0,12.0,69.5,12.3,0.13,spanje,alicante
3,1,9.7,13.3,11.6,68.0,12.1,0.15,spanje,alicante
3,2,9.6,13.3,11.5,68.0,12.8,0.15,spanje,alicante
3,3,9.0,13.1,11.1,68.5,12.8,0.1,spanje,alicante
3,4,8.8,13.1,11.0,68.5,13.0,0.1,spanje,alicante
3,5,8.8,12.9,11.0,68.5,13.5,0.11,spanje,alicante
