m,m3,coco,coco_pct,country,place
1,1,1.0,0.473,spanje,alicante
1,1,2.0,0.205,spanje,alicante
1,1,3.0,0.237,spanje,alicante
1,1,4.0,0.01,spanje,alicante
1,1,5.0,0.029,spanje,alicante
1,1,7.0,0.036,spanje,alicante
1,1,8.0,0.008,spanje,alicante
1,1,9.0,0.002,spanje,alicante
1,1,17.0,0.0,spanje,alicante
1,1,18.0,0.001,spanje,alicante
1,1,23.0,0.0,spanje,alicante
1,1,25.0,0.0,spanje,alicante
1,1,26.0,0.0,spanje,alicante
1,1,27.0,0.0,spanje,alicante
1,2,1.0,0.458,spanje,alicante
1,2,2.0,0.235,spanje,alicante
1,2,3.0,0.251,spanje,alicante
1,2,4.0,0.014,spanje,alicante
1,2,5.0,0.004,spanje,alicante
1,2,7.0,0.019,spanje,alicante
1,2,8.0,0.01,spanje,alicante
1,2,9.0,0.004,spanje,alicante
1,2,17.0,0.004,spanje,alicante
1,2,18.0,0.0,spanje,alicante
1,2,23.0,0.0,spanje,alicante
1,2,25.0,0.002,spanje,alicante
1,2,26.0,0.0,spanje,alicante
1,2,27.0,0.0,spanje,alicante
1,3,1.0,0.34,spanje,alicante
1,3,2.0,0.332,spanje,alicante
1,3,3.0,0.283,spanje,alicante
1,3,4.0,0.014,spanje,alicante
1,3,5.0,0.008,spanje,alicante
1,3,7.0,0.015,spanje,alicante
1,3,8.0,0.004,spanje,alicante
1,3,9.0,0.001,spanje,alicante
1,3,17.0,0.003,spanje,alicante
1,3,18.0,0.0,spanje,alicante
1,3,23.0,0.0,spanje,alicante
1,3,25.0,0.001,spanje,alicante
1,3,26.0,0.0,spanje,alicante
1,3,27.0,0.0,spanje,alicante
2,1,1.0,0.479,spanje,alicante
2,1,2.0,0.26,spanje,alicante
2,1,3.0,0.206,spanje,alicante
2,1,4.0,0.027,spanje,alicante
2,1,5.0,0.006,spanje,alicante
2,1,7.0,0.008,spanje,alicante
2,1,8.0,0.006,spanje,alicante
2,1,9.0,0.005,spanje,alicante
2,1,17.0,0.003,spanje,alicante
2,1,18.0,0.001,spanje,alicante
2,1,23.0,0.0,spanje,alicante
2,1,25.0,0.0,spanje,alicante
2,1,26.0,0.0,spanje,alicante
2,1,27.0,0.0,spanje,alicante
2,2,1.0,0.34,spanje,alicante
2,2,2.0,0.338,spanje,alicante
2,2,3.0,0.251,spanje,alicante
2,2,4.0,0.017,spanje,alicante
2,2,5.0,0.043,spanje,alicante
2,2,7.0,0.007,spanje,alicante
2,2,8.0,0.001,spanje,alicante
2,2,9.0,0.002,spanje,alicante
2,2,17.0,0.001,spanje,alicante
2,2,18.0,0.0,spanje,alicante
2,2,23.0,0.0,spanje,alicante
2,2,25.0,0.0,spanje,alicante
2,2,26.0,0.0,spanje,alicante
2,2,27.0,0.001,spanje,alicante
2,3,1.0,0.462,spanje,alicante
2,3,2.0,0.213,spanje,alicante
2,3,3.0,0.296,spanje,alicante
2,3,4.0,0.019,spanje,alicante
2,3,5.0,0.005,spanje,alicante
2,3,7.0,0.003,spanje,alicante
2,3,8.0,0.001,spanje,alicante
2,3,9.0,0.001,spanje,alicante
2,3,17.0,0.001,spanje,alicante
2,3,18.0,0.0,spanje,alicante
2,3,23.0,0.0,spanje,alicante
2,3,25.0,0.0,spanje,alicante
2,3,26.0,0.0,spanje,alicante
2,3,27.0,0.0,spanje,alicante
3,1,1.0,0.276,spanje,alicante
3,1,2.0,0.254,spanje,alicante
3,1,3.0,0.322,spanje,alicante
3,1,4.0,0.037,spanje,alicante
3,1,5.0,0.003,spanje,alicante
3,1,7.0,0.056,spanje,alicante
3,1,8.0,0.03,spanje,alicante
3,1,9.0,0.013,spanje,alicante
3,1,17.0,0.007,spanje,alicante
3,1,18.0,0.001,spanje,alicante
3,1,23.0,0.0,spanje,alicante
3,1,25.0,0.0,spanje,alicante
3,1,26.0,0.0,spanje,alicante
3,1,27.0,0.0,spanje,alicante
3,2,1.0,0.355,spanje,alicante
3,2,2.0,0.247,spanje,alicante
3,2,3.0,0.262,spanje,alicante
3,2,4.0,0.023,spanje,alicante
3,2,5.0,0.003,spanje,alicante
3,2,7.0,0.073,spanje,alicante
3,2,8.0,0.024,spanje,alicante
3,2,9.0,0.009,spanje,alicante
3,2,17.0,0.0,spanje,alicante
3,2,18.0,0.003,spanje,alicante
3,2,23.0,0.0,spanje,alicante
3,2,25.0,0.0,spanje,alicante
3,2,26.0,0.0,spanje,alicante
3,2,27.0,0.0,spanje,alicante
3,3,1.0,0.229,spanje,alicante
3,3,2.0,0.267,spanje,alicante
