m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct,country,place
1,1,0,6.9,12.6,9.8,67.5,14.3,0.1,spanje,alicante
1,1,1,6.6,12.2,9.3,66.8,14.3,0.08,spanje,alicante
1,1,2,5.9,12.0,9.1,66.8,13.4,0.08,spanje,alicante
1,1,3,5.8,11.8,8.8,67.3,12.8,0.06,spanje,alicante
1,1,4,5.8,11.9,8.5,66.5,13.2,0.06,spanje,alicante
1,1,5,5.8,11.6,8.4,66.5,13.0,0.06,spanje,alicante
1,1,6,6.1,11.5,8.0,65.3,13.3,0.06,spanje,alicante
1,1,7,5.8,11.3,7.7,66.0,12.9,0.08,spanje,alicante
1,1,8,6.0,11.6,8.3,63.8,13.4,0.08,spanje,alicante
1,1,9,8.7,13.4,11.1,57.5,14.2,0.06,spanje,alicante
1,1,10,11.0,15.3,13.1,53.3,13.7,0.06,spanje,alicante
1,1,11,12.3,16.6,14.6,50.0,13.6,0.06,spanje,alicante
1,1,12,13.4,17.8,15.6,46.5,14.0,0.06,spanje,alicante
1,1,13,13.9,18.1,15.8,44.8,15.1,0.08,spanje,alicante
1,1,14,14.1,18.0,16.1,46.0,15.4,0.08,spanje,alicante
1,1,15,14.0,17.6,15.9,48.3,15.4,0.08,spanje,alicante
1,1,16,13.4,16.9,15.3,52.0,13.9,0.06,spanje,alicante
1,1,17,10.8,14.8,12.9,61.3,11.9,0.04,spanje,alicante
1,1,18,9.8,13.9,11.8,64.8,12.6,0.02,spanje,alicante
1,1,19,8.6,14.0,11.1,65.5,12.9,0.02,spanje,alicante
1,1,20,8.1,13.2,10.5,66.0,12.7,0.0,spanje,alicante
1,1,21,7.6,12.4,10.1,67.3,13.0,0.0,spanje,alicante
1,1,22,7.2,12.4,9.8,68.0,13.0,0.02,spanje,alicante
1,1,23,6.8,12.6,9.8,68.0,13.8,0.08,spanje,alicante
1,2,0,5.4,11.2,8.5,69.3,13.7,0.02,spanje,alicante
1,2,1,5.1,11.0,8.4,67.0,13.6,0.0,spanje,alicante
1,2,2,5.1,11.5,8.1,66.5,14.3,0.0,spanje,alicante
1,2,3,4.4,11.1,7.8,66.3,14.7,0.0,spanje,alicante
1,2,4,4.3,10.5,7.7,68.3,16.0,0.0,spanje,alicante
1,2,5,4.2,10.0,7.8,67.0,16.7,0.02,spanje,alicante
1,2,6,4.2,10.1,7.8,65.0,15.8,0.02,spanje,alicante
1,2,7,4.8,10.8,7.8,65.5,14.7,0.02,spanje,alicante
1,2,8,6.0,10.6,8.4,63.3,14.9,0.0,spanje,alicante
1,2,9,8.7,13.0,10.6,56.8,15.1,0.02,spanje,alicante
1,2,10,11.0,14.5,12.6,51.5,14.8,0.02,spanje,alicante
1,2,11,11.9,16.2,13.8,50.0,15.1,0.04,spanje,alicante
1,2,12,12.9,16.6,14.7,47.5,15.3,0.06,spanje,alicante
1,2,13,13.1,17.0,15.0,46.5,15.8,0.06,spanje,alicante
1,2,14,13.3,16.8,14.9,49.0,17.9,0.04,spanje,alicante
1,2,15,13.1,16.7,14.6,52.0,16.5,0.08,spanje,alicante
1,2,16,12.4,16.0,14.0,56.5,16.2,0.06,spanje,alicante
1,2,17,10.9,14.3,12.5,64.8,14.3,0.06,spanje,alicante
1,2,18,10.0,12.9,11.4,70.0,13.0,0.08,spanje,alicante
1,2,19,8.5,12.2,10.8,71.5,12.2,0.08,spanje,alicante
1,2,20,7.8,11.4,10.1,71.8,13.1,0.06,spanje,alicante
1,2,21,7.2,11.1,9.6,73.0,13.2,0.02,spanje,alicante
1,2,22,6.6,10.5,9.3,71.5,11.7,0.0,spanje,alicante
1,2,23,6.1,10.9,8.9,70.0,14.2,0.04,spanje,alicante
1,3,0,8.0,13.8,11.3,64.5,13.5,0.04,spanje,alicante
1,3,1,7.7,13.3,10.9,65.5,13.2,0.05,spanje,alicante
1,3,2,7.7,13.0,10.7,64.5,13.9,0.05,spanje,alicante
1,3,3,7.6,12.8,10.1,63.5,16.4,0.04,spanje,alicante
1,3,4,7.0,12.5,9.8,65.5,17.1,0.04,spanje,alicante
1,3,5,6.6,13.0,10.0,65.5,14.8,0.02,spanje,alicante
1,3,6,6.4,12.9,10.0,64.5,14.4,0.0,spanje,alicante
1,3,7,6.7,12.5,9.9,66.0,15.0,0.02,spanje,alicante
1,3,8,7.8,12.7,10.9,62.5,14.8,0.02,spanje,alicante
1,3,9,10.8,14.9,13.0,58.0,14.4,0.0,spanje,alicante
1,3,10,12.2,17.1,14.7,48.5,16.2,0.02,spanje,alicante
1,3,11,13.7,17.7,15.7,48.5,16.2,0.0,spanje,alicante
1,3,12,13.9,19.2,16.5,46.5,20.2,0.02,spanje,alicante
1,3,13,14.5,20.0,17.4,46.0,21.1,0.02,spanje,alicante
1,3,14,14.5,20.1,17.4,47.5,22.5,0.04,spanje,alicante
1,3,15,13.9,19.7,17.0,50.0,21.5,0.02,spanje,alicante
1,3,16,13.0,18.7,16.2,51.0,20.4,0.0,spanje,alicante
1,3,17,12.4,17.7,14.9,59.5,16.6,0.0,spanje,alicante
1,3,18,11.3,16.6,13.8,64.5,15.5,0.02,spanje,alicante
1,3,19,10.3,15.5,12.9,63.5,15.7,0.02,spanje,alicante
1,3,20,9.8,15.3,12.7,66.0,15.0,0.04,spanje,alicante
1,3,21,9.6,14.6,12.1,65.5,13.2,0.05,spanje,alicante
1,3,22,9.0,14.2,11.6,68.0,13.4,0.05,spanje,alicante
1,3,23,8.2,14.5,11.3,64.5,12.8,0.05,spanje,alicante
2,1,0,7.7,12.9,10.3,71.3,12.3,0.0,spanje,alicante
2,1,1,7.3,12.7,10.0,71.3,12.0,0.02,spanje,alicante
2,1,2,6.9,12.8,9.8,71.8,12.1,0.0,spanje,alicante
2,1,3,7.0,12.7,9.6,72.0,13.4,0.0,spanje,alicante
2,1,4,6.8,13.0,9.9,70.3,13.5,0.02,spanje,alicante
2,1,5,6.4,12.6,9.5,71.0,13.1,0.04,spanje,alicante
2,1,6,6.4,11.8,9.0,71.3,12.0,0.04,spanje,alicante
2,1,7,6.2,11.9,9.0,68.5,13.1,0.02,spanje,alicante
2,1,8,7.6,13.0,10.5,64.8,13.8,0.06,spanje,alicante
2,1,9,10.7,15.1,13.1,56.0,11.4,0.04,spanje,alicante
2,1,10,12.9,16.7,15.2,55.3,12.5,0.02,spanje,alicante
2,1,11,13.9,18.3,16.5,50.8,13.5,0.04,spanje,alicante
2,1,12,14.5,19.2,17.3,45.8,15.0,0.04,spanje,alicante
2,1,13,14.8,19.3,17.4,42.8,18.8,0.04,spanje,alicante
2,1,14,14.6,19.3,17.5,47.3,19.5,0.06,spanje,alicante
2,1,15,14.1,18.7,17.1,48.5,19.6,0.08,spanje,alicante
2,1,16,13.8,17.5,15.9,51.5,19.3,0.06,spanje,alicante
2,1,17,12.9,16.6,14.7,59.0,14.9,0.06,spanje,alicante
2,1,18,11.2,15.3,13.5,64.8,11.8,0.06,spanje,alicante
2,1,19,10.8,14.9,12.9,66.0,11.2,0.06,spanje,alicante
2,1,20,10.4,14.5,12.5,68.0,12.5,0.06,spanje,alicante
2,1,21,9.8,14.0,11.9,69.0,12.6,0.02,spanje,alicante
2,1,22,9.1,13.4,11.2,68.0,12.1,0.0,spanje,alicante
2,1,23,8.6,13.1,10.9,69.5,11.9,0.02,spanje,alicante
2,2,0,9.5,12.6,11.0,74.5,10.1,0.04,spanje,alicante
2,2,1,9.1,12.5,10.9,74.0,10.2,0.04,spanje,alicante
2,2,2,8.5,12.4,10.8,73.5,9.6,0.02,spanje,alicante
2,2,3,8.1,12.0,10.2,73.0,11.0,0.02,spanje,alicante
2,2,4,8.0,12.3,10.1,71.0,10.0,0.02,spanje,alicante
2,2,5,7.8,11.4,10.0,72.0,9.9,0.04,spanje,alicante
2,2,6,7.9,11.8,10.2,72.5,9.9,0.0,spanje,alicante
2,2,7,7.8,12.1,10.2,70.5,11.6,0.0,spanje,alicante
2,2,8,9.9,12.9,11.5,66.0,10.6,0.0,spanje,alicante
2,2,9,12.6,15.6,14.0,59.3,9.7,0.02,spanje,alicante
2,2,10,13.7,16.6,15.4,56.5,12.2,0.0,spanje,alicante
2,2,11,14.5,18.3,16.4,53.3,14.0,0.02,spanje,alicante
2,2,12,15.1,18.3,17.0,53.5,16.7,0.02,spanje,alicante
2,2,13,15.3,18.9,17.1,55.8,17.4,0.04,spanje,alicante
2,2,14,15.1,18.5,17.0,56.5,17.6,0.02,spanje,alicante
2,2,15,14.8,17.5,16.6,60.5,17.4,0.0,spanje,alicante
2,2,16,14.2,17.2,15.9,63.5,17.0,0.0,spanje,alicante
2,2,17,13.4,16.3,15.0,68.0,15.4,0.04,spanje,alicante
2,2,18,12.4,14.9,13.5,77.0,12.6,0.02,spanje,alicante
2,2,19,12.1,13.8,12.9,78.0,12.3,0.02,spanje,alicante
2,2,20,11.6,13.7,12.5,77.3,12.6,0.02,spanje,alicante
2,2,21,11.2,13.1,11.9,75.8,10.9,0.02,spanje,alicante
2,2,22,10.3,12.7,11.6,76.8,9.2,0.02,spanje,alicante
2,2,23,9.9,12.8,11.5,74.0,9.4,0.04,spanje,alicante
2,3,0,8.9,11.6,10.3,63.5,12.6,0.0,spanje,alicante
2,3,1,8.4,11.5,9.7,64.0,12.1,0.0,spanje,alicante
2,3,2,7.9,11.6,9.8,65.5,13.4,0.0,spanje,alicante
2,3,3,7.5,11.6,9.6,66.5,13.9,0.0,spanje,alicante
2,3,4,7.1,11.8,9.1,66.0,13.0,0.04,spanje,alicante
2,3,5,6.8,11.3,8.9,68.5,13.4,0.02,spanje,alicante
2,3,6,6.6,11.3,8.9,67.5,14.1,0.04,spanje,alicante
2,3,7,7.0,11.5,9.3,65.5,15.3,0.04,spanje,alicante
2,3,8,9.7,13.1,11.3,57.0,14.8,0.07,spanje,alicante
2,3,9,12.6,15.2,14.4,49.5,13.3,0.02,spanje,alicante
2,3,10,14.3,17.9,16.0,47.5,14.4,0.04,spanje,alicante
2,3,11,14.7,19.4,17.2,44.5,17.3,0.04,spanje,alicante
2,3,12,15.1,19.7,17.9,41.5,18.4,0.02,spanje,alicante
2,3,13,15.9,19.5,18.0,40.5,19.3,0.0,spanje,alicante
2,3,14,15.8,19.5,17.8,44.5,20.4,0.0,spanje,alicante
2,3,15,15.5,18.6,17.3,48.0,19.7,0.0,spanje,alicante
2,3,16,14.8,18.0,16.5,48.5,17.7,0.04,spanje,alicante
2,3,17,13.9,16.7,15.7,55.5,16.6,0.02,spanje,alicante
2,3,18,13.0,15.1,14.2,61.5,14.1,0.02,spanje,alicante
2,3,19,12.2,14.6,13.3,57.5,12.3,0.0,spanje,alicante
2,3,20,11.2,13.8,12.4,61.0,11.9,0.02,spanje,alicante
