m,coco,coco_pct
4,2.0,0.122
3,18.0,0.0
6,9.0,0.0
5,18.0,0.004
8,18.0,0.0
10,9.0,0.013
6,7.0,0.006
4,3.0,0.411
11,9.0,0.001
3,8.0,0.019
2,17.0,0.003
7,3.0,0.147
2,7.0,0.006
7,17.0,0.006
7,8.0,0.001
11,1.0,0.358
12,7.0,0.005
12,9.0,0.002
3,1.0,0.3
10,2.0,0.124
11,18.0,0.0
9,1.0,0.364
2,2.0,0.135
12,3.0,0.427
7,9.0,0.0
1,2.0,0.115
9,7.0,0.012
9,18.0,0.005
3,9.0,0.009
2,8.0,0.006
1,17.0,0.004
10,1.0,0.326
1,9.0,0.004
8,3.0,0.146
8,2.0,0.135
9,8.0,0.015
8,5.0,0.002
12,2.0,0.124
4,8.0,0.01
3,3.0,0.541
9,3.0,0.404
2,3.0,0.435
5,1.0,0.347
2,9.0,0.006
10,17.0,0.008
11,3.0,0.444
5,8.0,0.022
6,5.0,0.001
6,1.0,0.477
3,2.0,0.105
2,5.0,0.009
4,7.0,0.004
10,3.0,0.496
4,18.0,0.002
5,2.0,0.134
7,5.0,0.001
5,9.0,0.016
5,3.0,0.443
12,18.0,0.001
4,5.0,0.001
11,8.0,0.003
8,1.0,0.707
2,1.0,0.398
3,17.0,0.007
9,5.0,0.007
6,3.0,0.343
2,18.0,0.0
4,17.0,0.004
6,2.0,0.153
11,2.0,0.16
12,5.0,0.021
4,1.0,0.444
1,5.0,0.006
8,8.0,0.003
10,7.0,0.005
11,17.0,0.007
9,9.0,0.011
10,18.0,0.001
1,1.0,0.378
8,9.0,0.001
10,5.0,0.014
12,17.0,0.004
1,7.0,0.003
6,18.0,0.002
12,8.0,0.009
7,18.0,0.0
8,7.0,0.002
5,7.0,0.014
9,17.0,0.015
1,3.0,0.483
7,1.0,0.701
4,9.0,0.001
1,8.0,0.006
1,18.0,0.0
5,17.0,0.019
3,7.0,0.014
7,2.0,0.141
11,5.0,0.02
7,7.0,0.001
8,17.0,0.003
12,1.0,0.405
5,5.0,0.001
3,5.0,0.003
11,7.0,0.006
6,17.0,0.012
10,8.0,0.011
6,8.0,0.007
9,2.0,0.168
