m,coco,coco_pct
8,25.0,0.0
5,3.0,0.126
8,5.0,0.002
11,2.0,0.732
3,5.0,0.004
11,25.0,0.0
6,25.0,0.0
10,25.0,0.0
12,17.0,0.0
2,5.0,0.024
10,1.0,0.17
5,25.0,0.0
11,3.0,0.132
10,18.0,0.0
10,8.0,0.001
5,8.0,0.0
4,1.0,0.157
1,1.0,0.232
10,5.0,0.002
4,4.0,0.004
1,7.0,0.008
11,5.0,0.0
9,5.0,0.0
1,2.0,0.543
5,1.0,0.209
7,4.0,0.014
10,17.0,0.001
12,9.0,0.0
5,7.0,0.0
9,9.0,0.0
2,2.0,0.588
4,25.0,0.0
1,3.0,0.188
1,5.0,0.019
5,4.0,0.012
8,4.0,0.005
7,17.0,0.0
7,3.0,0.069
3,3.0,0.172
11,18.0,0.0
12,4.0,0.008
5,5.0,0.0
9,3.0,0.045
1,25.0,0.0
4,2.0,0.718
2,17.0,0.0
1,4.0,0.008
11,4.0,0.004
9,25.0,0.0
6,3.0,0.173
1,17.0,0.0
6,1.0,0.143
7,25.0,0.0
9,1.0,0.159
6,17.0,0.0
4,17.0,0.0
9,4.0,0.005
11,1.0,0.115
8,7.0,0.0
3,8.0,0.0
6,18.0,0.0
1,18.0,0.0
9,17.0,0.0
5,2.0,0.653
12,2.0,0.539
12,1.0,0.267
3,1.0,0.122
8,1.0,0.399
4,7.0,0.003
10,2.0,0.733
11,7.0,0.012
9,18.0,0.0
6,7.0,0.001
1,8.0,0.002
3,17.0,0.0
3,2.0,0.688
9,8.0,0.003
5,9.0,0.0
8,2.0,0.536
12,3.0,0.166
11,17.0,0.001
9,2.0,0.777
10,9.0,0.0
4,8.0,0.0
7,7.0,0.0
10,4.0,0.006
5,18.0,0.0
8,18.0,0.0
4,5.0,0.002
7,2.0,0.503
12,7.0,0.012
11,8.0,0.004
3,4.0,0.008
2,18.0,0.0
6,4.0,0.017
3,9.0,0.0
7,9.0,0.0
7,8.0,0.0
4,3.0,0.115
2,1.0,0.243
12,18.0,0.0
7,18.0,0.0
12,25.0,0.0
9,7.0,0.01
5,17.0,0.0
1,9.0,0.0
10,3.0,0.08
6,5.0,0.0
2,3.0,0.13
4,9.0,0.0
2,25.0,0.0
3,18.0,0.0
4,18.0,0.0
12,5.0,0.007
2,4.0,0.004
7,1.0,0.413
12,8.0,0.001
3,25.0,0.0
10,7.0,0.007
6,2.0,0.666
8,9.0,0.0
2,9.0,0.0
3,7.0,0.006
2,7.0,0.009
2,8.0,0.001
6,8.0,0.0
8,8.0,0.0
8,17.0,0.0
7,5.0,0.001
8,3.0,0.058
11,9.0,0.0
6,9.0,0.0
