m,m3,coco,coco_pct
7,3,2.0,0.551
4,3,3.0,0.144
7,3,4.0,0.016
9,1,3.0,0.034
4,2,18.0,0.0
4,3,1.0,0.131
6,1,4.0,0.01
1,1,25.0,0.0
1,2,8.0,0.005
4,2,2.0,0.678
10,2,1.0,0.17
11,2,7.0,0.002
5,2,18.0,0.0
3,1,2.0,0.711
12,1,5.0,0.001
2,1,7.0,0.034
8,1,18.0,0.0
10,1,1.0,0.231
9,3,2.0,0.78
11,1,17.0,0.0
11,1,18.0,0.0
11,1,5.0,0.001
12,3,7.0,0.004
9,2,9.0,0.0
3,3,1.0,0.164
5,2,4.0,0.017
5,3,4.0,0.012
4,1,8.0,0.001
5,2,2.0,0.647
5,3,7.0,0.0
10,3,4.0,0.004
9,1,7.0,0.001
7,3,3.0,0.074
5,3,8.0,0.0
8,3,4.0,0.004
6,2,9.0,0.0
8,3,7.0,0.0
11,2,9.0,0.0
3,2,9.0,0.0
4,1,4.0,0.001
4,3,25.0,0.0
4,1,1.0,0.121
9,1,8.0,0.0
3,1,4.0,0.009
5,1,2.0,0.673
6,3,18.0,0.0
11,1,9.0,0.0
3,2,7.0,0.001
12,3,4.0,0.003
10,2,17.0,0.0
1,1,2.0,0.568
11,1,1.0,0.082
1,2,2.0,0.493
6,2,3.0,0.183
1,3,8.0,0.001
3,2,5.0,0.007
1,3,3.0,0.197
9,3,7.0,0.022
8,3,3.0,0.044
10,2,3.0,0.084
8,1,4.0,0.007
4,3,18.0,0.0
10,3,9.0,0.001
3,3,2.0,0.688
11,2,25.0,0.0
12,1,9.0,0.001
6,3,17.0,0.0
3,3,8.0,0.001
12,2,18.0,0.0
2,3,3.0,0.168
11,2,3.0,0.138
3,2,1.0,0.133
11,1,25.0,0.0
5,2,8.0,0.0
1,2,7.0,0.008
7,2,5.0,0.001
8,3,8.0,0.0
7,1,4.0,0.018
12,3,1.0,0.428
7,2,7.0,0.0
7,3,25.0,0.0
8,2,8.0,0.0
2,1,4.0,0.002
4,3,4.0,0.005
2,2,1.0,0.254
8,2,5.0,0.002
10,3,18.0,0.0
7,3,1.0,0.358
2,3,8.0,0.005
12,3,2.0,0.496
3,3,25.0,0.0
10,2,4.0,0.004
9,1,5.0,0.0
5,3,1.0,0.217
3,3,18.0,0.0
5,1,3.0,0.107
9,2,7.0,0.007
5,3,18.0,0.0
1,2,5.0,0.029
8,2,9.0,0.0
11,3,4.0,0.003
12,2,9.0,0.0
7,3,17.0,0.0
11,3,5.0,0.0
8,3,5.0,0.001
5,3,3.0,0.131
10,2,9.0,0.0
11,3,9.0,0.0
5,2,5.0,0.0
2,1,3.0,0.124
4,1,17.0,0.0
2,2,8.0,0.0
1,2,3.0,0.199
8,3,2.0,0.58
4,2,25.0,0.001
9,3,18.0,0.0
5,3,17.0,0.0
11,2,1.0,0.172
3,1,17.0,0.001
6,2,7.0,0.001
7,2,2.0,0.389
6,3,25.0,0.0
3,1,1.0,0.073
3,1,7.0,0.003
4,2,1.0,0.218
1,1,1.0,0.261
7,2,8.0,0.0
7,2,17.0,0.0
5,1,17.0,0.0
12,1,17.0,0.0
10,2,7.0,0.002
9,2,18.0,0.0
12,3,9.0,0.0
7,3,18.0,0.0
10,1,7.0,0.002
2,2,2.0,0.584
11,3,25.0,0.0
9,3,5.0,0.0
3,3,17.0,0.0
5,2,25.0,0.0
5,3,9.0,0.0
3,3,9.0,0.0
12,3,8.0,0.001
8,1,5.0,0.002
1,3,17.0,0.005
2,3,2.0,0.61
10,1,8.0,0.001
3,3,3.0,0.129
6,3,4.0,0.03
5,3,5.0,0.0
11,3,18.0,0.0
3,2,2.0,0.681
3,2,17.0,0.001
6,2,5.0,0.0
3,1,9.0,0.0
1,2,18.0,0.0
7,2,4.0,0.009
1,3,2.0,0.559
6,2,4.0,0.01
6,2,8.0,0.0
11,2,8.0,0.0
2,2,17.0,0.0
10,3,1.0,0.113
2,1,18.0,0.001
10,2,5.0,0.0
7,1,25.0,0.0
7,1,9.0,0.0
4,3,2.0,0.719
1,3,9.0,0.001
9,1,4.0,0.005
4,1,7.0,0.007
9,3,25.0,0.0
2,3,1.0,0.176
1,3,25.0,0.0
2,2,18.0,0.001
12,2,2.0,0.533
6,1,2.0,0.697
11,3,17.0,0.002
11,3,2.0,0.721
3,3,7.0,0.009
2,2,9.0,0.0
7,2,18.0,0.0
10,1,17.0,0.0
11,1,7.0,0.001
3,1,8.0,0.0
8,3,18.0,0.0
5,1,8.0,0.0
12,2,4.0,0.008
6,1,9.0,0.0
2,3,4.0,0.005
12,3,18.0,0.0
11,1,3.0,0.12
5,1,25.0,0.0
5,2,17.0,0.0
7,2,1.0,0.565
9,2,25.0,0.0
10,2,8.0,0.0
4,1,2.0,0.757
3,3,5.0,0.004
12,2,3.0,0.169
11,3,8.0,0.011
2,1,9.0,0.0
9,3,1.0,0.133
1,1,17.0,0.0
4,1,9.0,0.0
6,2,25.0,0.0
12,1,4.0,0.014
6,3,5.0,0.0
6,1,25.0,0.0
4,2,7.0,0.001
2,3,9.0,0.001
6,3,8.0,0.0
10,3,2.0,0.755
6,2,1.0,0.138
8,1,17.0,0.0
4,3,17.0,0.0
7,2,9.0,0.0
9,3,3.0,0.05
3,2,18.0,0.0
8,1,2.0,0.574
8,1,7.0,0.0
3,3,4.0,0.004
8,3,17.0,0.0
1,3,7.0,0.009
5,1,4.0,0.008
6,2,2.0,0.668
5,1,18.0,0.0
3,2,25.0,0.0
5,3,25.0,0.0
10,1,2.0,0.703
