m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,0.9,7.6,4.8,88.3,4.7,0.03
1,1,1,-0.2,7.4,4.0,89.5,3.8,0.03
1,1,2,0.0,7.1,3.7,90.5,4.7,0.03
1,1,3,-0.1,6.6,4.1,91.0,3.8,0.0
1,1,4,-0.8,6.8,4.0,90.3,4.3,0.03
1,1,5,-1.0,6.8,3.6,92.8,5.6,0.03
1,1,6,-1.6,7.0,3.6,93.0,4.3,0.07
1,1,7,-1.6,6.9,3.3,93.3,4.7,0.03
1,1,8,-0.4,6.2,3.8,92.8,3.8,0.03
1,1,9,2.7,8.5,6.0,87.3,3.7,0.07
1,1,10,5.7,10.6,8.1,79.8,5.6,0.0
1,1,11,8.0,13.5,10.8,68.5,5.6,0.03
1,1,12,10.0,15.1,12.6,58.0,8.3,0.07
1,1,13,11.3,16.2,14.0,54.3,8.8,0.1
1,1,14,11.4,16.7,14.2,55.0,12.0,0.03
1,1,15,11.4,16.3,13.9,58.3,11.6,0.03
1,1,16,9.9,13.9,11.7,65.0,10.8,0.07
1,1,17,6.9,12.1,9.0,70.5,9.4,0.1
1,1,18,5.3,10.0,7.8,75.5,7.0,0.1
1,1,19,4.2,9.5,7.1,80.3,6.1,0.1
1,1,20,3.8,9.1,6.4,82.0,7.0,0.07
1,1,21,3.0,8.6,5.6,84.8,6.1,0.07
1,1,22,2.1,8.3,5.1,82.8,5.2,0.1
1,1,23,2.0,8.1,5.2,86.3,4.2,0.03
1,2,0,0.0,5.9,3.1,89.3,4.3,0.03
1,2,1,-0.5,5.6,3.0,89.8,5.6,0.03
1,2,2,-1.3,5.4,2.7,90.3,5.1,0.03
1,2,3,-1.6,5.1,2.5,89.5,5.6,0.03
1,2,4,-1.9,5.0,2.6,88.8,4.8,0.03
1,2,5,-2.1,4.6,1.8,89.5,6.1,0.07
1,2,6,-2.3,4.8,1.7,86.8,5.2,0.1
1,2,7,-2.5,5.5,1.5,87.3,4.5,0.1
1,2,8,-1.2,5.9,2.2,87.5,4.7,0.03
1,2,9,2.6,6.4,4.4,80.5,4.6,0.07
1,2,10,5.7,8.9,7.4,69.5,5.6,0.07
1,2,11,8.5,12.0,10.1,62.5,5.6,0.1
1,2,12,10.9,13.1,11.8,53.5,8.8,0.1
1,2,13,11.9,14.6,13.2,51.0,11.9,0.07
1,2,14,11.6,15.0,13.5,52.5,13.0,0.1
1,2,15,11.1,14.2,13.0,53.8,11.0,0.1
1,2,16,9.6,12.6,11.1,60.8,10.2,0.13
1,2,17,7.6,10.3,8.8,69.3,8.5,0.1
1,2,18,5.4,9.4,7.3,76.5,7.0,0.1
1,2,19,4.5,8.1,6.2,78.5,4.7,0.1
1,2,20,3.1,7.7,5.4,82.5,5.6,0.13
1,2,21,1.9,7.0,4.3,86.8,4.7,0.1
1,2,22,2.1,6.4,4.2,88.8,4.6,0.07
1,2,23,1.4,6.7,4.1,87.8,4.7,0.03
1,3,0,0.1,7.5,4.1,87.0,4.5,0.0
1,3,1,-0.2,7.0,3.8,87.0,4.7,0.0
1,3,2,-0.5,6.7,3.4,87.5,3.8,0.0
1,3,3,-1.4,6.1,3.0,90.0,4.7,0.03
1,3,4,-1.5,6.0,2.8,90.0,3.8,0.0
1,3,5,-2.0,6.2,2.6,90.5,3.8,0.03
1,3,6,-2.2,5.7,2.3,89.5,2.7,0.0
1,3,7,-2.4,6.0,2.8,89.0,3.8,0.0
1,3,8,0.6,7.4,4.2,89.5,4.7,0.0
1,3,9,3.7,10.0,6.8,81.5,3.8,0.03
1,3,10,6.1,12.5,9.1,72.0,4.7,0.03
1,3,11,9.1,15.0,12.0,61.0,7.4,0.06
1,3,12,10.7,16.0,13.9,55.0,10.1,0.0
1,3,13,11.7,18.0,14.4,52.0,11.9,0.0
1,3,14,12.0,17.1,14.5,52.0,13.0,0.0
1,3,15,11.1,17.1,14.3,53.5,13.9,0.0
1,3,16,10.0,16.1,13.1,59.5,14.1,0.0
1,3,17,8.2,13.2,10.7,68.5,9.2,0.0
1,3,18,6.7,12.2,9.4,74.5,6.5,0.0
1,3,19,4.7,11.0,8.0,79.5,6.5,0.0
1,3,20,3.5,10.7,7.5,81.0,6.5,0.0
1,3,21,3.0,10.0,6.6,82.0,5.6,0.0
1,3,22,1.8,10.0,5.5,87.0,4.7,0.03
1,3,23,1.0,9.0,4.8,87.0,3.8,0.06
2,1,0,3.4,8.0,5.7,91.8,4.3,0.13
2,1,1,2.8,7.6,5.3,92.0,3.7,0.1
2,1,2,2.5,7.1,4.7,92.8,4.7,0.13
2,1,3,1.3,6.9,4.2,90.8,4.8,0.13
2,1,4,1.7,6.6,4.4,91.8,4.3,0.13
2,1,5,1.0,6.6,3.9,92.3,2.7,0.13
2,1,6,0.6,6.8,3.5,92.3,3.3,0.1
2,1,7,0.7,6.4,3.6,93.0,4.3,0.17
2,1,8,2.8,6.9,4.6,93.5,2.9,0.17
2,1,9,5.9,9.8,7.7,82.8,4.2,0.2
2,1,10,8.6,12.8,11.0,72.8,5.6,0.17
2,1,11,11.0,15.4,13.5,62.0,7.4,0.17
2,1,12,12.0,17.4,15.4,53.5,11.2,0.17
2,1,13,13.8,18.1,16.1,51.0,10.8,0.1
2,1,14,14.1,18.5,16.4,52.8,11.6,0.13
2,1,15,13.4,18.2,16.0,54.8,12.6,0.1
2,1,16,12.0,16.9,14.4,63.0,13.8,0.07
2,1,17,10.0,13.6,12.0,71.8,10.0,0.03
2,1,18,8.5,11.8,10.2,78.5,7.4,0.03
2,1,19,7.0,11.1,9.0,84.5,5.6,0.03
2,1,20,6.1,10.0,8.1,86.3,5.6,0.0
2,1,21,5.0,9.4,7.3,87.5,4.6,0.07
2,1,22,4.1,9.1,6.8,89.0,5.6,0.07
2,1,23,3.0,8.6,6.1,91.0,5.1,0.03
2,2,0,3.1,9.1,6.1,93.5,3.8,0.03
2,2,1,2.4,9.1,5.8,94.5,3.8,0.03
2,2,2,2.1,9.2,5.4,95.0,3.8,0.07
2,2,3,1.0,8.8,4.9,95.3,3.8,0.03
2,2,4,0.9,8.5,4.9,95.3,3.8,0.0
2,2,5,0.7,8.1,4.8,95.5,3.4,0.0
2,2,6,0.3,8.1,4.1,96.0,3.8,0.0
2,2,7,-0.1,8.6,4.2,96.0,4.2,0.0
2,2,8,2.5,9.0,6.1,93.5,4.3,0.0
2,2,9,6.7,11.1,8.9,85.0,4.7,0.0
2,2,10,10.0,14.0,12.1,73.3,5.7,0.0
2,2,11,12.3,16.1,14.1,66.3,8.3,0.0
2,2,12,13.9,17.2,15.5,61.0,10.7,0.0
2,2,13,14.1,17.3,16.1,59.3,14.0,0.0
2,2,14,14.8,17.4,16.3,58.5,14.5,0.03
2,2,15,13.7,17.4,15.7,63.8,15.4,0.0
2,2,16,12.6,16.1,14.5,65.0,16.2,0.03
2,2,17,11.0,13.8,12.3,73.5,13.1,0.03
2,2,18,9.4,12.5,11.0,77.8,8.1,0.07
2,2,19,8.0,11.9,9.8,83.8,6.1,0.0
2,2,20,6.8,11.1,9.0,87.0,6.0,0.03
2,2,21,5.3,10.0,7.9,89.0,4.1,0.0
2,2,22,4.4,9.2,7.2,91.5,3.8,0.0
2,2,23,4.1,9.1,6.7,92.3,3.3,0.0
2,3,0,4.7,8.2,7.7,92.0,5.4,0.22
2,3,1,4.0,9.0,7.4,93.5,4.5,0.18
2,3,2,3.7,8.1,6.8,93.0,5.6,0.22
2,3,3,2.5,7.4,6.1,92.0,5.6,0.18
2,3,4,2.7,7.5,5.9,92.5,4.5,0.15
2,3,5,2.7,6.6,5.4,93.0,4.7,0.15
2,3,6,2.7,7.6,5.7,94.5,4.7,0.11
2,3,7,2.2,8.7,5.9,92.5,5.5,0.07
2,3,8,5.7,9.2,7.7,90.5,6.5,0.07
2,3,9,8.5,12.2,10.4,82.0,6.7,0.15
2,3,10,11.0,14.0,12.5,68.0,9.2,0.04
2,3,11,13.0,15.7,14.4,57.5,10.3,0.07
2,3,12,14.2,17.5,16.0,53.5,13.9,0.11
2,3,13,14.0,18.7,16.5,51.0,15.8,0.07
2,3,14,14.1,18.5,17.1,53.5,15.0,0.18
2,3,15,14.0,18.2,16.7,51.5,16.6,0.18
2,3,16,13.2,17.1,15.5,58.5,15.0,0.22
2,3,17,11.0,14.7,13.4,65.0,14.8,0.19
2,3,18,10.0,12.7,11.6,75.0,9.2,0.15
2,3,19,8.5,11.7,10.1,77.5,8.3,0.11
2,3,20,8.0,10.5,9.6,78.5,7.5,0.11
2,3,21,7.0,11.0,8.7,81.5,4.7,0.18
2,3,22,5.6,10.1,8.4,82.0,8.3,0.22
2,3,23,5.0,10.7,8.0,84.5,6.5,0.18
3,1,0,4.7,10.1,7.3,88.0,6.5,0.13
3,1,1,4.5,9.5,6.5,91.8,6.1,0.13
3,1,2,4.0,9.6,6.4,91.3,6.5,0.17
3,1,3,3.5,9.4,5.9,93.3,6.5,0.17
3,1,4,2.9,9.1,5.8,91.8,6.5,0.17
3,1,5,3.0,8.4,5.4,94.3,6.1,0.13
3,1,6,2.0,8.5,5.0,93.8,5.6,0.2
3,1,7,2.6,8.8,5.7,93.8,5.6,0.23
3,1,8,6.6,10.5,8.3,89.5,5.6,0.23
3,1,9,9.6,12.1,11.1,79.3,7.4,0.2
3,1,10,11.5,14.6,12.6,69.5,9.9,0.23
3,1,11,12.7,16.2,14.5,63.8,15.9,0.33
3,1,12,13.5,17.4,15.4,59.0,16.3,0.3
3,1,13,13.3,17.9,15.6,58.0,16.4,0.2
3,1,14,12.9,17.7,15.4,59.3,18.2,0.2
3,1,15,12.8,16.8,14.8,59.0,18.9,0.17
3,1,16,12.1,15.7,13.9,64.5,17.7,0.2
3,1,17,11.0,14.1,12.5,69.3,14.4,0.17
3,1,18,10.0,12.6,11.2,74.8,10.3,0.13
3,1,19,9.0,11.7,10.4,79.3,8.4,0.1
3,1,20,8.0,11.1,9.4,84.8,7.0,0.1
3,1,21,6.9,10.3,8.6,86.3,5.7,0.07
3,1,22,6.6,10.3,8.2,87.5,5.9,0.13
3,1,23,5.8,9.8,7.5,88.5,5.6,0.1
3,2,0,6.1,11.1,8.4,91.5,6.5,0.0
3,2,1,5.0,10.9,8.0,91.8,7.1,0.05
3,2,2,4.4,10.6,7.8,93.3,5.5,0.05
3,2,3,4.2,9.9,6.9,95.0,4.2,0.0
3,2,4,4.1,9.6,6.9,95.3,4.3,0.0
3,2,5,3.8,10.0,6.8,95.0,5.6,0.0
3,2,6,3.7,9.6,6.5,95.5,4.3,0.0
3,2,7,5.3,10.1,7.7,94.5,4.7,0.0
3,2,8,8.9,12.1,10.4,85.5,6.5,0.0
3,2,9,11.2,13.7,12.5,77.0,9.2,0.0
3,2,10,12.4,15.9,14.4,67.0,11.0,0.0
3,2,11,12.9,17.6,15.6,58.5,11.1,0.0
3,2,12,13.7,19.0,16.5,59.3,13.5,0.0
3,2,13,13.2,20.0,16.5,58.8,14.9,0.05
3,2,14,13.3,20.3,16.5,57.8,19.5,0.1
3,2,15,13.3,18.9,16.1,61.0,16.8,0.05
3,2,16,12.6,17.5,15.0,65.5,18.6,0.05
3,2,17,12.2,15.8,13.9,71.3,15.0,0.0
3,2,18,11.0,13.9,12.3,78.0,11.2,0.05
3,2,19,9.6,12.8,11.3,81.8,8.9,0.0
3,2,20,9.1,12.0,10.6,85.0,6.5,0.0
3,2,21,8.3,11.5,9.8,88.3,6.1,0.0
3,2,22,7.6,11.6,9.6,88.5,5.6,0.0
3,2,23,5.9,11.5,8.9,90.3,4.7,0.0
3,3,0,5.2,10.7,7.8,85.5,4.0,0.09
3,3,1,4.7,10.6,7.6,86.5,3.8,0.09
3,3,2,4.4,10.2,7.1,87.5,4.7,0.09
3,3,3,4.0,10.0,6.7,87.5,5.6,0.09
3,3,4,3.6,10.2,6.8,88.0,4.5,0.0
3,3,5,3.0,10.3,6.3,89.5,4.7,0.0
3,3,6,3.2,9.8,6.2,90.5,3.8,0.05
3,3,7,6.5,11.0,8.4,86.0,3.8,0.05
3,3,8,9.2,13.2,11.4,75.0,6.5,0.05
3,3,9,11.7,15.6,13.6,66.5,8.3,0.09
3,3,10,12.5,18.0,15.1,59.5,10.1,0.09
3,3,11,13.5,19.7,16.2,56.5,13.9,0.09
3,3,12,14.5,20.2,16.9,49.5,15.0,0.05
3,3,13,13.5,20.1,16.9,54.0,17.7,0.05
3,3,14,14.1,20.1,16.9,55.5,18.6,0.09
3,3,15,13.2,19.5,16.6,53.5,18.6,0.09
3,3,16,13.0,18.6,15.4,58.5,17.7,0.09
3,3,17,12.2,17.0,14.2,63.0,15.7,0.05
3,3,18,10.5,14.5,12.6,71.5,11.4,0.09
3,3,19,8.7,12.7,10.7,77.5,7.4,0.14
3,3,20,8.2,12.0,10.1,83.0,7.4,0.18
3,3,21,7.7,11.5,9.6,82.5,5.6,0.23
3,3,22,7.0,10.7,8.7,86.5,5.6,0.18
