m,coco,coco_pct
10,7.0,0.018
2,9.0,0.0
10,18.0,0.0
2,17.0,0.001
5,17.0,0.0
5,9.0,0.0
9,2.0,0.678
1,26.0,0.0
12,18.0,0.0
8,26.0,0.0
3,5.0,0.003
11,2.0,0.51
11,1.0,0.175
10,23.0,0.0
1,2.0,0.373
4,8.0,0.001
3,18.0,0.0
8,25.0,0.0
3,23.0,0.0
8,7.0,0.003
2,18.0,0.0
1,5.0,0.01
9,18.0,0.0
5,8.0,0.0
4,2.0,0.556
8,5.0,0.0
9,1.0,0.157
4,5.0,0.0
4,23.0,0.0
7,8.0,0.0
3,7.0,0.032
3,2.0,0.491
2,1.0,0.302
4,17.0,0.0
4,25.0,0.0
7,5.0,0.0
2,7.0,0.016
2,23.0,0.0
7,26.0,0.0
7,4.0,0.019
1,23.0,0.0
8,4.0,0.014
11,3.0,0.238
6,8.0,0.0
7,18.0,0.0
7,23.0,0.0
2,2.0,0.426
10,9.0,0.001
1,25.0,0.0
2,8.0,0.003
5,2.0,0.582
11,25.0,0.0
7,2.0,0.578
8,3.0,0.093
6,2.0,0.55
5,26.0,0.0
7,1.0,0.272
1,7.0,0.021
12,8.0,0.007
9,23.0,0.0
2,4.0,0.041
11,18.0,0.0
10,4.0,0.038
4,7.0,0.009
9,4.0,0.028
7,7.0,0.001
12,1.0,0.298
8,2.0,0.593
9,17.0,0.0
5,23.0,0.0
3,17.0,0.001
10,3.0,0.194
1,17.0,0.0
3,3.0,0.24
3,26.0,0.0
6,9.0,0.0
10,25.0,0.0
1,9.0,0.0
5,7.0,0.003
6,23.0,0.0
9,3.0,0.124
4,26.0,0.0
5,3.0,0.186
9,9.0,0.001
11,7.0,0.021
9,26.0,0.0
6,18.0,0.0
1,4.0,0.052
8,23.0,0.0
9,8.0,0.002
6,7.0,0.003
10,1.0,0.216
12,17.0,0.0
11,17.0,0.0
8,18.0,0.0
4,18.0,0.0
5,4.0,0.04
5,18.0,0.0
12,9.0,0.0
12,7.0,0.026
7,3.0,0.13
3,4.0,0.042
1,3.0,0.246
11,26.0,0.0
10,17.0,0.0
8,9.0,0.0
1,1.0,0.289
8,17.0,0.0
4,1.0,0.171
12,4.0,0.043
7,9.0,0.0
7,17.0,0.0
7,25.0,0.0
6,3.0,0.246
9,5.0,0.002
1,18.0,0.0
12,3.0,0.22
3,9.0,0.0
4,3.0,0.228
11,8.0,0.004
1,8.0,0.008
5,25.0,0.0
12,23.0,0.0
10,26.0,0.0
6,26.0,0.0
11,4.0,0.053
6,5.0,0.0
2,5.0,0.019
3,25.0,0.0
6,4.0,0.047
9,7.0,0.008
10,5.0,0.002
4,4.0,0.034
12,25.0,0.0
12,5.0,0.005
3,1.0,0.183
5,5.0,0.0
2,26.0,0.0
2,3.0,0.192
4,9.0,0.0
8,1.0,0.297
8,8.0,0.0
3,8.0,0.008
12,26.0,0.0
11,9.0,0.0
10,8.0,0.009
6,17.0,0.0
6,25.0,0.0
6,1.0,0.154
11,23.0,0.0
12,2.0,0.401
10,2.0,0.523
2,25.0,0.0
11,5.0,0.0
9,25.0,0.001
5,1.0,0.188
