m,m3,coco,coco_pct
10,2,2.0,0.507
3,3,8.0,0.014
8,3,4.0,0.013
6,2,2.0,0.535
1,2,25.0,0.0
12,1,23.0,0.0
7,2,26.0,0.0
11,1,26.0,0.0
7,2,1.0,0.361
7,3,7.0,0.0
11,3,25.0,0.0
1,3,2.0,0.37
5,3,4.0,0.044
8,2,26.0,0.0
12,2,2.0,0.386
10,3,5.0,0.0
11,3,5.0,0.0
10,2,8.0,0.005
7,3,8.0,0.0
6,2,8.0,0.0
9,2,2.0,0.69
12,2,26.0,0.0
1,2,23.0,0.0
3,2,8.0,0.003
5,1,4.0,0.032
5,3,23.0,0.0
11,2,26.0,0.0
11,3,18.0,0.0
9,1,4.0,0.016
10,1,18.0,0.0
1,1,26.0,0.0
1,3,26.0,0.0
9,2,1.0,0.126
5,1,3.0,0.166
3,3,2.0,0.447
9,2,25.0,0.002
12,2,7.0,0.01
1,3,17.0,0.0
9,2,3.0,0.139
11,1,3.0,0.24
5,3,3.0,0.179
2,3,4.0,0.045
8,3,9.0,0.0
8,3,2.0,0.588
2,2,18.0,0.0
4,1,26.0,0.0
5,3,2.0,0.537
6,1,2.0,0.552
7,2,17.0,0.0
1,1,9.0,0.001
1,1,7.0,0.018
6,2,26.0,0.0
11,2,2.0,0.47
2,1,2.0,0.399
11,3,8.0,0.007
1,2,3.0,0.239
3,1,26.0,0.0
10,2,26.0,0.0
4,1,17.0,0.0
6,2,23.0,0.0
4,3,2.0,0.533
4,2,3.0,0.191
4,3,18.0,0.0
12,3,5.0,0.003
3,2,1.0,0.2
1,3,8.0,0.004
7,1,2.0,0.585
2,3,17.0,0.0
4,2,23.0,0.0
2,3,26.0,0.0
11,2,17.0,0.0
11,2,1.0,0.227
10,1,26.0,0.0
7,1,3.0,0.163
12,1,5.0,0.0
8,1,9.0,0.0
10,2,3.0,0.201
10,2,18.0,0.001
9,2,17.0,0.0
2,3,25.0,0.0
5,1,5.0,0.0
4,2,7.0,0.014
6,1,3.0,0.24
6,1,4.0,0.045
6,1,1.0,0.161
4,2,2.0,0.556
2,2,23.0,0.0
12,1,25.0,0.0
4,2,17.0,0.0
12,3,1.0,0.429
7,1,8.0,0.0
4,2,8.0,0.0
2,2,4.0,0.032
9,1,23.0,0.0
2,1,17.0,0.002
5,3,18.0,0.0
6,1,7.0,0.001
3,3,9.0,0.001
8,2,25.0,0.0
1,3,18.0,0.0
5,1,17.0,0.0
5,3,17.0,0.0
10,1,5.0,0.006
12,1,18.0,0.0
7,3,1.0,0.235
3,2,2.0,0.518
6,1,17.0,0.0
12,3,9.0,0.0
7,2,9.0,0.0
11,1,4.0,0.056
5,2,2.0,0.58
4,3,26.0,0.0
1,1,18.0,0.0
4,1,7.0,0.006
11,3,23.0,0.0
2,2,5.0,0.033
6,2,7.0,0.006
7,2,25.0,0.0
9,3,23.0,0.0
8,2,2.0,0.533
10,3,26.0,0.001
10,1,3.0,0.138
4,1,18.0,0.0
4,2,25.0,0.0
9,2,5.0,0.004
6,3,7.0,0.003
10,2,25.0,0.0
8,1,8.0,0.0
4,2,9.0,0.0
12,2,5.0,0.011
11,2,18.0,0.0
6,1,5.0,0.0
6,2,18.0,0.0
7,3,2.0,0.6
7,3,17.0,0.0
9,2,4.0,0.035
9,2,7.0,0.003
8,2,5.0,0.0
9,3,18.0,0.0
2,2,26.0,0.0
4,3,23.0,0.0
9,3,17.0,0.0
5,2,26.0,0.0
10,1,23.0,0.0
1,2,4.0,0.055
9,3,7.0,0.017
7,1,25.0,0.0
12,3,2.0,0.389
