m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,16.7,18.4,17.5,69.0,15.3,0.0
1,1,1,16.2,18.0,17.0,67.3,14.5,0.0
1,1,2,16.0,17.9,17.1,61.3,13.5,0.0
1,1,3,16.1,18.3,17.1,63.0,13.9,0.03
1,1,4,16.0,18.0,16.9,69.0,13.0,0.03
1,1,5,15.8,17.5,16.7,70.3,13.9,0.03
1,1,6,16.0,17.7,16.8,69.0,13.5,0.03
1,1,7,15.6,17.5,16.6,69.0,14.5,0.03
1,1,8,15.7,17.6,16.7,68.8,13.3,0.03
1,1,9,17.3,19.3,18.4,66.3,14.4,0.07
1,1,10,18.9,21.0,19.9,64.0,14.2,0.07
1,1,11,19.3,21.9,20.5,62.3,16.2,0.07
1,1,12,19.7,22.6,21.1,60.5,20.0,0.1
1,1,13,19.8,22.3,21.2,59.5,19.9,0.07
1,1,14,19.9,22.3,21.0,58.5,20.4,0.03
1,1,15,19.7,22.4,21.0,59.5,18.1,0.07
1,1,16,19.4,22.0,20.6,56.8,18.6,0.03
1,1,17,18.8,21.3,20.0,61.3,17.7,0.0
1,1,18,18.2,21.0,19.6,64.8,16.3,0.03
1,1,19,17.4,20.0,18.7,67.0,13.5,0.0
1,1,20,16.7,19.4,18.2,67.5,13.4,0.0
1,1,21,16.8,19.3,17.9,66.0,15.8,0.0
1,1,22,16.6,18.7,17.7,69.0,15.4,0.0
1,1,23,16.7,18.4,17.6,66.3,15.3,0.0
1,2,0,16.0,19.0,17.7,67.0,16.7,0.03
1,2,1,15.6,18.4,17.2,66.5,17.1,0.03
1,2,2,15.5,18.4,17.0,68.3,15.9,0.07
1,2,3,15.3,18.4,16.9,70.0,17.7,0.07
1,2,4,15.3,18.0,16.8,69.0,15.9,0.1
1,2,5,15.1,17.9,16.6,69.5,16.3,0.07
1,2,6,15.0,18.1,16.7,68.8,16.9,0.1
1,2,7,15.1,17.7,16.4,70.3,16.7,0.1
1,2,8,15.0,18.0,16.3,66.5,15.4,0.1
1,2,9,16.6,19.3,17.9,65.3,16.6,0.07
1,2,10,18.3,20.7,19.4,60.8,16.8,0.07
1,2,11,19.2,21.0,20.2,58.5,19.5,0.1
1,2,12,19.1,22.2,20.9,56.5,23.2,0.13
1,2,13,19.4,22.0,21.0,54.0,24.3,0.07
1,2,14,19.9,22.0,20.9,53.3,24.1,0.1
1,2,15,19.8,22.2,20.9,54.8,22.4,0.1
1,2,16,19.3,21.3,20.4,57.0,22.7,0.1
1,2,17,18.8,20.7,19.7,61.5,20.9,0.07
1,2,18,18.0,20.4,19.3,64.5,20.6,0.03
1,2,19,17.4,19.5,18.7,66.8,17.2,0.07
1,2,20,17.0,19.3,18.2,65.0,17.8,0.03
1,2,21,16.0,19.5,17.8,66.5,16.3,0.03
1,2,22,16.2,19.0,17.5,66.0,16.4,0.07
1,2,23,16.0,19.0,17.4,66.5,15.8,0.03
1,3,0,15.6,18.2,16.9,68.0,17.7,0.11
1,3,1,15.6,17.9,16.8,67.5,16.8,0.03
1,3,2,15.4,18.0,16.7,67.0,16.6,0.0
1,3,3,15.4,17.8,16.6,67.0,15.9,0.05
1,3,4,15.4,17.4,16.4,69.0,15.9,0.05
1,3,5,15.4,17.6,16.5,68.5,15.9,0.03
1,3,6,15.1,17.5,16.4,70.0,16.8,0.05
