m,coco,coco_pct
8,7.0,0.009
8,3.0,0.064
1,25.0,0.001
7,5.0,0.0
3,1.0,0.174
7,9.0,0.0
3,3.0,0.217
4,23.0,0.0
7,18.0,0.0
6,2.0,0.481
1,2.0,0.524
11,7.0,0.064
7,7.0,0.002
8,22.0,0.0
9,7.0,0.037
8,17.0,0.003
11,22.0,0.0
4,26.0,0.0
9,25.0,0.009
12,4.0,0.04
4,9.0,0.002
5,4.0,0.024
3,17.0,0.002
6,7.0,0.015
9,17.0,0.005
6,23.0,0.0
10,26.0,0.0
3,7.0,0.059
10,7.0,0.039
9,26.0,0.001
5,8.0,0.004
9,1.0,0.169
12,18.0,0.001
4,25.0,0.001
11,4.0,0.03
9,3.0,0.13
9,4.0,0.021
9,5.0,0.0
8,25.0,0.005
4,1.0,0.218
7,2.0,0.407
10,17.0,0.004
2,26.0,0.0
6,3.0,0.095
10,25.0,0.004
11,9.0,0.004
8,8.0,0.003
2,23.0,0.0
10,18.0,0.002
1,17.0,0.006
9,18.0,0.006
11,25.0,0.001
1,26.0,0.0
1,23.0,0.0
6,4.0,0.027
1,9.0,0.001
11,2.0,0.629
4,2.0,0.474
2,18.0,0.0
3,4.0,0.061
5,3.0,0.111
12,8.0,0.01
2,17.0,0.002
5,2.0,0.564
12,3.0,0.137
8,9.0,0.001
8,2.0,0.48
5,18.0,0.001
11,5.0,0.002
12,5.0,0.019
6,17.0,0.002
5,26.0,0.0
5,5.0,0.003
1,22.0,0.0
5,23.0,0.0
10,8.0,0.017
12,2.0,0.521
5,17.0,0.002
4,4.0,0.048
12,25.0,0.0
10,3.0,0.109
7,17.0,0.0
9,2.0,0.597
10,5.0,0.002
7,22.0,0.0
1,5.0,0.006
7,4.0,0.012
7,26.0,0.0
12,23.0,0.0
7,25.0,0.001
11,23.0,0.0
2,8.0,0.005
4,17.0,0.005
3,5.0,0.006
7,3.0,0.063
4,3.0,0.172
5,7.0,0.026
9,9.0,0.005
3,26.0,0.0
11,26.0,0.0
2,1.0,0.222
11,3.0,0.146
10,22.0,0.0
4,18.0,0.001
3,25.0,0.001
10,1.0,0.168
2,2.0,0.519
3,2.0,0.458
4,22.0,0.0
5,22.0,0.0
2,3.0,0.171
5,9.0,0.002
8,18.0,0.002
7,8.0,0.0
1,3.0,0.152
3,23.0,0.0
6,18.0,0.001
12,9.0,0.002
6,22.0,0.0
10,4.0,0.022
6,25.0,0.0
8,23.0,0.0
10,9.0,0.008
6,8.0,0.005
7,1.0,0.514
11,8.0,0.021
2,22.0,0.0
8,4.0,0.011
12,7.0,0.035
12,17.0,0.002
4,7.0,0.057
1,18.0,0.003
12,22.0,0.0
1,4.0,0.041
9,8.0,0.019
9,22.0,0.0
3,9.0,0.002
2,4.0,0.05
9,23.0,0.0
2,25.0,0.0
4,5.0,0.005
1,8.0,0.008
2,7.0,0.022
6,26.0,0.0
2,5.0,0.009
11,1.0,0.097
11,17.0,0.002
12,1.0,0.231
12,26.0,0.0
5,1.0,0.261
6,1.0,0.371
2,9.0,0.0
3,18.0,0.0
3,22.0,0.0
7,23.0,0.0
8,1.0,0.421
8,26.0,0.0
10,2.0,0.626
6,9.0,0.0
8,5.0,0.0
6,5.0,0.002
1,1.0,0.218
3,8.0,0.02
1,7.0,0.041
5,25.0,0.001
10,23.0,0.0
4,8.0,0.016
11,18.0,0.003
