m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,6.7,13.2,10.1,78.0,13.0,0.04
1,1,7.0,13.1,10.2,79.0,12.1,0.05
1,2,6.9,13.0,10.0,80.5,12.1,0.07
1,3,6.4,12.8,9.8,78.5,12.1,0.03
1,4,6.4,12.9,9.7,82.0,12.1,0.06
1,5,6.8,12.9,9.8,81.5,13.0,0.07
1,6,6.1,12.9,9.4,82.0,13.0,0.05
1,7,6.3,13.0,9.5,82.0,11.0,0.04
1,8,6.9,13.7,10.3,80.0,12.1,0.05
1,9,10.3,15.0,12.9,75.5,12.1,0.05
1,10,12.8,15.9,14.3,67.5,15.7,0.06
1,11,13.3,16.5,14.7,62.5,17.7,0.05
1,12,13.6,16.7,15.1,61.5,17.7,0.06
1,13,13.6,16.9,15.2,60.5,18.5,0.08
1,14,13.4,16.6,14.9,61.5,18.5,0.05
1,15,13.2,16.2,14.6,63.5,16.8,0.05
1,16,12.9,15.7,14.2,66.0,15.9,0.04
1,17,10.8,14.6,12.6,70.5,13.9,0.01
1,18,9.3,14.0,11.6,76.0,13.0,0.02
1,19,8.1,14.0,11.2,79.0,12.1,0.02
1,20,7.5,14.0,10.9,79.5,12.1,0.03
1,21,7.5,13.9,10.6,79.0,13.0,0.04
1,22,7.1,14.0,10.6,79.5,13.9,0.03
1,23,6.9,13.8,10.3,78.5,14.8,0.01
2,0,7.5,12.9,10.4,82.0,11.9,0.02
2,1,7.1,12.9,10.0,83.5,9.2,0.0
2,2,6.8,12.9,9.9,81.5,10.1,0.02
2,3,6.9,12.9,9.8,81.0,10.1,0.02
2,4,7.0,12.6,9.7,82.5,10.1,0.07
2,5,7.3,12.5,9.5,83.0,10.1,0.02
2,6,6.7,12.3,9.3,84.5,10.1,0.09
2,7,7.0,12.7,9.7,83.5,8.3,0.09
2,8,9.8,13.6,11.9,80.0,10.1,0.1
2,9,12.7,14.8,13.8,75.0,13.9,0.12
2,10,13.8,15.6,14.6,71.5,15.9,0.16
2,11,13.9,16.2,15.1,68.0,16.6,0.12
2,12,14.2,16.5,15.5,68.5,17.7,0.12
2,13,14.1,16.7,15.6,65.5,17.7,0.12
2,14,13.9,16.7,15.5,66.0,17.7,0.14
2,15,13.8,16.5,15.3,65.5,16.8,0.1
2,16,13.4,16.0,14.8,66.5,15.7,0.07
2,17,12.7,15.0,14.0,71.5,13.9,0.02
2,18,11.3,13.9,12.7,76.0,11.2,0.03
2,19,9.8,13.5,11.7,78.5,11.2,0.03
2,20,8.8,13.4,11.2,80.0,10.1,0.03
2,21,8.8,13.3,11.1,81.0,10.9,0.03
2,22,7.7,13.2,10.8,80.5,10.1,0.02
2,23,7.7,12.8,10.4,81.0,10.1,0.0
3,0,10.2,14.3,12.2,79.5,14.8,0.05
3,1,10.0,14.3,12.2,78.5,13.9,0.06
3,2,9.3,14.2,12.1,80.5,13.9,0.08
3,3,9.3,14.1,11.6,80.5,13.9,0.06
3,4,8.8,14.1,11.4,79.5,13.0,0.03
3,5,8.8,14.0,11.4,80.0,14.8,0.03
3,6,8.4,14.1,11.3,80.0,15.8,0.03
3,7,10.6,14.4,12.4,79.0,15.7,0.03
3,8,13.2,15.5,14.3,73.0,16.6,0.03
3,9,14.1,16.6,15.3,67.5,19.5,0.02
3,10,14.5,16.9,15.8,64.0,20.4,0.03
3,11,15.1,17.5,16.4,63.5,21.3,0.02
3,12,15.2,17.6,16.5,63.5,21.3,0.1
3,13,14.9,18.0,16.5,64.5,22.2,0.08
