m,m3,coco,coco_pct
12,2,4.0,0.053
9,3,9.0,0.003
7,1,18.0,0.0
1,2,5.0,0.002
10,3,5.0,0.005
12,1,17.0,0.004
10,3,7.0,0.052
9,3,1.0,0.19
2,2,18.0,0.0
3,1,4.0,0.053
6,2,9.0,0.0
1,1,17.0,0.008
3,1,26.0,0.0
12,3,18.0,0.002
8,3,18.0,0.001
8,2,22.0,0.0
4,2,2.0,0.406
3,2,8.0,0.019
12,3,1.0,0.324
5,3,26.0,0.0
7,1,26.0,0.0
5,2,17.0,0.0
9,2,22.0,0.0
12,2,25.0,0.0
6,3,3.0,0.05
3,2,22.0,0.0
1,2,9.0,0.001
3,1,25.0,0.0
12,2,3.0,0.162
12,2,26.0,0.0
5,3,4.0,0.023
2,3,4.0,0.046
9,1,26.0,0.001
2,1,23.0,0.0
6,1,23.0,0.0
9,3,17.0,0.0
11,2,7.0,0.083
1,3,8.0,0.001
4,3,3.0,0.231
5,3,9.0,0.006
5,3,17.0,0.004
6,1,2.0,0.556
3,3,23.0,0.0
11,3,17.0,0.005
6,3,9.0,0.0
11,1,22.0,0.0
3,2,1.0,0.242
5,1,25.0,0.001
9,3,22.0,0.0
12,2,8.0,0.013
3,1,18.0,0.001
9,2,1.0,0.158
12,3,17.0,0.001
5,1,2.0,0.618
8,1,3.0,0.045
4,3,9.0,0.003
1,3,25.0,0.002
4,1,3.0,0.108
1,2,25.0,0.0
12,1,3.0,0.132
2,1,17.0,0.005
1,1,22.0,0.001
5,2,1.0,0.275
4,2,26.0,0.0
8,2,5.0,0.0
6,2,17.0,0.0
5,1,7.0,0.023
8,3,26.0,0.001
4,2,9.0,0.0
4,2,23.0,0.0
3,1,17.0,0.002
7,3,9.0,0.0
5,1,4.0,0.029
11,1,17.0,0.001
5,1,18.0,0.0
6,3,25.0,0.001
10,3,22.0,0.0
4,1,22.0,0.0
5,2,5.0,0.006
10,3,17.0,0.007
6,2,7.0,0.013
8,2,3.0,0.082
1,3,5.0,0.007
6,3,1.0,0.498
1,3,4.0,0.041
12,2,18.0,0.001
3,3,22.0,0.0
4,1,17.0,0.003
1,3,17.0,0.006
1,2,1.0,0.262
7,2,7.0,0.003
8,1,7.0,0.002
7,3,17.0,0.0
9,3,23.0,0.0
6,1,22.0,0.0
6,1,17.0,0.006
5,1,23.0,0.0
2,1,2.0,0.507
4,1,5.0,0.001
10,2,9.0,0.003
2,2,4.0,0.067
10,3,26.0,0.0
12,2,5.0,0.017
1,1,26.0,0.0
6,3,8.0,0.001
9,1,7.0,0.03
12,2,9.0,0.004
3,1,23.0,0.0
12,2,17.0,0.002
4,3,4.0,0.057
11,3,26.0,0.0
10,1,5.0,0.001
6,2,8.0,0.002
12,3,3.0,0.12
2,1,7.0,0.04
7,1,17.0,0.0
12,1,4.0,0.027
2,3,5.0,0.005
11,3,22.0,0.0
3,2,26.0,0.0
2,1,25.0,0.0
8,1,26.0,0.0
11,2,18.0,0.002
2,1,26.0,0.0
7,2,18.0,0.0
12,1,2.0,0.588
2,3,8.0,0.007
3,2,2.0,0.423
8,3,1.0,0.33
1,2,22.0,0.0
7,3,23.0,0.0
10,2,23.0,0.0
1,3,26.0,0.0
9,1,25.0,0.014
10,3,25.0,0.005
10,1,4.0,0.017
10,2,3.0,0.109
4,2,1.0,0.27
11,2,1.0,0.052
11,3,18.0,0.0
7,3,26.0,0.0
2,3,7.0,0.045
11,1,23.0,0.001
2,2,22.0,0.0
11,2,8.0,0.024
4,1,26.0,0.0
8,2,26.0,0.0
1,3,23.0,0.0
5,1,5.0,0.003
7,3,7.0,0.001
5,3,2.0,0.479
1,2,2.0,0.515
8,2,23.0,0.0
11,2,23.0,0.0
7,1,2.0,0.481
3,2,18.0,0.0
1,3,3.0,0.182
6,2,23.0,0.001
6,2,25.0,0.0
9,3,7.0,0.036
1,3,1.0,0.194
6,2,22.0,0.0
4,1,8.0,0.019
4,2,17.0,0.005
11,1,4.0,0.029
8,2,9.0,0.0
6,2,1.0,0.368
11,2,26.0,0.0
3,2,5.0,0.014
7,1,4.0,0.02
4,1,23.0,0.0
2,1,18.0,0.001
3,1,9.0,0.003
1,1,23.0,0.0
1,2,23.0,0.0
2,1,5.0,0.012
1,1,3.0,0.141
1,3,2.0,0.533
8,3,9.0,0.004
4,2,8.0,0.014
11,1,1.0,0.097
5,1,17.0,0.003
2,3,17.0,0.002
6,1,8.0,0.011
2,3,3.0,0.164
9,3,4.0,0.017
1,1,2.0,0.537
6,2,26.0,0.0
12,2,23.0,0.0
12,2,1.0,0.199
4,3,22.0,0.0
6,1,4.0,0.033
4,2,4.0,0.052
4,1,2.0,0.555
4,3,5.0,0.001
9,3,26.0,0.0
2,3,22.0,0.0
1,1,5.0,0.008
5,3,5.0,0.002
8,1,18.0,0.0
7,3,3.0,0.072
7,3,18.0,0.001
1,3,18.0,0.003
5,1,9.0,0.001
9,1,18.0,0.006
12,2,2.0,0.505
6,1,25.0,0.001
7,2,25.0,0.003
4,3,23.0,0.0
7,2,17.0,0.001
1,2,18.0,0.004
5,1,26.0,0.0
10,3,8.0,0.035
4,1,4.0,0.034
1,2,3.0,0.13
5,1,3.0,0.129
11,3,7.0,0.038
9,2,8.0,0.017
3,3,26.0,0.0
2,3,2.0,0.467
4,1,9.0,0.005
5,3,3.0,0.116
2,3,1.0,0.264
11,1,8.0,0.024
4,2,7.0,0.06
