m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,7.2,11.8,15.2,2.3,9.8,0.43
1,1,2,5.3,11.4,16.0,0.0,10.3,0.0
1,1,3,7.1,11.5,16.1,0.0,12.4,0.0
1,1,4,8.2,12.4,16.2,0.1,12.9,0.29
1,1,5,5.3,11.6,15.6,0.1,13.0,0.43
1,1,6,6.3,11.2,14.9,0.0,15.1,0.14
1,1,7,6.5,10.7,15.2,1.2,14.5,0.29
1,1,8,6.4,12.2,15.2,0.1,18.2,0.29
1,1,9,8.5,13.7,17.0,1.0,16.2,0.29
1,1,10,8.4,12.7,15.1,3.9,12.1,0.57
1,2,11,5.4,11.2,14.8,0.2,13.0,0.29
1,2,12,3.5,9.7,14.6,0.0,7.2,0.0
1,2,13,3.1,10.0,14.6,0.0,11.2,0.14
1,2,14,7.2,10.9,16.3,0.0,13.4,0.0
1,2,15,5.8,12.0,16.9,0.0,13.2,0.14
1,2,16,8.1,12.1,16.0,0.0,15.7,0.0
1,2,17,9.5,14.1,17.0,0.0,17.7,0.14
1,2,18,7.7,11.6,15.0,0.0,17.9,0.14
1,2,19,6.7,11.3,15.0,1.4,16.3,0.43
1,2,20,6.9,12.2,14.7,0.3,19.6,0.29
1,3,21,7.7,12.0,15.3,1.5,16.6,0.57
1,3,22,5.0,10.8,14.7,0.3,13.0,0.43
1,3,23,7.9,11.9,16.2,0.1,17.3,0.29
1,3,24,7.8,12.7,15.9,1.2,19.4,0.43
1,3,25,7.9,12.8,15.9,0.6,14.1,0.43
1,3,26,7.1,12.3,16.4,0.1,11.7,0.29
1,3,27,8.2,12.7,16.7,0.0,14.8,0.14
1,3,28,8.5,11.7,16.6,0.0,18.1,0.17
1,3,29,9.4,12.3,17.0,0.0,14.0,0.14
1,3,30,7.3,12.1,16.5,0.0,11.5,0.14
1,3,31,9.8,13.5,17.1,0.0,21.4,0.14
2,1,1,8.6,12.7,17.4,0.9,20.5,0.29
2,1,2,7.5,11.8,17.0,0.0,13.6,0.14
2,1,3,5.9,11.9,15.5,0.0,10.9,0.0
2,1,4,6.8,11.3,17.0,0.1,11.6,0.29
2,1,5,6.6,11.4,16.5,0.1,10.0,0.43
2,1,6,6.1,11.5,14.0,2.8,10.7,0.29
2,1,7,6.9,12.1,16.4,0.0,10.5,0.14
2,1,8,9.0,12.8,14.6,0.7,14.7,0.57
2,1,9,9.1,12.4,15.5,1.8,17.1,0.57
2,1,10,8.0,11.7,16.0,0.0,18.5,0.0
2,2,11,6.4,11.6,17.5,0.0,11.9,0.0
2,2,12,7.7,12.4,17.3,0.0,10.8,0.14
2,2,13,6.8,12.5,16.6,0.0,12.4,0.14
2,2,14,8.1,13.2,16.6,0.0,14.7,0.0
2,2,15,8.1,13.2,16.5,0.0,12.9,0.14
2,2,16,8.8,12.6,15.8,0.1,12.1,0.43
2,2,17,8.5,13.4,17.2,0.2,11.4,0.29
2,2,18,6.8,12.2,16.0,0.1,9.7,0.29
2,2,19,6.7,11.8,16.1,0.1,9.8,0.29
2,2,20,6.8,12.2,16.7,0.0,8.9,0.0
2,3,21,6.5,11.8,17.1,0.1,11.7,0.29
2,3,22,6.1,12.3,16.9,0.0,11.1,0.14
2,3,23,5.8,12.1,17.7,0.0,10.3,0.14
2,3,24,6.1,12.5,16.0,0.0,12.1,0.14
2,3,25,7.5,12.6,16.3,0.0,14.1,0.0
2,3,26,9.0,12.9,16.5,1.0,15.6,0.43
2,3,27,7.0,11.2,13.9,3.8,15.1,0.29
2,3,28,8.6,13.2,16.4,0.0,15.9,0.14
2,3,29,7.1,13.8,18.6,0.0,14.5,0.0
3,1,1,10.0,13.8,17.4,0.1,17.2,0.29
3,1,2,8.7,13.6,16.5,1.7,20.7,0.43
