m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,14.6,17.5,16.0,69.5,13.9,0.0
1,1,14.5,17.5,15.9,72.5,14.8,0.0
1,2,14.3,17.6,15.9,73.5,13.9,0.0
1,3,14.2,17.3,15.7,75.5,13.9,0.0
1,4,14.0,17.2,15.5,76.0,13.9,0.0
1,5,14.0,17.0,15.3,76.0,13.9,0.0
1,6,13.6,17.0,15.3,75.0,14.1,0.01
1,7,13.6,17.0,15.2,75.0,13.0,0.0
1,8,13.6,17.1,15.4,74.0,13.9,0.0
1,9,16.0,18.5,17.2,71.5,14.8,0.0
1,10,18.0,20.5,19.3,62.0,17.7,0.0
1,11,19.1,21.6,20.4,57.0,20.4,0.0
1,12,19.5,22.1,20.8,56.5,20.4,0.02
1,13,19.7,22.3,20.9,55.0,21.3,0.03
1,14,20.0,22.5,21.3,54.0,20.4,0.09
1,15,19.7,22.2,21.1,54.0,20.4,0.09
1,16,19.1,22.0,20.7,55.5,19.5,0.03
1,17,18.7,21.3,20.0,57.5,19.5,0.02
1,18,18.0,20.4,19.1,61.0,17.7,0.0
1,19,16.7,19.2,17.9,64.5,14.8,0.0
1,20,16.2,18.4,17.2,66.5,15.0,0.01
1,21,15.5,18.0,16.8,69.0,13.9,0.01
1,22,15.5,17.9,16.6,68.5,13.9,0.01
1,23,15.0,17.6,16.3,70.0,13.9,0.0
2,0,15.2,18.2,17.1,71.5,15.2,0.02
2,1,15.0,18.0,16.6,71.0,15.9,0.03
2,2,15.0,17.2,16.2,73.5,16.8,0.02
2,3,15.0,17.2,16.2,75.5,15.7,0.01
2,4,14.5,17.0,15.7,75.0,14.8,0.02
2,5,14.0,17.0,15.5,75.5,13.2,0.02
2,6,14.0,17.1,15.4,75.5,14.8,0.03
2,7,14.0,17.0,15.5,77.0,15.0,0.01
2,8,14.0,17.2,15.8,76.0,13.0,0.01
2,9,17.0,19.0,18.0,69.5,15.9,0.03
2,10,18.2,21.0,19.9,60.5,18.6,0.02
2,11,19.0,22.4,20.9,57.0,20.6,0.02
2,12,20.1,22.7,21.4,55.0,20.4,0.07
2,13,20.0,23.0,21.6,56.0,21.3,0.08
2,14,20.0,23.2,21.8,55.5,21.3,0.08
2,15,20.2,23.5,21.9,53.0,21.3,0.08
2,16,19.7,23.2,21.5,55.5,20.6,0.16
2,17,19.2,22.4,20.8,57.0,21.3,0.07
2,18,19.1,21.5,20.2,60.0,20.4,0.05
2,19,17.7,20.0,18.8,66.5,19.5,0.02
2,20,16.7,19.2,18.0,70.0,17.4,0.01
2,21,16.5,18.6,17.5,69.0,16.1,0.01
2,22,16.0,18.4,17.3,71.0,16.5,0.01
2,23,15.5,18.0,16.9,72.0,16.6,0.01
3,0,15.7,17.6,16.7,77.0,16.1,0.01
3,1,15.5,17.2,16.5,76.5,15.6,0.02
3,2,15.2,17.2,16.2,77.0,13.9,0.0
3,3,15.0,17.0,16.0,76.5,15.2,0.03
3,4,14.7,17.0,15.8,78.0,14.8,0.02
3,5,14.6,16.7,15.8,78.0,15.0,0.05
3,6,14.6,16.7,15.7,78.5,16.8,0.03
3,7,14.5,16.7,15.6,78.0,17.6,0.01
3,8,16.0,17.6,16.8,75.0,16.8,0.01
3,9,18.0,19.5,18.7,66.0,20.4,0.06
3,10,19.2,21.1,20.3,60.0,23.1,0.1
3,11,20.1,22.4,21.5,57.0,24.2,0.12
3,12,20.7,23.1,21.8,53.0,24.2,0.12
3,13,21.0,23.5,22.3,52.5,24.1,0.11
3,14,21.0,23.7,22.4,52.0,25.7,0.13
3,15,21.0,23.5,22.5,52.0,26.0,0.07
3,16,20.6,23.0,22.0,54.0,26.0,0.04
3,17,20.0,22.3,21.2,55.5,26.0,0.06
3,18,19.1,21.1,20.3,61.0,25.9,0.06
3,19,17.7,19.3,18.8,67.0,23.1,0.02
3,20,17.2,18.7,17.9,70.0,20.4,0.01
3,21,16.7,18.2,17.6,72.0,20.4,0.01
3,22,16.5,18.0,17.3,73.5,18.5,0.02
3,23,16.0,17.7,16.9,74.5,16.6,0.0
4,0,16.7,18.8,17.8,74.5,16.8,0.0
4,1,16.5,18.6,17.5,75.5,16.4,0.0
4,2,16.2,18.2,17.2,75.8,16.4,0.0
4,3,16.1,17.9,17.0,76.3,15.5,0.0
4,4,16.0,17.8,17.0,76.0,15.9,0.0
4,5,15.8,17.7,16.9,76.8,16.8,0.0
4,6,15.7,17.7,16.9,76.5,15.9,0.0
4,7,16.1,18.3,17.2,76.0,16.3,0.0
4,8,18.0,19.8,19.1,69.0,20.4,0.0
4,9,19.2,21.7,20.4,61.3,23.3,0.0
4,10,20.4,23.0,21.7,57.3,22.9,0.0
4,11,21.2,23.7,22.5,55.3,24.1,0.03
4,12,21.9,24.6,23.2,53.3,24.6,0.02
4,13,22.0,25.0,23.5,52.5,25.0,0.05
4,14,22.0,25.1,23.5,53.5,26.9,0.05
4,15,22.0,25.0,23.4,52.5,26.0,0.08
4,16,21.5,24.5,22.9,53.5,26.9,0.03
4,17,21.1,23.8,22.5,55.8,26.0,0.02
4,18,20.0,22.3,21.4,59.3,27.5,0.02
4,19,18.7,21.1,19.9,65.3,25.1,0.0
4,20,18.0,20.1,18.9,69.5,21.3,0.02
4,21,17.5,19.6,18.5,71.0,19.5,0.0
4,22,17.1,19.5,18.3,72.0,20.5,0.02
4,23,17.0,19.0,18.0,73.8,18.5,0.0
5,0,18.0,19.4,18.7,75.5,22.2,0.0
5,1,17.7,19.2,18.5,75.5,21.3,0.0
5,2,17.6,19.1,18.4,76.0,20.4,0.0
5,3,17.5,19.0,18.3,76.5,20.6,0.0
5,4,17.5,19.0,18.2,77.0,20.4,0.0
5,5,17.5,18.8,18.1,76.5,19.5,0.0
5,6,17.2,18.7,17.9,77.5,18.6,0.0
5,7,18.0,19.4,18.9,73.0,22.2,0.0
5,8,19.5,21.1,20.3,66.5,26.0,0.0
5,9,20.7,22.7,21.7,60.5,27.0,0.03
5,10,22.0,23.7,22.9,56.0,26.9,0.07
5,11,22.7,24.8,23.8,53.0,27.9,0.11
5,12,23.1,25.8,24.3,51.5,27.8,0.08
5,13,23.5,26.2,24.8,52.0,28.7,0.07
5,14,23.7,26.1,24.9,51.5,28.1,0.06
5,15,23.2,26.0,24.5,52.5,28.8,0.05
5,16,23.0,25.2,24.1,53.0,29.7,0.01
5,17,22.5,24.2,23.3,54.5,31.5,0.01
5,18,21.5,23.2,22.3,60.5,31.5,0.01
5,19,20.2,21.7,21.0,66.0,29.7,0.0
5,20,19.1,20.7,19.9,70.5,26.9,0.0
5,21,18.7,20.2,19.4,72.5,24.2,0.01
5,22,18.5,19.8,19.1,73.0,23.0,0.01
5,23,18.5,19.6,19.0,75.0,23.1,0.0
6,0,19.3,21.2,20.4,76.0,18.6,0.01
6,1,19.1,21.2,20.2,76.5,17.7,0.0
6,2,19.1,21.0,20.0,76.5,18.6,0.0
6,3,18.9,20.7,19.9,76.0,17.7,0.0
6,4,18.7,20.6,19.7,77.0,17.7,0.0
6,5,18.6,20.6,19.6,77.0,16.8,0.0
6,6,18.7,20.4,19.7,77.5,16.3,0.0
6,7,19.5,21.5,20.6,74.0,18.5,0.0
6,8,20.6,22.7,21.8,67.3,22.2,0.0
6,9,22.0,24.2,23.0,62.0,24.2,0.0
6,10,23.1,25.2,24.2,58.3,25.1,0.01
6,11,23.7,26.2,25.0,55.8,25.5,0.04
6,12,24.2,26.8,25.5,52.5,26.9,0.04
6,13,24.6,27.2,26.0,52.3,27.9,0.09
6,14,24.7,27.3,26.2,52.0,26.9,0.1
6,15,24.7,27.0,26.0,52.3,27.9,0.11
6,16,24.5,26.7,25.7,53.8,27.0,0.08
6,17,23.8,26.0,25.0,56.0,27.9,0.03
6,18,23.0,24.7,23.9,60.5,27.3,0.02
6,19,21.7,23.7,22.8,64.3,27.4,0.02
6,20,20.6,22.7,21.5,69.5,25.1,0.0
6,21,20.1,22.1,21.2,72.5,23.3,0.0
6,22,19.7,21.9,20.9,74.0,21.3,0.01
6,23,19.7,21.6,20.6,75.5,20.4,0.0
7,0,20.7,22.2,21.6,79.5,28.8,0.01
7,1,20.5,22.1,21.4,79.5,27.9,0.01
7,2,20.5,22.0,21.2,80.0,28.8,0.01
7,3,20.2,22.0,21.1,80.5,26.0,0.0
7,4,20.3,21.7,21.0,80.5,26.9,0.0
