m,m3,coco,coco_pct
10,3,4.0,0.016
1,1,3.0,0.173
5,2,17.0,0.0
5,3,9.0,0.0
5,2,8.0,0.0
6,1,8.0,0.0
3,1,17.0,0.001
10,2,8.0,0.002
6,1,7.0,0.002
12,1,3.0,0.222
4,1,23.0,0.0
2,2,17.0,0.0
5,2,2.0,0.646
8,2,9.0,0.0
6,3,18.0,0.001
2,1,2.0,0.45
2,2,3.0,0.087
8,2,23.0,0.0
1,1,25.0,0.001
3,1,18.0,0.0
11,3,3.0,0.16
6,2,17.0,0.0
8,1,23.0,0.0
12,1,9.0,0.001
6,1,2.0,0.618
11,3,8.0,0.013
9,2,17.0,0.0
2,2,4.0,0.027
1,2,1.0,0.302
11,3,18.0,0.001
5,1,8.0,0.0
11,3,25.0,0.0
5,2,3.0,0.155
4,2,8.0,0.001
8,2,3.0,0.061
4,1,2.0,0.692
2,3,5.0,0.027
8,1,9.0,0.0
4,2,25.0,0.001
8,3,1.0,0.253
11,1,2.0,0.728
2,1,18.0,0.003
3,1,7.0,0.006
8,3,23.0,0.0
9,3,23.0,0.0
6,2,5.0,0.0
9,2,18.0,0.0
7,1,5.0,0.002
12,3,9.0,0.0
6,2,25.0,0.0
11,2,8.0,0.002
10,1,18.0,0.0
2,3,17.0,0.0
3,1,9.0,0.0
11,2,18.0,0.0
7,1,23.0,0.0
9,1,17.0,0.0
1,1,9.0,0.0
12,2,4.0,0.032
9,2,4.0,0.022
6,1,9.0,0.0
12,3,8.0,0.002
7,3,23.0,0.0
5,3,25.0,0.0
5,1,7.0,0.0
10,1,25.0,0.0
3,1,23.0,0.0
10,2,5.0,0.004
6,2,2.0,0.596
1,1,4.0,0.026
7,3,5.0,0.008
9,2,25.0,0.0
4,3,18.0,0.0
7,2,2.0,0.539
5,2,7.0,0.007
4,2,23.0,0.0
10,3,18.0,0.0
5,3,3.0,0.192
2,2,23.0,0.0
7,1,4.0,0.018
2,2,1.0,0.307
8,3,25.0,0.0
7,3,2.0,0.655
6,1,3.0,0.236
4,3,4.0,0.022
10,3,2.0,0.685
9,2,1.0,0.101
12,2,9.0,0.0
1,1,18.0,0.001
6,3,4.0,0.047
4,3,23.0,0.0
9,1,1.0,0.209
3,3,3.0,0.134
8,3,9.0,0.0
7,3,9.0,0.0
1,1,5.0,0.001
4,1,25.0,0.0
5,3,17.0,0.0
11,1,17.0,0.0
1,2,9.0,0.0
1,2,18.0,0.0
4,2,7.0,0.002
6,1,5.0,0.001
3,2,25.0,0.0
8,2,4.0,0.02
7,1,7.0,0.0
9,3,18.0,0.0
3,3,4.0,0.014
1,3,4.0,0.023
11,1,8.0,0.0
4,1,18.0,0.0
3,2,7.0,0.015
2,3,18.0,0.0
9,2,3.0,0.08
1,2,2.0,0.428
7,3,7.0,0.0
7,2,8.0,0.0
3,2,18.0,0.001
12,1,18.0,0.001
3,2,9.0,0.0
10,3,1.0,0.143
12,3,7.0,0.009
3,3,5.0,0.003
12,2,2.0,0.466
10,2,23.0,0.0
8,3,3.0,0.075
9,3,4.0,0.007
12,3,25.0,0.0
3,3,25.0,0.0
2,2,2.0,0.514
3,3,7.0,0.018
3,2,23.0,0.0
3,3,9.0,0.0
11,1,23.0,0.0
6,1,25.0,0.0
1,1,23.0,0.0
7,1,8.0,0.0
11,3,7.0,0.039
12,3,17.0,0.0
4,1,9.0,0.0
5,3,5.0,0.002
3,2,3.0,0.151
10,3,23.0,0.0
10,2,7.0,0.012
2,3,2.0,0.548
1,2,4.0,0.03
12,1,4.0,0.014
8,3,5.0,0.003
2,2,8.0,0.001
11,2,17.0,0.0
3,3,1.0,0.213
11,2,9.0,0.0
6,3,7.0,0.004
8,1,17.0,0.0
7,2,17.0,0.0
8,1,25.0,0.0
6,2,3.0,0.255
11,3,2.0,0.633
7,2,7.0,0.0
12,1,2.0,0.55
1,2,8.0,0.001
6,1,4.0,0.034
11,2,7.0,0.008
6,1,17.0,0.0
2,2,5.0,0.05
11,3,23.0,0.0
9,1,8.0,0.0
8,1,2.0,0.672
2,3,4.0,0.025
3,2,5.0,0.013
12,2,23.0,0.0
10,1,17.0,0.0
3,1,3.0,0.214
12,3,5.0,0.013
10,3,9.0,0.0
8,2,18.0,0.001
4,3,1.0,0.107
5,2,1.0,0.156
7,1,1.0,0.234
10,1,1.0,0.263
3,2,1.0,0.194
7,1,9.0,0.0
1,3,3.0,0.191
9,3,8.0,0.003
12,1,23.0,0.0
7,1,2.0,0.617
2,1,9.0,0.001
4,3,25.0,0.0
9,2,2.0,0.796
5,2,23.0,0.0
1,3,18.0,0.001
5,1,4.0,0.03
9,3,25.0,0.0
1,2,17.0,0.0
11,1,3.0,0.132
6,2,7.0,0.002
10,2,25.0,0.0
5,1,18.0,0.0
12,2,7.0,0.003
11,3,1.0,0.129
6,2,18.0,0.0
1,3,8.0,0.001
5,1,5.0,0.001
10,2,2.0,0.662
8,3,2.0,0.651
11,1,1.0,0.118
3,1,2.0,0.632
3,3,18.0,0.003
5,1,17.0,0.0
6,1,18.0,0.0
4,2,4.0,0.008
5,2,5.0,0.0
8,1,3.0,0.094
10,1,23.0,0.0
4,2,2.0,0.62
5,1,1.0,0.18
7,3,3.0,0.106
11,2,23.0,0.0
2,3,1.0,0.201
2,2,18.0,0.0
6,2,8.0,0.0
5,1,23.0,0.0
