m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,15.0,17.0,15.9,73.0,11.8,0.0
1,1,1,14.8,17.1,15.9,73.8,12.7,0.0
1,1,2,14.6,17.2,16.0,75.5,13.0,0.0
1,1,3,14.0,17.6,15.7,77.8,13.9,0.0
1,1,4,13.9,17.4,15.4,79.8,13.5,0.0
1,1,5,14.0,17.0,15.5,78.5,13.4,0.0
1,1,6,13.6,17.2,15.3,79.5,14.9,0.0
1,1,7,13.6,17.3,15.3,78.3,13.0,0.0
1,1,8,13.9,17.3,15.5,79.5,14.4,0.0
1,1,9,16.1,18.6,17.4,73.3,13.0,0.0
1,1,10,18.6,20.7,19.6,68.0,14.8,0.0
1,1,11,19.1,22.0,20.6,60.3,16.8,0.0
1,1,12,19.7,22.5,21.0,58.3,18.0,0.0
1,1,13,19.5,22.4,21.0,59.8,18.2,0.0
1,1,14,19.6,22.5,21.2,57.0,19.0,0.07
1,1,15,19.6,22.3,21.0,57.3,18.6,0.07
1,1,16,19.1,22.0,20.5,61.0,18.2,0.07
1,1,17,18.5,21.4,20.0,61.5,17.7,0.07
1,1,18,17.7,20.4,19.1,65.0,16.2,0.0
1,1,19,16.6,19.2,17.9,68.5,14.4,0.0
1,1,20,16.1,18.2,17.2,69.5,12.1,0.03
1,1,21,15.4,17.9,16.6,72.5,12.5,0.03
1,1,22,15.0,17.5,16.2,72.8,13.5,0.03
1,1,23,15.0,17.1,16.1,73.0,12.6,0.0
1,2,0,13.7,18.2,16.1,68.8,14.8,0.0
1,2,1,14.0,17.9,15.8,70.5,15.4,0.0
1,2,2,14.0,17.6,15.8,73.3,14.8,0.0
1,2,3,14.0,17.7,15.8,71.3,13.9,0.0
1,2,4,14.0,17.4,15.5,68.3,13.9,0.0
1,2,5,13.7,17.2,15.1,69.5,14.4,0.0
1,2,6,13.6,17.2,15.3,71.0,14.5,0.03
1,2,7,13.5,17.1,15.4,73.5,15.5,0.0
1,2,8,13.6,17.2,15.7,70.3,14.2,0.0
1,2,9,15.9,18.4,17.1,67.3,14.8,0.0
1,2,10,18.0,20.0,18.9,59.5,19.5,0.0
1,2,11,18.9,21.0,19.9,56.0,19.9,0.0
1,2,12,19.2,22.1,20.7,53.8,20.0,0.03
1,2,13,19.2,22.0,20.7,55.0,20.9,0.03
1,2,14,19.7,22.1,20.8,53.0,19.5,0.1
1,2,15,19.2,22.2,20.8,51.0,20.0,0.1
1,2,16,19.0,21.5,20.4,56.0,19.5,0.0
1,2,17,18.6,20.9,19.9,55.8,20.0,0.0
1,2,18,18.0,19.9,19.0,60.8,18.3,0.0
1,2,19,16.7,19.0,17.9,62.3,14.4,0.0
1,2,20,15.8,18.4,17.2,64.0,15.4,0.0
1,2,21,15.1,18.2,16.7,67.0,14.1,0.0
1,2,22,14.8,18.0,16.6,67.8,14.0,0.0
1,2,23,14.2,18.0,16.2,69.0,14.8,0.0
1,3,0,14.5,17.2,15.9,69.0,13.8,0.0
1,3,1,14.5,17.0,15.9,74.0,14.1,0.0
1,3,2,14.0,17.2,15.6,74.5,13.9,0.0
1,3,3,13.7,17.2,15.6,75.5,13.9,0.0
1,3,4,13.5,16.7,15.1,74.0,13.9,0.0
1,3,5,13.5,16.1,14.9,77.0,12.1,0.0
1,3,6,13.7,16.0,14.9,75.5,13.0,0.0
1,3,7,13.5,16.2,14.9,73.5,13.0,0.0
1,3,8,13.5,16.6,15.1,76.5,12.7,0.0
1,3,9,15.7,18.1,17.0,70.5,13.2,0.0
1,3,10,18.0,20.5,19.2,63.0,16.8,0.0
1,3,11,18.2,21.4,20.1,57.0,20.4,0.0
1,3,12,19.1,22.0,20.5,56.5,20.4,0.03
1,3,13,19.5,22.0,20.7,57.0,20.4,0.06
1,3,14,20.0,22.1,21.1,56.0,20.4,0.09
1,3,15,20.1,22.2,21.1,53.5,22.3,0.09
1,3,16,19.1,22.0,20.8,54.5,19.5,0.03
1,3,17,18.7,21.2,20.0,57.5,19.5,0.0
1,3,18,18.0,20.7,19.3,60.5,17.7,0.0
1,3,19,16.5,19.2,18.0,65.0,15.0,0.0
1,3,20,15.5,18.5,17.3,65.0,15.0,0.0
1,3,21,15.7,18.0,16.8,68.0,14.6,0.0
1,3,22,16.0,18.0,16.9,67.5,15.0,0.0
1,3,23,15.0,17.6,16.5,70.5,13.9,0.0
2,1,0,13.6,19.2,16.5,68.8,17.3,0.05
2,1,1,13.4,19.1,16.1,69.0,16.3,0.1
2,1,2,13.9,18.6,16.0,72.3,15.4,0.05
2,1,3,13.4,18.1,15.8,74.3,15.0,0.05
2,1,4,14.0,17.4,15.5,73.5,14.5,0.05
2,1,5,13.5,17.2,15.2,74.8,13.9,0.05
2,1,6,12.9,17.5,15.2,72.8,13.9,0.05
2,1,7,13.2,17.9,15.3,74.3,14.5,0.05
2,1,8,13.6,16.9,15.3,72.0,14.4,0.0
2,1,9,15.2,19.7,17.5,67.8,13.6,0.05
2,1,10,17.4,21.3,19.2,60.3,17.7,0.1
2,1,11,18.5,22.4,20.4,57.3,20.0,0.05
2,1,12,18.9,22.5,20.8,56.5,21.3,0.1
2,1,13,18.9,22.9,20.9,55.8,21.4,0.1
2,1,14,19.2,23.1,21.2,54.8,20.9,0.1
2,1,15,18.8,23.5,21.2,53.5,22.3,0.05
2,1,16,18.6,23.5,20.9,50.3,21.4,0.1
2,1,17,18.1,23.1,20.5,51.3,20.0,0.1
2,1,18,17.3,22.0,19.7,57.8,20.4,0.1
2,1,19,16.1,21.0,18.7,62.3,16.3,0.05
2,1,20,15.6,19.9,18.0,64.0,16.6,0.05
2,1,21,14.7,19.5,17.4,61.3,16.4,0.05
2,1,22,14.8,19.4,17.4,62.5,14.6,0.05
2,1,23,14.2,19.7,17.2,68.0,15.7,0.05
2,2,0,14.9,18.1,16.5,74.5,13.9,0.05
2,2,1,14.6,17.5,16.3,70.8,15.5,0.05
2,2,2,14.7,17.2,16.1,74.5,14.9,0.05
2,2,3,14.0,16.7,15.5,76.5,14.9,0.0
2,2,4,14.1,16.5,15.5,77.8,15.3,0.0
2,2,5,14.1,16.4,15.4,79.0,13.5,0.0
2,2,6,13.6,16.4,15.1,79.5,14.9,0.05
2,2,7,13.4,16.7,15.2,79.8,14.0,0.0
2,2,8,14.1,16.8,15.4,77.0,15.4,0.05
