m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,0.5,6.7,4.1,88.5,4.7,0.02
1,1,-0.2,6.2,3.6,89.0,4.7,0.02
1,2,-0.5,6.6,3.1,90.0,4.7,0.02
1,3,-0.7,6.0,3.0,89.5,4.7,0.02
1,4,-1.2,6.0,2.8,90.0,3.9,0.02
1,5,-1.5,5.7,2.2,90.5,5.6,0.04
1,6,-2.0,5.6,2.1,92.0,4.7,0.05
1,7,-2.2,6.0,2.4,92.5,4.5,0.04
1,8,-0.7,6.0,3.7,90.5,4.7,0.02
1,9,2.7,8.5,6.1,83.0,4.7,0.05
1,10,6.0,10.7,8.3,73.0,4.7,0.03
1,11,8.5,13.5,10.8,62.5,5.6,0.06
1,12,10.7,15.0,12.7,55.5,9.2,0.05
1,13,11.7,16.0,13.9,52.0,11.9,0.05
1,14,11.6,16.3,14.1,52.5,12.1,0.04
1,15,11.1,16.0,13.8,56.0,12.1,0.04
1,16,9.7,14.0,11.8,60.5,12.1,0.06
1,17,7.2,12.0,9.3,69.0,9.2,0.06
1,18,5.7,10.2,8.1,75.0,6.5,0.06
1,19,4.5,10.0,7.4,79.0,5.6,0.06
1,20,3.6,9.1,6.4,82.5,6.5,0.06
1,21,2.5,8.5,5.6,84.0,5.6,0.05
1,22,2.1,7.7,5.0,87.0,4.7,0.06
1,23,1.2,7.7,4.6,87.0,4.5,0.04
2,0,3.7,8.2,5.9,93.0,4.7,0.13
2,1,3.2,9.0,5.6,94.0,3.8,0.1
2,2,2.5,8.0,5.4,93.5,4.7,0.14
2,3,2.0,7.6,4.8,95.0,4.7,0.11
2,4,1.7,8.0,4.6,93.0,3.8,0.09
2,5,1.5,8.0,4.6,94.0,3.8,0.09
2,6,0.7,7.6,4.3,94.5,3.8,0.07
2,7,0.7,7.2,4.2,94.5,4.7,0.08
2,8,3.2,9.0,6.3,93.0,3.8,0.08
2,9,6.7,11.0,9.1,83.0,4.7,0.11
2,10,10.0,13.5,11.9,72.5,6.6,0.07
2,11,12.0,15.7,14.1,64.5,9.3,0.08
2,12,13.7,17.5,15.6,57.5,11.2,0.09
2,13,14.0,18.2,16.3,56.5,13.0,0.06
2,14,14.5,18.2,16.4,56.0,13.9,0.11
2,15,13.7,18.1,16.4,58.0,13.9,0.09
2,16,12.5,17.0,15.0,61.0,15.1,0.1
2,17,10.7,14.0,12.5,71.0,13.0,0.08
2,18,9.2,12.2,10.8,77.5,8.3,0.08
2,19,8.0,11.6,9.8,83.0,6.5,0.05
2,20,7.0,11.0,8.9,86.0,6.3,0.05
2,21,5.5,10.0,7.9,88.0,4.7,0.08
2,22,5.0,9.5,7.3,89.5,4.7,0.09
2,23,4.0,9.2,6.6,91.0,4.7,0.07
3,0,5.1,10.7,7.8,88.5,5.6,0.07
3,1,4.7,10.5,7.5,90.5,5.6,0.09
3,2,4.2,10.0,7.0,91.0,6.4,0.1
3,3,4.0,9.6,6.7,92.5,5.6,0.09
3,4,3.6,9.7,6.6,91.5,4.7,0.05
3,5,3.2,9.6,6.3,92.5,5.6,0.04
3,6,3.2,9.5,6.2,93.0,4.7,0.08
3,7,4.6,10.1,7.5,90.0,4.8,0.09
3,8,8.6,12.0,10.5,84.0,6.5,0.09
3,9,10.6,14.0,12.4,74.5,8.3,0.1
3,10,12.0,16.2,14.3,64.5,10.3,0.11
3,11,13.0,17.6,15.3,59.0,13.9,0.13
3,12,13.5,19.0,16.3,56.0,15.0,0.1
3,13,13.2,19.5,16.4,57.5,15.9,0.1
3,14,13.5,19.0,16.3,57.0,19.5,0.13
3,15,13.1,18.2,15.6,59.0,18.6,0.1
3,16,12.2,17.2,14.6,63.0,18.6,0.11
3,17,11.6,16.0,13.6,67.0,15.0,0.07
3,18,10.2,14.0,12.1,74.5,11.2,0.09
3,19,9.1,12.6,10.7,78.5,9.2,0.08
3,20,8.7,11.7,10.1,83.5,6.5,0.1
3,21,7.5,11.2,9.3,85.0,5.6,0.1
3,22,7.0,11.0,8.8,87.5,5.6,0.11
3,23,5.7,10.7,8.1,87.5,5.6,0.08
4,0,6.7,11.6,9.5,88.8,4.5,0.07
4,1,6.5,11.6,9.0,89.8,4.7,0.08
4,2,5.9,11.6,8.8,90.8,5.6,0.08
4,3,6.0,11.6,8.3,91.5,5.1,0.08
4,4,5.8,11.1,8.2,91.3,5.6,0.1
4,5,4.9,10.5,7.8,92.3,4.7,0.12
4,6,6.5,11.0,8.7,91.0,5.6,0.08
4,7,9.3,13.1,11.3,85.0,5.6,0.08
4,8,11.7,15.9,13.6,75.0,6.5,0.1
4,9,13.7,18.4,16.1,65.3,10.1,0.13
4,10,15.2,20.5,17.9,57.3,12.6,0.15
4,11,16.2,21.5,18.8,53.5,15.0,0.15
4,12,16.6,22.2,19.5,51.8,16.8,0.18
4,13,16.2,22.5,19.4,53.3,18.6,0.23
4,14,15.7,21.7,18.8,52.5,20.0,0.17
4,15,15.2,21.5,18.1,56.0,20.4,0.23
4,16,14.7,20.2,17.8,58.3,18.6,0.1
4,17,13.9,18.9,16.6,61.3,16.7,0.07
4,18,12.5,17.1,15.0,67.5,13.0,0.07
4,19,11.5,15.4,13.6,73.8,10.3,0.08
4,20,10.5,14.2,12.6,79.5,8.3,0.08
4,21,9.9,13.0,11.5,82.5,6.5,0.08
4,22,9.1,12.7,11.1,86.0,5.6,0.08
4,23,7.6,12.6,10.1,87.0,5.2,0.08
5,0,12.0,14.5,13.3,90.5,3.8,0.06
5,1,11.1,14.2,12.6,91.0,3.6,0.02
5,2,10.5,13.7,12.1,92.0,3.8,0.04
5,3,10.2,13.5,11.6,93.0,3.8,0.04
5,4,9.5,13.1,11.1,93.5,3.8,0.06
5,5,9.7,13.2,11.2,94.5,3.8,0.05
5,6,12.0,14.7,13.3,89.5,3.8,0.11
5,7,14.2,17.2,15.9,81.5,4.7,0.1
5,8,16.1,20.2,18.4,71.5,6.5,0.08
5,9,17.2,22.7,20.2,59.5,9.2,0.13
5,10,18.7,24.6,21.5,55.0,10.1,0.18
5,11,19.0,25.5,22.6,51.5,12.1,0.25
5,12,19.7,26.0,23.1,51.0,15.9,0.31
5,13,20.1,26.0,22.8,52.5,19.5,0.26
5,14,19.7,25.2,22.3,52.5,19.5,0.28
5,15,18.7,25.1,21.8,53.5,19.5,0.27
5,16,18.0,24.0,21.2,57.0,17.8,0.31
5,17,18.0,23.0,20.0,61.0,14.8,0.16
5,18,16.7,21.3,18.8,64.0,12.1,0.09
5,19,15.5,19.5,17.0,73.0,9.4,0.08
5,20,14.6,17.5,15.8,80.5,6.5,0.06
5,21,13.7,16.3,14.9,84.5,5.6,0.05
5,22,13.5,15.7,14.4,87.5,4.7,0.03
5,23,12.6,15.1,13.7,88.5,3.8,0.08
6,0,15.4,19.5,17.4,85.0,3.8,0.08
6,1,15.2,19.0,16.9,87.5,3.8,0.08
6,2,14.6,18.5,16.4,89.5,3.2,0.07
6,3,13.9,17.8,16.1,90.5,3.7,0.06
6,4,14.0,17.6,16.0,91.3,3.2,0.08
6,5,14.9,18.0,16.5,91.0,2.7,0.07
6,6,17.0,21.0,19.2,83.0,3.8,0.06
6,7,19.2,23.5,21.7,72.0,5.6,0.02
6,8,21.6,26.1,24.4,62.8,7.4,0.07
6,9,23.1,28.5,26.2,53.8,9.6,0.07
6,10,24.3,30.0,27.2,49.3,12.1,0.13
6,11,25.0,30.9,28.3,46.8,13.6,0.19
6,12,25.2,31.6,28.8,46.0,16.8,0.28
6,13,25.0,31.8,28.8,46.3,19.5,0.25
6,14,25.2,31.6,28.6,47.3,20.4,0.26
6,15,24.9,30.4,27.6,50.5,19.5,0.15
6,16,23.8,29.2,26.9,51.8,19.1,0.13
6,17,23.3,28.2,25.8,55.5,16.8,0.1
6,18,22.4,26.7,24.6,60.0,14.0,0.09
6,19,20.5,25.1,23.3,67.3,10.8,0.07
6,20,19.4,23.5,21.6,73.0,7.4,0.04
6,21,18.4,22.2,20.3,78.0,6.5,0.06
6,22,17.1,21.2,19.0,80.8,4.6,0.04
6,23,16.2,20.2,18.2,83.3,4.7,0.06
7,0,19.5,22.2,20.9,83.5,3.8,0.02
7,1,19.0,21.6,20.3,86.0,3.8,0.02
7,2,18.3,21.2,19.7,87.0,3.8,0.03
7,3,17.8,20.7,19.2,88.5,3.8,0.01
7,4,17.5,20.5,18.9,88.5,3.8,0.01
7,5,17.6,20.2,19.0,89.5,3.8,0.0
7,6,20.0,22.7,21.2,81.5,2.7,0.0
7,7,22.7,25.7,24.0,68.5,5.6,0.03
7,8,25.1,28.6,26.8,59.5,7.4,0.05
7,9,26.7,30.7,28.8,51.5,8.3,0.04
7,10,28.3,32.7,30.5,45.0,10.3,0.09
7,11,29.2,33.5,31.1,42.5,13.9,0.09
7,12,29.1,34.0,31.4,43.5,17.7,0.14
7,13,29.0,34.0,31.9,43.5,20.4,0.15
7,14,28.7,33.8,31.3,45.5,21.3,0.1
7,15,28.5,33.5,30.6,46.0,21.3,0.05
7,16,27.6,32.2,29.6,49.5,20.4,0.01
7,17,26.7,31.5,29.3,52.0,18.6,0.02
7,18,25.2,30.0,27.4,57.0,14.8,0.01
7,19,24.1,27.7,26.0,63.5,11.2,0.0
7,20,22.5,26.1,24.4,71.0,9.2,0.0
7,21,21.7,25.1,23.2,76.0,6.5,0.0
7,22,21.0,23.9,22.5,80.5,4.7,0.0
7,23,20.2,23.2,21.7,81.5,3.8,0.02
8,0,19.7,23.0,21.4,83.5,3.8,0.02
8,1,19.0,22.5,20.8,85.5,3.8,0.03
8,2,18.7,22.0,20.3,87.0,3.8,0.03
8,3,18.5,21.6,19.9,86.5,3.8,0.04
8,4,18.0,21.2,19.6,88.5,3.8,0.05
8,5,17.6,21.0,19.4,88.0,3.8,0.05
8,6,19.0,22.2,20.8,84.0,3.6,0.03
8,7,21.6,25.0,23.3,72.0,4.7,0.05
8,8,24.0,28.0,26.2,60.5,6.5,0.04
8,9,26.2,30.2,28.6,52.0,7.4,0.04
8,10,27.5,32.8,30.0,45.5,8.3,0.02
8,11,29.0,33.9,31.5,41.5,10.3,0.09
8,12,29.6,34.2,32.3,42.5,15.9,0.1
8,13,29.2,34.7,32.0,43.0,18.6,0.17
8,14,29.2,34.1,31.4,46.0,21.3,0.16
8,15,28.2,33.0,30.8,48.0,20.4,0.11
8,16,27.2,31.9,29.7,52.0,19.5,0.1
8,17,26.0,30.5,28.4,56.5,17.5,0.06
8,18,24.9,28.8,27.0,62.0,13.9,0.04
8,19,23.5,26.8,25.6,68.5,10.3,0.02
8,20,22.6,26.1,24.3,73.0,7.4,0.03
8,21,21.7,25.0,23.5,77.0,5.6,0.02
8,22,21.2,24.1,22.5,80.0,4.7,0.02
8,23,20.2,23.5,21.8,82.5,3.8,0.01
9,0,16.1,19.5,17.9,89.3,3.8,0.06
9,1,15.5,19.1,17.4,89.8,3.8,0.07
9,2,14.8,18.9,17.2,91.3,3.8,0.04
9,3,15.1,18.6,17.0,91.5,4.7,0.04
9,4,14.6,18.2,16.5,92.5,3.8,0.04
9,5,14.5,17.9,16.5,92.8,3.8,0.07
9,6,14.7,18.0,16.3,91.8,3.8,0.06
9,7,17.2,20.0,18.8,85.5,4.3,0.04
9,8,19.7,23.1,21.6,73.8,6.1,0.07
9,9,21.2,25.5,23.6,63.3,7.4,0.08
9,10,23.1,27.5,25.5,55.5,9.2,0.07
9,11,24.4,28.8,26.7,51.0,11.0,0.15
9,12,25.0,29.6,27.5,50.5,12.5,0.14
9,13,25.1,29.9,27.4,51.3,15.0,0.25
9,14,24.3,29.2,26.6,53.5,17.7,0.24
9,15,23.2,28.5,25.8,57.8,18.6,0.19
9,16,22.5,27.5,25.2,60.0,17.7,0.15
9,17,21.8,25.7,23.9,65.8,13.9,0.07
9,18,20.4,23.6,22.3,72.0,10.3,0.09
9,19,19.3,22.6,21.1,78.5,8.3,0.08
9,20,18.5,22.1,20.2,82.0,6.1,0.1
9,21,18.1,21.2,19.8,84.3,4.7,0.07
9,22,17.4,20.5,19.2,86.0,4.7,0.08
9,23,16.6,20.0,18.4,88.0,4.7,0.04
10,0,11.5,17.0,14.2,90.0,3.8,0.06
10,1,11.2,16.6,13.7,91.5,4.5,0.06
10,2,10.6,16.2,13.3,93.0,3.8,0.03
10,3,10.2,16.2,13.2,93.0,4.7,0.04
10,4,9.6,16.0,12.9,93.5,4.7,0.02
10,5,9.6,15.7,12.8,92.5,4.7,0.02
10,6,9.5,16.0,12.6,92.5,5.6,0.03
10,7,11.0,16.5,14.1,90.5,4.7,0.01
10,8,14.0,18.5,16.8,85.5,4.7,0.02
10,9,17.0,20.7,19.1,75.5,6.5,0.06
10,10,19.0,23.2,21.1,66.5,9.2,0.12
10,11,20.1,24.7,22.5,61.0,11.9,0.13
10,12,20.7,25.6,23.3,56.0,13.0,0.13
10,13,20.8,26.0,23.5,56.5,14.8,0.15
10,14,20.7,25.5,23.3,59.5,17.7,0.16
10,15,20.5,25.0,22.7,61.5,16.8,0.12
10,16,19.1,23.5,21.5,67.0,15.7,0.06
10,17,17.5,21.7,19.3,73.0,13.0,0.07
10,18,16.0,20.5,18.0,79.0,9.2,0.06
10,19,14.7,19.7,17.2,82.0,7.4,0.06
10,20,14.0,19.0,16.3,85.5,5.6,0.04
10,21,13.0,18.5,15.5,88.0,6.5,0.05
10,22,12.5,17.7,15.4,89.0,5.6,0.05
10,23,12.2,17.5,14.6,90.0,5.6,0.05
11,0,6.5,12.8,9.7,90.3,4.7,0.06
11,1,5.8,12.7,9.2,90.5,5.6,0.07
11,2,5.1,12.2,8.6,91.5,5.2,0.06
11,3,5.0,12.0,8.4,91.3,4.7,0.04
11,4,5.2,11.7,8.7,92.3,5.2,0.06
11,5,5.3,12.1,8.9,92.0,4.7,0.07
11,6,4.3,11.8,8.6,91.8,5.6,0.06
11,7,4.9,11.6,8.6,92.0,5.6,0.03
11,8,7.6,13.1,10.3,88.8,5.6,0.06
11,9,10.1,15.6,12.9,82.5,6.5,0.07
