m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,0.6,7.0,14.7,6.2,2.0,0.17,6.0
1,2,0.5,6.0,14.1,6.5,2.0,0.16,4.0
1,3,0.6,7.6,15.5,7.9,1.0,0.12,1.0
2,1,2.3,8.7,16.9,6.7,2.0,0.22,7.0
2,2,3.2,9.5,17.1,7.1,2.0,0.17,1.0
2,3,3.7,10.0,17.6,9.2,2.0,0.21,6.0
3,1,4.0,9.8,16.5,10.1,4.0,0.36,17.0
3,2,5.7,11.0,17.8,9.8,3.0,0.31,9.0
3,3,4.9,11.0,18.2,9.4,3.0,0.3,17.0
4,1,4.7,11.2,19.4,10.8,3.0,0.29,5.0
4,2,6.5,13.2,20.4,9.7,4.0,0.37,24.0
4,3,8.9,14.4,21.4,11.0,4.0,0.41,17.0
5,1,9.9,16.3,23.5,9.2,4.0,0.42,22.0
5,2,10.0,15.5,23.5,9.4,4.0,0.41,39.0
5,3,12.1,18.5,26.5,9.0,3.0,0.31,17.0
6,1,14.0,19.6,27.6,9.5,4.0,0.4,19.0
6,2,14.8,22.0,30.7,9.4,3.0,0.34,5.0
6,3,17.1,23.0,31.0,9.9,2.0,0.17,8.0
7,1,17.6,23.5,31.7,9.5,2.0,0.21,1.0
7,2,18.3,24.6,32.6,10.5,2.0,0.16,2.0
7,3,18.5,25.3,33.5,10.3,2.0,0.18,10.0
8,1,19.1,25.2,33.5,9.9,2.0,0.16,0.0
8,2,18.7,24.7,33.0,9.8,2.0,0.21,14.0
8,3,17.6,24.0,32.3,8.4,2.0,0.22,6.0
9,1,16.5,21.8,29.2,8.5,4.0,0.37,21.0
9,2,15.8,21.6,29.5,8.0,3.0,0.33,20.0
9,3,13.3,18.8,26.7,8.3,2.0,0.22,6.0
10,1,12.1,18.1,25.3,8.2,3.0,0.34,11.0
10,2,11.7,17.4,24.3,9.8,3.0,0.29,22.0
10,3,10.2,15.7,23.0,8.1,4.0,0.39,15.0
11,1,7.6,13.5,20.0,9.4,4.0,0.41,11.0
11,2,7.6,13.3,18.3,7.5,2.0,0.24,3.0
11,3,4.5,10.1,16.5,6.8,3.0,0.34,9.0
12,1,2.1,8.3,15.3,6.4,2.0,0.24,4.0
12,2,3.5,8.9,15.9,6.0,2.0,0.24,5.0
12,3,2.0,8.8,17.1,4.6,0.0,0.01,0.0
