m,m3,coco,coco_pct
3,1,25.0,0.0
9,3,27.0,0.0
12,2,23.0,0.0
4,2,23.0,0.0
6,1,17.0,0.013
1,2,25.0,0.0
9,3,2.0,0.561
9,1,5.0,0.013
5,1,12.0,0.0
5,2,23.0,0.0
11,3,23.0,0.0
6,1,2.0,0.554
7,2,27.0,0.0
6,1,5.0,0.046
5,3,7.0,0.047
6,3,3.0,0.098
1,1,4.0,0.026
5,3,14.0,0.0
1,2,14.0,0.0
1,2,17.0,0.0
10,2,9.0,0.004
12,2,2.0,0.4
2,3,18.0,0.001
2,1,26.0,0.0
12,1,26.0,0.0
10,2,8.0,0.02
2,2,4.0,0.046
1,3,23.0,0.0
5,3,2.0,0.627
8,1,26.0,0.0
10,2,14.0,0.0
1,2,23.0,0.0
9,2,12.0,0.0
12,2,8.0,0.018
12,3,2.0,0.512
2,3,17.0,0.0
8,3,12.0,0.0
1,1,26.0,0.0
12,3,14.0,0.0
12,3,7.0,0.0
4,1,3.0,0.155
9,2,1.0,0.147
4,2,4.0,0.052
8,2,14.0,0.0
8,1,1.0,0.336
5,2,18.0,0.009
5,2,27.0,0.0
3,1,7.0,0.052
1,3,1.0,0.264
10,2,26.0,0.0
3,3,5.0,0.04
2,3,3.0,0.177
6,2,25.0,0.007
1,2,2.0,0.419
7,3,7.0,0.012
7,2,14.0,0.0
7,3,25.0,0.008
3,2,23.0,0.0
5,1,3.0,0.153
2,3,8.0,0.004
7,1,8.0,0.002
7,3,17.0,0.0
10,1,23.0,0.0
11,1,3.0,0.209
3,3,1.0,0.166
2,1,27.0,0.0
8,1,25.0,0.006
11,1,18.0,0.001
11,3,26.0,0.0
11,1,4.0,0.045
7,1,26.0,0.0
10,2,18.0,0.003
6,2,1.0,0.196
5,2,5.0,0.039
7,1,1.0,0.351
7,3,27.0,0.001
12,3,12.0,0.0
10,3,26.0,0.0
6,1,18.0,0.004
3,3,9.0,0.001
12,3,5.0,0.092
3,3,27.0,0.0
6,1,23.0,0.0
2,3,25.0,0.001
10,1,9.0,0.008
5,1,25.0,0.012
6,1,4.0,0.024
7,2,23.0,0.0
8,2,1.0,0.263
8,1,8.0,0.001
10,3,27.0,0.001
12,2,9.0,0.001
6,2,8.0,0.022
1,2,27.0,0.0
7,1,14.0,0.0
3,1,17.0,0.004
2,2,2.0,0.365
6,1,14.0,0.0
11,1,2.0,0.495
11,1,27.0,0.0
5,1,2.0,0.546
1,1,9.0,0.0
6,3,4.0,0.016
2,3,2.0,0.369
3,2,8.0,0.015
2,2,14.0,0.0
10,3,12.0,0.0
1,1,7.0,0.041
9,2,5.0,0.011
8,3,1.0,0.201
12,2,27.0,0.0
11,1,14.0,0.0
3,3,12.0,0.0
5,2,9.0,0.002
4,2,3.0,0.199
10,2,3.0,0.215
11,3,12.0,0.0
5,1,5.0,0.059
11,2,1.0,0.103
10,3,3.0,0.178
2,3,9.0,0.0
8,3,4.0,0.017
12,1,18.0,0.001
8,3,3.0,0.094
12,2,12.0,0.0
4,2,26.0,0.0
3,1,27.0,0.0
9,1,27.0,0.0
7,2,5.0,0.003
12,2,25.0,0.0
11,2,7.0,0.058
10,3,14.0,0.0
8,2,4.0,0.016
8,3,7.0,0.026
8,3,2.0,0.629
2,1,14.0,0.001
9,1,17.0,0.002
10,2,17.0,0.007
8,2,12.0,0.0
4,2,18.0,0.005
9,1,8.0,0.018
10,3,2.0,0.491
6,2,27.0,0.001
10,2,4.0,0.033
10,3,25.0,0.005
8,2,27.0,0.0
9,1,14.0,0.0
9,3,17.0,0.0
8,1,18.0,0.005
4,2,27.0,0.0
4,3,18.0,0.007
7,3,2.0,0.487
4,3,26.0,0.0
11,1,9.0,0.001
3,3,4.0,0.042
6,1,25.0,0.009
2,2,23.0,0.0
8,1,3.0,0.098
2,3,26.0,0.0
6,2,4.0,0.016
10,3,23.0,0.0
3,3,17.0,0.001
7,2,25.0,0.004
6,2,12.0,0.0
6,2,2.0,0.539
8,3,23.0,0.0
7,1,17.0,0.001
11,2,2.0,0.478
8,2,3.0,0.084
7,1,4.0,0.017
7,3,9.0,0.001
7,3,5.0,0.004
8,1,17.0,0.001
1,1,2.0,0.392
9,3,4.0,0.026
2,2,17.0,0.0
12,1,8.0,0.01
1,3,25.0,0.005
12,1,3.0,0.164
11,2,23.0,0.0
10,1,5.0,0.04
11,1,17.0,0.002
1,1,12.0,0.0
6,3,1.0,0.281
9,2,4.0,0.014
5,3,9.0,0.0
8,3,14.0,0.0
1,3,18.0,0.001
11,2,25.0,0.007
7,1,3.0,0.116
9,1,3.0,0.214
4,2,25.0,0.002
10,1,14.0,0.0
9,1,9.0,0.001
9,1,26.0,0.0
9,1,7.0,0.031
3,1,1.0,0.069
11,3,9.0,0.002
11,3,14.0,0.0
5,1,8.0,0.014
6,2,17.0,0.011
7,1,7.0,0.019
9,2,7.0,0.042
3,1,4.0,0.04
9,3,14.0,0.0
9,3,1.0,0.167
9,2,8.0,0.011
12,1,5.0,0.095
3,2,4.0,0.084
11,3,18.0,0.002
4,2,14.0,0.0
3,2,25.0,0.002
3,2,26.0,0.0
10,1,8.0,0.023
8,3,18.0,0.004
9,1,23.0,0.0
6,3,5.0,0.008
4,3,17.0,0.001
2,1,1.0,0.255
11,1,8.0,0.016
5,3,18.0,0.001
2,1,4.0,0.021
7,3,1.0,0.412
10,2,7.0,0.069
5,3,4.0,0.02
3,2,27.0,0.0
2,2,9.0,0.0
8,3,17.0,0.003
5,3,3.0,0.166
3,2,9.0,0.007
5,2,17.0,0.003
1,3,2.0,0.468
5,1,1.0,0.118
7,1,25.0,0.008
1,2,3.0,0.117
9,3,8.0,0.015
9,2,3.0,0.169
2,1,2.0,0.417
4,1,1.0,0.16
2,1,23.0,0.0
6,1,26.0,0.001
2,1,17.0,0.001
1,1,25.0,0.0
5,2,14.0,0.0
11,3,8.0,0.03
1,1,17.0,0.001
2,2,3.0,0.176
9,3,25.0,0.005
1,3,27.0,0.0
3,3,18.0,0.001
4,2,5.0,0.047
8,1,4.0,0.008
6,1,3.0,0.181
3,2,2.0,0.491
8,1,12.0,0.0
4,2,1.0,0.183
12,2,17.0,0.0
3,3,23.0,0.0
6,1,27.0,0.001
2,1,18.0,0.0
8,3,9.0,0.005
7,1,18.0,0.003
1,2,5.0,0.047
4,1,9.0,0.001
4,1,8.0,0.014
3,1,8.0,0.008
6,3,8.0,0.004
7,3,26.0,0.001
12,3,27.0,0.0
12,1,25.0,0.0
11,1,5.0,0.055
5,2,4.0,0.029
1,3,7.0,0.023
4,1,5.0,0.054
4,2,12.0,0.0
10,2,5.0,0.069
6,2,7.0,0.044
10,1,26.0,0.001
4,3,4.0,0.058
2,3,14.0,0.008
1,2,9.0,0.0
12,2,18.0,0.0
12,1,12.0,0.0
1,1,18.0,0.0
10,3,4.0,0.029
3,2,17.0,0.001
8,1,14.0,0.0
10,3,18.0,0.004
2,3,27.0,0.0
7,3,12.0,0.0
6,2,26.0,0.0
7,3,23.0,0.0
9,2,9.0,0.001
9,3,5.0,0.018
4,1,27.0,0.0
8,3,25.0,0.002
12,3,9.0,0.0
6,2,23.0,0.0
2,3,5.0,0.113
5,3,23.0,0.0
7,2,7.0,0.003
4,2,7.0,0.058
8,3,5.0,0.007
7,2,2.0,0.483
4,3,5.0,0.051
10,1,18.0,0.003
5,2,1.0,0.149
1,3,5.0,0.103
9,3,26.0,0.001
3,3,2.0,0.438
9,2,18.0,0.011
2,2,8.0,0.004
8,3,27.0,0.0
12,1,2.0,0.585
1,1,14.0,0.0
5,1,4.0,0.031
3,1,23.0,0.0
4,3,12.0,0.0
3,1,12.0,0.0
9,2,17.0,0.0
8,2,18.0,0.004
4,1,4.0,0.038
12,2,3.0,0.176
1,3,9.0,0.001
12,2,26.0,0.0
11,2,5.0,0.084
8,2,17.0,0.001
3,1,26.0,0.0
10,1,1.0,0.182
10,3,9.0,0.011
4,3,14.0,0.0
11,1,26.0,0.0
7,2,9.0,0.0
1,3,17.0,0.0
6,2,5.0,0.03
7,3,4.0,0.007
5,1,7.0,0.05
6,3,2.0,0.581
3,2,14.0,0.0
5,2,2.0,0.462
2,2,5.0,0.197
5,3,1.0,0.106
11,2,26.0,0.0
12,1,27.0,0.0
12,3,4.0,0.016
2,1,8.0,0.013
11,3,7.0,0.051
2,2,7.0,0.023
10,3,7.0,0.055
12,3,25.0,0.0
6,3,17.0,0.0
5,3,26.0,0.0
11,1,7.0,0.045
1,2,18.0,0.001
11,2,3.0,0.219
7,1,27.0,0.0
6,3,25.0,0.002
11,2,12.0,0.0
8,2,7.0,0.014
3,1,5.0,0.062
8,2,26.0,0.001
1,2,12.0,0.0
12,2,1.0,0.224
4,1,17.0,0.0
7,2,3.0,0.069
8,1,23.0,0.001
8,2,8.0,0.004
1,2,7.0,0.037
2,2,18.0,0.001
4,3,25.0,0.001
3,1,14.0,0.0
2,1,3.0,0.145
3,3,14.0,0.0
3,3,3.0,0.223
5,3,17.0,0.001
10,3,17.0,0.001
10,2,1.0,0.133
5,2,8.0,0.021
6,1,8.0,0.017
12,1,23.0,0.0
3,3,7.0,0.079
11,1,25.0,0.001
5,1,26.0,0.0
8,3,8.0,0.013
1,1,1.0,0.26
12,2,7.0,0.035
9,3,3.0,0.168
12,3,18.0,0.0
2,3,12.0,0.0
3,3,26.0,0.0
6,1,7.0,0.053
4,3,7.0,0.087
5,2,25.0,0.003
1,3,12.0,0.0
10,1,25.0,0.002
5,3,27.0,0.001
9,2,23.0,0.0
1,3,3.0,0.11
10,2,25.0,0.002
11,1,1.0,0.132
3,2,12.0,0.0
12,1,14.0,0.0
8,1,5.0,0.005
6,3,23.0,0.0
10,3,8.0,0.019
5,2,3.0,0.234
1,2,8.0,0.011
7,3,8.0,0.004
4,2,8.0,0.03
12,1,17.0,0.001
11,2,8.0,0.018
7,3,3.0,0.054
9,3,18.0,0.006
7,1,2.0,0.474
12,3,8.0,0.0
3,3,25.0,0.001
3,1,18.0,0.0
10,1,27.0,0.001
6,1,1.0,0.096
11,3,17.0,0.0
12,3,26.0,0.0
8,1,27.0,0.001
10,1,12.0,0.0
5,1,23.0,0.0
8,2,5.0,0.007
11,3,4.0,0.025
11,3,27.0,0.0
11,1,23.0,0.0
8,3,26.0,0.0
5,1,14.0,0.0
1,1,23.0,0.0
3,2,1.0,0.092
1,3,8.0,0.012
9,1,25.0,0.011
9,2,2.0,0.593
3,1,3.0,0.209
12,1,1.0,0.084
10,3,1.0,0.1
2,1,7.0,0.042
3,3,8.0,0.009
4,2,17.0,0.001
6,2,14.0,0.0
2,2,12.0,0.001
4,1,18.0,0.004
4,3,2.0,0.449
2,1,25.0,0.0
12,2,4.0,0.029
5,1,27.0,0.002
6,2,18.0,0.011
2,3,23.0,0.0
11,3,3.0,0.207
12,3,17.0,0.0
10,2,27.0,0.0
6,3,12.0,0.0
2,3,4.0,0.034
1,3,4.0,0.014
9,3,9.0,0.003
4,3,9.0,0.005
5,2,26.0,0.0
3,2,5.0,0.066
7,3,14.0,0.0
4,1,2.0,0.517
4,3,3.0,0.254
5,2,12.0,0.0
2,2,26.0,0.0
4,2,9.0,0.001
9,1,2.0,0.517
6,2,3.0,0.123
3,2,7.0,0.044
11,2,9.0,0.0
5,1,18.0,0.009
3,1,2.0,0.552
1,2,4.0,0.028
9,3,12.0,0.0
9,2,27.0,0.0
3,1,9.0,0.005
11,2,17.0,0.0
6,2,9.0,0.0
11,2,18.0,0.0
4,1,26.0,0.0
7,2,8.0,0.001
9,1,4.0,0.024
9,2,14.0,0.0
7,2,18.0,0.001
5,1,17.0,0.003
2,1,5.0,0.1
6,3,9.0,0.0
2,2,27.0,0.0
10,2,12.0,0.0
6,3,18.0,0.005
5,3,12.0,0.0
5,3,5.0,0.021
9,1,12.0,0.0
12,3,3.0,0.115
4,1,14.0,0.0
7,2,17.0,0.001
6,3,7.0,0.005
2,2,25.0,0.0
9,2,26.0,0.0
6,1,9.0,0.0
8,2,25.0,0.004
10,2,2.0,0.447
9,1,1.0,0.162
7,2,12.0,0.0
7,2,4.0,0.01
1,2,26.0,0.0
1,3,14.0,0.0
6,1,12.0,0.0
12,3,23.0,0.0
8,2,9.0,0.0
4,3,27.0,0.0
10,2,23.0,0.0
4,2,2.0,0.421
12,1,9.0,0.0
10,1,17.0,0.002
10,1,7.0,0.051
10,1,3.0,0.194
12,1,7.0,0.042
10,1,4.0,0.042
4,3,1.0,0.054
6,3,14.0,0.0
4,1,12.0,0.0
1,1,3.0,0.176
2,2,1.0,0.188
7,2,1.0,0.424
