m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,1.0,5.9,3.9,87.0,9.9,0.06
1,1,1.1,5.4,3.4,88.0,9.7,0.06
1,2,0.4,5.2,3.1,88.0,9.7,0.06
1,3,0.0,5.2,2.9,88.5,9.4,0.06
1,4,0.0,4.8,2.7,88.5,9.4,0.08
1,5,-1.1,6.0,2.7,87.5,9.2,0.06
1,6,-0.8,6.0,2.6,86.0,10.1,0.06
1,7,-0.8,6.0,2.7,88.0,10.1,0.06
1,8,-0.5,6.0,2.7,86.5,10.1,0.1
1,9,1.6,7.0,4.6,81.0,10.8,0.09
1,10,3.5,9.0,6.4,76.5,10.6,0.09
1,11,5.2,10.0,7.6,70.0,11.2,0.07
1,12,6.3,11.1,8.5,66.0,11.9,0.09
1,13,7.2,12.3,9.7,61.5,11.9,0.1
1,14,7.7,13.2,10.4,60.0,11.7,0.12
1,15,7.9,13.8,10.7,58.5,11.9,0.14
1,16,7.7,13.0,10.1,61.5,11.2,0.1
1,17,6.2,11.0,8.4,68.5,9.9,0.09
1,18,5.2,9.7,7.4,73.5,9.9,0.08
1,19,4.0,9.0,6.5,77.5,10.7,0.09
1,20,3.4,8.4,5.7,79.5,10.6,0.08
1,21,2.9,7.6,5.4,82.5,10.5,0.08
1,22,1.8,6.4,4.4,84.5,10.8,0.09
1,23,1.8,5.9,4.2,86.5,10.8,0.06
2,0,4.9,7.1,5.9,81.5,10.1,0.05
2,1,4.2,6.5,5.6,83.5,9.6,0.07
2,2,3.8,6.3,5.1,85.5,9.0,0.06
2,3,3.3,6.0,4.6,86.0,9.2,0.05
2,4,2.8,5.6,4.3,87.5,9.0,0.05
2,5,2.0,6.7,4.1,86.0,9.0,0.07
2,6,2.2,6.0,4.1,84.5,7.9,0.08
2,7,1.9,6.0,3.9,86.0,8.1,0.09
2,8,3.1,7.1,4.9,82.5,8.3,0.08
2,9,5.3,8.9,6.8,76.0,8.0,0.06
2,10,7.1,10.3,8.9,68.5,8.3,0.06
2,11,8.9,12.1,10.6,61.5,8.7,0.08
2,12,9.7,13.6,11.9,55.0,9.4,0.1
2,13,10.7,15.0,13.1,49.0,9.2,0.1
2,14,11.5,15.9,14.1,47.0,10.8,0.08
2,15,11.8,16.0,14.1,44.5,11.9,0.09
2,16,11.2,16.1,14.1,47.0,11.6,0.08
2,17,10.3,15.2,12.9,55.5,10.1,0.06
2,18,8.7,12.9,11.1,62.0,9.2,0.08
2,19,7.4,11.9,9.6,66.0,9.2,0.08
2,20,6.9,10.4,8.5,71.5,10.5,0.1
2,21,6.4,9.0,7.8,75.0,10.8,0.06
2,22,5.9,8.5,7.2,76.0,10.3,0.06
2,23,5.4,7.6,6.5,79.0,10.3,0.06
3,0,7.0,8.7,8.1,75.5,11.7,0.11
3,1,6.4,8.4,7.6,78.5,10.8,0.14
3,2,6.0,8.3,7.2,80.5,11.3,0.14
3,3,5.6,7.7,6.7,82.0,10.8,0.16
3,4,5.4,7.5,6.5,82.0,11.3,0.13
3,5,4.0,7.8,6.0,79.0,11.2,0.14
3,6,4.1,8.2,6.1,79.5,11.4,0.16
3,7,4.1,8.7,6.5,80.5,11.9,0.14
3,8,6.0,10.0,8.0,73.0,11.6,0.15
3,9,7.2,12.0,9.6,68.0,12.5,0.15
