m,m3,coco,coco_pct
9,2,17.0,0.034
1,2,7.0,0.035
1,2,3.0,0.438
10,3,1.0,0.068
1,2,17.0,0.011
11,1,1.0,0.232
12,2,7.0,0.065
9,3,15.0,0.0
10,1,8.0,0.013
5,2,3.0,0.42
9,1,17.0,0.013
12,1,5.0,0.142
6,1,8.0,0.051
8,1,2.0,0.097
5,3,16.0,0.0
5,2,2.0,0.167
3,1,26.0,0.0
4,2,3.0,0.285
12,3,19.0,0.0
4,3,14.0,0.0
8,2,3.0,0.146
7,1,1.0,0.71
2,3,9.0,0.006
7,3,26.0,0.0
4,2,25.0,0.006
8,3,26.0,0.001
1,3,9.0,0.007
8,1,12.0,0.0
7,1,8.0,0.0
4,3,8.0,0.022
11,3,25.0,0.0
11,2,5.0,0.166
3,2,5.0,0.08
12,1,15.0,0.0
10,2,17.0,0.028
2,1,12.0,0.0
12,2,26.0,0.0
7,3,14.0,0.0
11,1,26.0,0.0
11,3,1.0,0.186
3,3,7.0,0.07
5,1,5.0,0.003
2,2,9.0,0.006
5,2,16.0,0.0
12,3,1.0,0.461
7,2,19.0,0.0
6,2,12.0,0.0
9,3,5.0,0.003
11,1,3.0,0.49
1,3,15.0,0.0
7,2,1.0,0.81
4,3,26.0,0.0
11,3,17.0,0.004
7,3,2.0,0.073
5,3,17.0,0.039
9,1,2.0,0.115
4,1,15.0,0.0
10,2,12.0,0.0
5,2,19.0,0.0
8,3,18.0,0.0
5,3,18.0,0.002
3,3,1.0,0.225
1,2,26.0,0.0
7,2,12.0,0.0
11,1,9.0,0.006
12,3,2.0,0.057
7,2,9.0,0.0
1,2,2.0,0.059
6,3,2.0,0.122
3,2,2.0,0.111
8,2,9.0,0.004
5,1,25.0,0.004
4,2,16.0,0.0
6,3,7.0,0.01
5,2,15.0,0.0
8,3,2.0,0.139
8,3,9.0,0.008
8,1,17.0,0.003
10,3,19.0,0.0
3,2,15.0,0.0
8,2,2.0,0.125
9,1,15.0,0.0
2,2,7.0,0.007
5,3,12.0,0.0
6,2,5.0,0.0
7,1,3.0,0.16
11,2,12.0,0.0
5,1,16.0,0.0
5,2,7.0,0.012
9,3,3.0,0.326
7,3,19.0,0.0
2,2,12.0,0.0
10,2,18.0,0.002
7,3,16.0,0.0
10,3,9.0,0.038
10,3,12.0,0.0
1,1,2.0,0.083
8,1,26.0,0.0
8,1,9.0,0.0
2,2,17.0,0.003
9,2,16.0,0.0
3,1,3.0,0.406
6,1,19.0,0.0
8,2,15.0,0.0
2,1,16.0,0.0
4,3,17.0,0.024
1,2,16.0,0.0
10,1,25.0,0.0
5,3,7.0,0.039
11,2,18.0,0.003
9,3,25.0,0.0
12,2,2.0,0.082
6,3,9.0,0.011
2,3,16.0,0.0
3,2,3.0,0.504
8,1,16.0,0.0
7,2,7.0,0.0
4,2,8.0,0.02
10,3,26.0,0.0
6,2,14.0,0.0
8,2,26.0,0.0
6,1,9.0,0.042
4,1,19.0,0.0
9,2,8.0,0.028
2,1,25.0,0.0
2,1,9.0,0.008
1,3,12.0,0.0
6,2,15.0,0.0
12,3,12.0,0.0
9,2,3.0,0.352
3,1,16.0,0.0
9,2,15.0,0.0
3,1,7.0,0.095
9,2,19.0,0.0
2,1,2.0,0.076
12,3,16.0,0.0
3,2,8.0,0.027
9,1,14.0,0.0
3,1,8.0,0.121
1,3,17.0,0.004
3,3,26.0,0.0
4,2,18.0,0.0
8,3,17.0,0.006
12,3,3.0,0.246
8,2,1.0,0.705
2,1,17.0,0.006
2,3,14.0,0.0
9,1,12.0,0.0
4,2,12.0,0.0
11,3,2.0,0.106
8,2,16.0,0.0
11,1,19.0,0.0
7,3,7.0,0.001
10,2,26.0,0.0
4,1,16.0,0.0
11,3,16.0,0.0
4,3,7.0,0.024
10,3,5.0,0.043
2,2,25.0,0.0
1,1,16.0,0.0
2,1,18.0,0.0
8,3,16.0,0.0
3,1,15.0,0.0
2,2,1.0,0.27
5,2,26.0,0.0
8,1,25.0,0.005
9,2,9.0,0.019
1,3,7.0,0.06
3,1,2.0,0.044
5,1,17.0,0.008
2,1,26.0,0.0
2,2,26.0,0.0
11,2,25.0,0.0
12,3,17.0,0.0
4,2,17.0,0.003
9,2,26.0,0.001
3,3,2.0,0.07
12,3,18.0,0.0
4,1,5.0,0.011
3,1,9.0,0.077
12,3,25.0,0.0
7,1,9.0,0.001
7,2,5.0,0.0
11,3,3.0,0.481
2,3,25.0,0.0
1,2,25.0,0.0
1,2,14.0,0.0
10,1,7.0,0.018
1,3,3.0,0.392
3,1,25.0,0.001
6,1,14.0,0.0
8,1,19.0,0.0
9,1,16.0,0.0
5,2,9.0,0.003
8,1,5.0,0.0
7,3,25.0,0.002
7,3,3.0,0.109
10,1,14.0,0.0
