m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,7.0,10.9,18.5,0.0,14.4,0.14
1,1,2,6.6,11.4,18.9,0.0,14.1,0.14
1,1,3,7.5,11.8,18.1,0.0,14.6,0.0
1,1,4,9.3,12.9,18.2,0.2,13.9,0.29
1,1,5,6.9,11.2,16.6,0.8,17.0,0.29
1,1,6,8.6,11.8,16.0,6.2,14.9,0.29
1,1,7,6.3,10.8,17.9,1.7,13.6,0.29
1,1,8,7.2,10.9,17.9,0.0,13.0,0.14
1,1,9,9.2,13.1,18.1,0.7,16.1,0.29
1,1,10,10.8,14.7,19.3,0.0,24.0,0.14
1,2,11,9.1,12.8,17.2,0.0,22.0,0.14
1,2,12,7.8,11.5,17.2,0.0,16.0,0.14
1,2,13,5.1,10.6,16.7,0.0,12.5,0.0
1,2,14,7.8,12.5,17.2,0.0,20.2,0.14
1,2,15,6.7,12.7,18.2,0.0,16.2,0.0
1,2,16,7.8,12.2,17.2,0.0,17.7,0.14
1,2,17,8.2,12.5,19.1,0.2,13.4,0.29
1,2,18,7.0,10.9,16.3,0.3,13.9,0.29
1,2,19,7.3,11.3,16.0,1.4,16.4,0.29
1,2,20,7.8,11.5,15.0,5.2,14.2,0.71
1,3,21,8.8,12.3,17.4,0.1,15.7,0.29
1,3,22,8.6,12.6,18.0,0.0,13.2,0.14
1,3,23,9.5,12.5,17.4,0.0,15.1,0.14
1,3,24,9.8,14.0,17.6,5.4,15.3,0.43
1,3,25,9.3,13.8,18.8,0.9,13.5,0.43
1,3,26,9.6,13.4,19.5,0.0,16.3,0.14
1,3,27,11.4,15.2,18.5,0.0,19.5,0.14
1,3,28,9.4,13.8,18.8,0.0,19.3,0.0
1,3,29,9.7,14.4,19.5,0.0,17.4,0.14
1,3,30,10.6,14.2,19.5,0.0,14.8,0.14
1,3,31,9.1,14.2,20.4,0.2,15.8,0.29
2,1,1,11.1,15.4,19.3,0.0,18.8,0.14
2,1,2,7.4,12.6,18.8,0.0,20.1,0.0
2,1,3,8.5,12.5,20.1,0.0,17.4,0.0
2,1,4,7.6,11.5,17.5,0.0,12.2,0.14
2,1,5,6.3,11.6,18.3,0.0,13.1,0.14
2,1,6,7.5,12.7,18.2,0.0,15.2,0.14
2,1,7,9.2,13.3,18.2,0.2,15.4,0.29
2,1,8,7.7,12.7,17.2,1.1,13.5,0.43
2,1,9,9.1,12.7,17.7,0.0,15.3,0.14
2,1,10,9.8,13.2,19.0,0.0,18.6,0.0
2,2,11,10.2,14.5,19.2,0.0,16.7,0.0
2,2,12,11.2,15.1,19.7,0.0,15.0,0.0
2,2,13,10.3,15.3,19.6,0.0,16.5,0.0
2,2,14,9.9,14.1,19.0,0.0,14.6,0.0
2,2,15,10.2,14.1,18.9,0.0,15.3,0.14
2,2,16,8.6,13.6,18.7,0.0,16.2,0.0
2,2,17,9.8,14.8,20.1,0.0,16.4,0.14
2,2,18,9.1,13.8,18.8,0.4,11.1,0.29
2,2,19,11.5,13.9,18.5,0.0,11.2,0.0
2,2,20,10.3,14.0,19.5,0.0,11.6,0.0
2,3,21,11.0,14.2,18.4,0.0,12.3,0.14
2,3,22,9.0,13.7,20.0,0.0,12.6,0.14
2,3,23,7.4,13.5,19.0,0.0,14.1,0.14
2,3,24,10.1,13.5,18.0,0.6,17.0,0.43
2,3,25,10.4,14.0,19.9,0.0,14.8,0.0
2,3,26,10.5,13.6,18.1,1.0,18.4,0.29
2,3,27,12.0,14.0,19.0,0.0,19.9,0.0
2,3,28,10.2,13.8,18.4,0.7,15.2,0.29
2,3,29,7.7,15.2,23.0,0.0,18.8,0.0
3,1,1,9.5,14.2,21.0,0.0,14.2,0.14
3,1,2,10.0,15.5,21.8,0.1,15.6,0.29
3,1,3,10.7,14.8,20.2,0.8,16.5,0.29
3,1,4,11.3,15.5,20.6,0.0,20.0,0.14
3,1,5,10.9,15.2,20.0,0.2,15.9,0.43
3,1,6,9.5,13.9,19.7,2.5,11.8,0.57
3,1,7,10.9,13.9,19.4,6.1,14.0,0.43
3,1,8,8.6,13.6,20.1,0.1,11.4,0.29
3,1,9,10.8,15.9,21.4,0.2,13.5,0.29
3,1,10,10.3,15.2,20.8,0.0,13.9,0.14
3,2,11,9.6,14.7,20.4,1.3,14.5,0.29
3,2,12,11.1,16.8,22.4,0.0,15.1,0.0
3,2,13,11.3,16.7,21.8,0.0,13.9,0.14
3,2,14,11.3,15.4,20.8,3.1,15.7,0.29
3,2,15,9.8,14.4,19.9,1.2,12.1,0.43
3,2,16,9.4,14.2,20.4,0.1,13.9,0.29
3,2,17,10.4,15.4,21.4,0.2,14.9,0.29
3,2,18,12.8,15.4,20.4,1.1,15.6,0.29
3,2,19,13.3,16.0,21.3,0.9,14.8,0.29
3,2,20,11.4,14.1,18.1,4.5,17.7,0.57
3,3,21,9.6,13.0,18.2,0.2,14.7,0.29
3,3,22,10.3,13.9,21.0,0.4,13.6,0.29
3,3,23,11.6,14.4,19.3,15.1,15.4,0.43
3,3,24,11.9,16.2,21.3,4.0,17.0,0.57
3,3,25,11.7,14.3,18.4,4.3,12.9,0.43
3,3,26,10.2,15.0,21.2,0.0,15.2,0.14
3,3,27,12.7,15.6,20.6,1.1,16.2,0.29
3,3,28,12.1,15.6,19.6,0.5,16.5,0.43
3,3,29,11.8,16.1,20.3,0.2,13.8,0.29
3,3,30,11.6,15.0,20.4,10.3,12.1,0.57
3,3,31,12.0,15.1,18.9,5.8,13.8,0.57
4,1,1,10.6,15.3,20.0,2.1,14.2,0.29
4,1,2,10.4,15.4,21.2,0.0,12.4,0.14
4,1,3,10.4,16.0,21.9,0.0,17.1,0.0
4,1,4,12.0,15.8,20.4,0.2,14.3,0.43
4,1,5,10.6,15.2,19.8,2.0,11.0,0.29
4,1,6,11.9,15.1,20.7,0.0,10.5,0.14
4,1,7,11.9,15.8,21.9,0.0,12.1,0.14
4,1,8,12.5,16.7,22.4,0.0,17.8,0.14
4,1,9,12.1,15.8,20.7,0.0,16.8,0.14
4,1,10,11.8,15.6,20.4,0.0,11.9,0.14
4,2,11,11.1,16.3,21.7,0.0,13.8,0.0
4,2,12,12.4,16.7,20.8,1.8,12.9,0.29
4,2,13,12.8,17.3,22.4,0.0,17.0,0.14
4,2,14,12.7,17.1,22.3,3.9,16.0,0.29
4,2,15,13.5,18.2,23.9,0.9,14.9,0.29
4,2,16,14.0,17.8,23.3,0.0,13.8,0.14
4,2,17,12.8,17.9,22.2,0.0,13.5,0.14
4,2,18,12.5,16.5,21.3,0.0,11.4,0.14
4,2,19,13.0,16.9,23.4,0.0,15.0,0.0
4,2,20,13.2,16.2,21.0,0.1,14.5,0.29
4,3,21,12.9,17.0,22.0,2.5,12.1,0.29
4,3,22,13.6,17.5,23.7,2.8,15.1,0.43
4,3,23,14.0,17.1,21.5,0.1,15.4,0.29
4,3,24,13.0,17.3,22.0,0.2,11.3,0.29
4,3,25,14.6,17.7,23.4,0.4,9.4,0.43
4,3,26,13.9,18.1,23.4,0.3,11.3,0.29
4,3,27,13.5,17.6,22.7,3.8,11.0,0.29
4,3,28,12.4,17.2,23.3,1.2,12.5,0.29
4,3,29,12.7,17.9,24.4,0.0,14.1,0.14
4,3,30,12.8,18.4,24.0,0.0,14.6,0.14
5,1,1,14.2,18.2,25.7,0.1,14.1,0.29
5,1,2,13.2,18.4,24.8,0.0,14.1,0.14
5,1,3,14.4,18.5,23.6,3.0,12.9,0.29
5,1,4,14.0,17.6,23.9,0.0,12.9,0.14
5,1,5,14.8,20.0,26.1,0.0,14.9,0.0
5,1,6,16.0,20.3,26.3,0.0,15.8,0.0
5,1,7,16.5,19.4,23.6,0.0,13.8,0.0
5,1,8,15.8,19.4,24.8,0.5,12.2,0.29
5,1,9,16.3,21.0,26.8,0.0,16.1,0.0
5,1,10,16.4,20.6,25.0,0.3,15.5,0.29
5,2,11,15.4,19.2,24.7,0.0,13.7,0.14
5,2,12,14.9,19.3,25.3,0.0,15.4,0.14
5,2,13,14.8,18.8,23.0,0.0,16.3,0.14
5,2,14,15.4,19.6,25.3,0.0,15.8,0.14
5,2,15,13.8,19.6,27.1,0.0,13.4,0.0
5,2,16,16.3,20.2,25.5,0.0,15.2,0.0
5,2,17,15.5,19.9,25.5,0.0,17.0,0.0
5,2,18,16.0,20.2,25.6,0.0,16.3,0.14
5,2,19,16.5,20.2,26.0,0.1,14.5,0.29
5,2,20,17.0,20.5,25.5,0.0,12.8,0.0
5,3,21,16.4,19.9,25.5,0.6,12.5,0.29
5,3,22,16.0,21.2,27.9,0.0,14.1,0.14
5,3,23,15.9,20.9,25.9,0.2,12.3,0.29
5,3,24,16.3,21.3,28.5,0.0,13.9,0.14
5,3,25,15.9,20.0,24.6,0.0,14.1,0.0
5,3,26,16.2,20.0,24.4,0.0,12.2,0.14
5,3,27,16.9,21.1,25.9,0.0,10.6,0.14
5,3,28,17.6,21.4,26.7,0.0,12.1,0.14
5,3,29,17.5,21.3,26.4,0.0,13.0,0.14
5,3,30,17.2,21.7,26.8,0.0,14.5,0.14
5,3,31,17.2,21.4,27.0,0.0,14.6,0.14
6,1,1,16.8,21.6,26.7,0.0,11.8,0.14
6,1,2,17.3,20.5,25.9,0.0,13.2,0.0
6,1,3,16.5,22.3,27.9,0.0,12.8,0.0
6,1,4,18.5,22.0,27.9,0.0,15.7,0.14
6,1,5,18.4,22.3,28.1,0.0,16.8,0.14
6,1,6,19.2,23.5,28.6,0.0,14.7,0.14
6,1,7,18.5,22.9,28.3,0.0,13.1,0.14
6,1,8,18.7,22.5,27.2,0.0,14.0,0.14
6,1,9,18.1,23.2,29.5,0.0,14.1,0.0
6,1,10,19.4,24.0,30.5,0.0,16.9,0.0
6,2,11,20.3,24.3,30.5,0.0,15.9,0.14
6,2,12,19.4,23.0,28.2,0.0,13.5,0.0
6,2,13,19.8,23.6,28.9,0.0,15.0,0.0
6,2,14,19.6,24.2,30.9,0.0,14.9,0.0
6,2,15,19.6,25.0,31.1,0.0,14.6,0.0
6,2,16,19.5,24.0,29.4,0.0,15.4,0.14
6,2,17,19.9,23.8,28.7,0.0,12.1,0.0
6,2,18,19.0,23.3,29.4,0.0,12.5,0.14
6,2,19,20.2,24.8,31.1,0.0,14.7,0.14
6,2,20,20.0,24.5,30.1,0.0,13.5,0.14
6,3,21,19.8,23.9,28.8,0.0,15.0,0.0
6,3,22,19.3,23.5,29.3,0.0,13.9,0.0
6,3,23,19.3,23.6,29.6,0.0,13.8,0.0
6,3,24,20.0,23.9,29.0,0.0,11.9,0.0
6,3,25,20.6,24.4,30.2,0.0,13.2,0.0
6,3,26,19.8,24.8,31.0,0.0,12.9,0.14
6,3,27,21.0,25.4,31.7,0.0,15.0,0.14
6,3,28,21.1,25.4,31.1,0.0,12.8,0.0
6,3,29,20.6,24.9,29.9,0.0,15.4,0.0
6,3,30,20.3,24.6,31.3,0.0,13.0,0.0
7,1,1,20.6,25.4,32.4,0.0,13.3,0.0
7,1,2,21.3,24.8,31.1,0.0,14.0,0.14
7,1,3,21.8,25.6,30.7,0.0,15.0,0.0
7,1,4,21.6,26.2,33.1,0.0,13.9,0.0
7,1,5,22.2,26.2,32.1,0.0,15.0,0.0
7,1,6,22.2,25.3,31.6,0.0,14.8,0.0
7,1,7,22.3,25.9,32.1,0.0,15.7,0.0
7,1,8,22.2,26.2,31.5,0.0,13.6,0.0
7,1,9,21.5,25.1,30.7,0.0,12.6,0.0
7,1,10,20.6,25.1,30.7,0.0,11.5,0.0
7,2,11,23.0,26.1,31.9,0.0,11.5,0.0
7,2,12,22.7,28.8,35.4,0.0,14.5,0.0
7,2,13,22.1,27.0,32.8,0.0,15.1,0.0
7,2,14,22.5,25.9,30.7,0.0,12.2,0.0
7,2,15,22.5,27.9,34.2,0.0,14.9,0.0
7,2,16,21.4,26.2,32.2,0.0,16.0,0.0
7,2,17,21.5,25.7,31.2,0.0,11.6,0.0
7,2,18,22.4,25.9,31.5,0.0,11.7,0.0
7,2,19,22.3,26.4,31.5,0.0,12.5,0.0
7,2,20,22.3,27.7,34.1,0.0,14.1,0.0
7,3,21,24.8,29.1,34.5,0.0,15.4,0.14
7,3,22,21.9,26.0,31.4,0.0,12.2,0.0
7,3,23,23.1,26.2,31.0,0.0,12.2,0.0
7,3,24,22.8,28.3,36.0,0.0,14.1,0.0
7,3,25,24.7,28.6,34.6,0.0,14.4,0.0
7,3,26,22.7,26.9,33.3,0.0,14.7,0.0
7,3,27,22.5,26.1,31.0,0.0,12.1,0.0
7,3,28,22.0,25.8,30.7,0.0,13.6,0.14
7,3,29,23.3,26.1,31.6,0.0,12.2,0.0
7,3,30,23.2,26.7,32.0,0.0,13.7,0.0
7,3,31,22.5,27.0,32.3,0.0,11.8,0.0
8,1,1,23.9,29.0,36.9,0.0,13.6,0.0
8,1,2,26.0,29.6,35.7,0.0,16.1,0.0
8,1,3,23.6,27.9,34.6,0.0,15.5,0.0
8,1,4,23.6,26.7,31.8,0.0,11.8,0.0
8,1,5,22.5,26.4,32.0,0.0,12.5,0.0
8,1,6,22.2,26.7,33.3,0.0,11.8,0.0
8,1,7,23.2,29.2,35.3,0.0,14.4,0.0
8,1,8,23.1,26.8,32.1,0.0,14.8,0.14
8,1,9,23.2,27.4,33.0,0.0,11.5,0.0
8,1,10,24.2,27.3,32.1,0.0,11.9,0.14
8,2,11,24.7,27.6,32.5,0.0,12.3,0.0
8,2,12,23.7,27.1,32.0,0.0,11.8,0.0
8,2,13,23.5,28.1,35.0,0.0,12.3,0.0
8,2,14,24.0,27.9,34.2,0.0,15.8,0.0
8,2,15,23.8,27.0,32.6,0.0,11.5,0.14
8,2,16,24.2,27.5,33.2,0.0,15.4,0.0
8,2,17,23.1,27.3,32.7,0.0,15.9,0.0
8,2,18,23.1,26.3,34.2,0.0,14.7,0.0
8,2,19,23.2,27.1,33.0,0.0,14.3,0.0
8,2,20,22.3,25.8,30.8,0.0,11.0,0.0
8,3,21,22.3,26.0,31.1,0.0,11.2,0.0
8,3,22,22.4,26.6,30.7,0.0,12.6,0.0
8,3,23,22.6,26.2,30.9,0.0,11.2,0.0
8,3,24,23.0,25.7,31.7,0.0,11.6,0.0
8,3,25,23.0,25.9,32.0,0.0,11.3,0.14
