m,coco,coco_pct
10,7.0,0.031
5,1.0,0.422
1,8.0,0.016
5,3.0,0.074
2,21.0,0.0
2,18.0,0.0
5,8.0,0.006
3,23.0,0.0
4,9.0,0.006
4,1.0,0.259
11,1.0,0.251
1,3.0,0.179
7,25.0,0.0
2,7.0,0.021
5,17.0,0.001
4,7.0,0.047
10,21.0,0.0
3,21.0,0.0
5,2.0,0.453
8,18.0,0.001
6,26.0,0.0
8,4.0,0.01
1,23.0,0.0
8,9.0,0.0
2,4.0,0.038
12,2.0,0.445
10,17.0,0.003
5,7.0,0.022
4,3.0,0.178
7,23.0,0.0
8,25.0,0.001
12,7.0,0.042
10,3.0,0.142
9,9.0,0.001
6,7.0,0.012
8,5.0,0.005
3,3.0,0.17
7,1.0,0.791
3,26.0,0.0
9,8.0,0.004
4,17.0,0.004
10,25.0,0.005
9,23.0,0.0
8,26.0,0.0
1,17.0,0.003
10,18.0,0.002
6,8.0,0.001
3,5.0,0.013
5,18.0,0.002
2,23.0,0.0
10,5.0,0.009
2,8.0,0.007
11,7.0,0.036
9,2.0,0.459
6,3.0,0.054
12,17.0,0.001
10,23.0,0.0
7,8.0,0.0
9,4.0,0.023
10,9.0,0.005
6,17.0,0.0
7,4.0,0.008
2,3.0,0.171
12,8.0,0.014
3,1.0,0.251
9,21.0,0.0
4,4.0,0.035
6,1.0,0.583
9,5.0,0.007
4,26.0,0.0
8,2.0,0.275
12,23.0,0.0
1,21.0,0.0
2,2.0,0.427
1,7.0,0.035
2,25.0,0.0
5,26.0,0.0
7,18.0,0.0
3,7.0,0.076
10,1.0,0.282
3,25.0,0.001
8,3.0,0.054
4,23.0,0.0
10,2.0,0.481
7,5.0,0.006
11,3.0,0.145
8,23.0,0.0
7,2.0,0.161
12,4.0,0.032
9,26.0,0.0
4,2.0,0.446
12,9.0,0.005
5,25.0,0.001
6,23.0,0.0
11,21.0,0.0
3,4.0,0.04
10,8.0,0.015
12,18.0,0.001
6,25.0,0.001
5,4.0,0.012
1,26.0,0.001
11,2.0,0.493
12,25.0,0.0
6,9.0,0.0
5,9.0,0.002
1,1.0,0.278
9,18.0,0.0
5,5.0,0.005
7,3.0,0.034
11,18.0,0.001
9,3.0,0.124
12,26.0,0.0
4,21.0,0.0
11,8.0,0.01
3,18.0,0.001
4,5.0,0.006
11,23.0,0.0
1,18.0,0.001
2,17.0,0.001
3,9.0,0.017
7,26.0,0.0
3,2.0,0.395
7,17.0,0.0
8,21.0,0.0
12,3.0,0.154
2,5.0,0.016
11,4.0,0.03
7,21.0,0.0
6,21.0,0.0
11,25.0,0.0
2,9.0,0.006
6,2.0,0.336
1,5.0,0.021
3,17.0,0.004
1,2.0,0.427
12,21.0,0.0
6,4.0,0.007
10,4.0,0.024
5,21.0,0.0
12,5.0,0.024
8,1.0,0.653
11,26.0,0.0
9,25.0,0.002
2,26.0,0.0
1,9.0,0.002
5,23.0,0.0
7,7.0,0.0
4,25.0,0.002
4,18.0,0.002
9,7.0,0.019
9,17.0,0.0
1,25.0,0.001
12,1.0,0.283
11,9.0,0.008
8,8.0,0.0
11,5.0,0.023
8,7.0,0.0
6,5.0,0.004
1,4.0,0.037
7,9.0,0.0
3,8.0,0.033
11,17.0,0.004
4,8.0,0.015
9,1.0,0.36
2,1.0,0.312
8,17.0,0.0
10,26.0,0.0
6,18.0,0.001
