m,m3,coco,coco_pct
6,3,18.0,0.001
1,3,27.0,0.0
7,3,2.0,0.271
11,3,3.0,0.107
4,1,9.0,0.009
5,3,17.0,0.001
2,2,18.0,0.0
8,1,7.0,0.001
11,2,26.0,0.0
11,2,3.0,0.172
10,1,4.0,0.004
2,2,3.0,0.177
6,1,1.0,0.288
1,3,7.0,0.014
9,3,27.0,0.0
2,1,18.0,0.0
8,1,18.0,0.001
12,1,4.0,0.01
10,3,2.0,0.548
8,1,1.0,0.699
6,2,4.0,0.005
6,2,1.0,0.394
5,3,3.0,0.087
3,2,8.0,0.016
2,3,5.0,0.002
7,3,3.0,0.019
7,3,8.0,0.0
10,2,17.0,0.0
5,2,25.0,0.001
5,3,9.0,0.023
11,3,8.0,0.004
10,3,25.0,0.003
9,1,27.0,0.0
9,2,5.0,0.0
8,1,5.0,0.0
3,3,5.0,0.0
1,2,7.0,0.016
10,1,23.0,0.0
3,1,26.0,0.0
1,3,8.0,0.007
6,1,27.0,0.0
12,3,9.0,0.0
4,3,4.0,0.023
4,3,26.0,0.0
7,3,5.0,0.0
3,1,4.0,0.017
2,1,9.0,0.0
7,3,27.0,0.0
4,1,11.0,0.0
2,2,27.0,0.0
6,3,9.0,0.0
12,2,26.0,0.0
8,2,9.0,0.0
6,2,2.0,0.477
7,1,8.0,0.0
8,1,4.0,0.007
5,2,7.0,0.029
3,2,11.0,0.0
7,3,11.0,0.0
11,2,11.0,0.0
12,3,4.0,0.003
11,3,7.0,0.015
1,2,23.0,0.0
7,3,18.0,0.002
4,2,4.0,0.016
2,1,25.0,0.0
12,2,5.0,0.0
7,2,23.0,0.0
8,3,11.0,0.0
8,2,3.0,0.041
10,2,3.0,0.119
3,2,3.0,0.203
4,3,23.0,0.0
7,2,11.0,0.0
8,2,4.0,0.005
4,3,7.0,0.077
9,2,8.0,0.02
12,2,3.0,0.173
8,1,9.0,0.0
4,3,17.0,0.001
2,1,2.0,0.375
7,1,9.0,0.0
2,3,7.0,0.022
10,2,23.0,0.001
1,3,23.0,0.0
4,1,8.0,0.011
5,1,11.0,0.0
3,3,23.0,0.0
11,3,1.0,0.291
4,1,18.0,0.001
10,2,7.0,0.028
3,3,3.0,0.18
10,1,25.0,0.0
1,3,11.0,0.0
1,3,2.0,0.493
9,3,4.0,0.007
3,1,23.0,0.0
3,1,2.0,0.486
10,2,8.0,0.004
1,3,25.0,0.0
7,3,1.0,0.704
6,3,26.0,0.0
10,3,27.0,0.0
