m,m3,coco,coco_pct
7,1,23.0,0.0
1,3,18.0,0.0
9,2,2.0,0.564
5,3,26.0,0.0
9,1,17.0,0.001
1,2,4.0,0.012
1,1,18.0,0.0
4,1,23.0,0.0
5,3,5.0,0.002
10,2,3.0,0.119
8,1,1.0,0.699
12,2,9.0,0.0
3,2,8.0,0.016
7,2,3.0,0.016
9,2,8.0,0.02
10,1,27.0,0.0
8,3,11.0,0.0
1,2,26.0,0.0
5,3,18.0,0.002
12,3,2.0,0.386
5,2,8.0,0.005
10,1,18.0,0.001
11,3,5.0,0.0
6,2,23.0,0.0
7,2,18.0,0.0
12,3,23.0,0.0
11,2,26.0,0.0
5,1,11.0,0.0
3,2,25.0,0.0
4,2,11.0,0.0
10,1,25.0,0.0
6,3,17.0,0.0
1,2,7.0,0.016
2,1,5.0,0.004
4,2,25.0,0.002
4,1,26.0,0.0
6,3,18.0,0.001
11,3,3.0,0.107
10,2,9.0,0.002
8,1,7.0,0.001
4,3,2.0,0.435
7,3,26.0,0.0
12,3,3.0,0.102
7,1,27.0,0.0
12,2,4.0,0.008
3,1,11.0,0.0
7,1,8.0,0.0
1,3,8.0,0.007
11,1,5.0,0.0
11,3,7.0,0.015
10,1,17.0,0.0
1,3,1.0,0.277
10,1,9.0,0.0
11,1,11.0,0.0
4,2,7.0,0.083
10,2,26.0,0.001
9,3,18.0,0.0
11,3,8.0,0.004
3,1,23.0,0.0
7,1,5.0,0.0
1,2,3.0,0.11
2,1,2.0,0.405
1,2,11.0,0.0
7,3,18.0,0.002
10,3,5.0,0.003
9,3,17.0,0.001
11,2,3.0,0.172
4,3,26.0,0.0
2,3,17.0,0.0
4,1,25.0,0.0
8,2,23.0,0.0
12,3,8.0,0.0
6,2,9.0,0.0
1,3,5.0,0.0
2,1,7.0,0.018
4,1,8.0,0.011
5,2,25.0,0.001
6,3,27.0,0.0
12,2,7.0,0.017
10,3,27.0,0.0
12,3,1.0,0.499
9,2,23.0,0.0
3,1,26.0,0.0
3,2,26.0,0.0
10,3,11.0,0.0
6,2,4.0,0.005
8,3,25.0,0.0
2,1,23.0,0.0
9,3,11.0,0.0
5,1,7.0,0.03
7,3,9.0,0.0
6,3,25.0,0.0
3,3,25.0,0.001
3,2,7.0,0.055
2,1,11.0,0.0
12,3,18.0,0.0
5,2,9.0,0.0
8,3,4.0,0.007
1,1,26.0,0.0
6,2,26.0,0.0
8,2,1.0,0.526
10,3,26.0,0.0
1,1,4.0,0.009
2,2,1.0,0.298
7,1,17.0,0.0
1,2,25.0,0.0
8,2,8.0,0.005
11,3,2.0,0.567
7,1,9.0,0.0
3,3,11.0,0.001
12,1,18.0,0.0
1,1,11.0,0.0
1,3,7.0,0.014
2,1,27.0,0.0
4,1,11.0,0.0
6,2,1.0,0.394
9,3,3.0,0.125
9,2,11.0,0.0
2,3,1.0,0.395
5,2,1.0,0.29
5,3,1.0,0.326
9,3,4.0,0.007
10,3,2.0,0.548
2,3,2.0,0.411
10,3,25.0,0.003
5,1,18.0,0.0
1,3,9.0,0.004
9,1,9.0,0.01
6,2,7.0,0.018
5,1,4.0,0.013
12,2,5.0,0.0
1,2,2.0,0.428
11,1,4.0,0.008
9,1,23.0,0.0
8,1,11.0,0.0
6,1,9.0,0.002
11,3,4.0,0.011
10,1,1.0,0.326
12,3,27.0,0.0
11,1,26.0,0.0
2,2,5.0,0.004
6,1,8.0,0.014
8,3,9.0,0.0
10,3,9.0,0.009
5,1,3.0,0.078
