m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,17.0,19.0,18.0,72.5,5.7,0.08
1,1,1,17.0,18.0,17.5,71.0,5.5,0.12
1,1,2,17.0,18.0,17.5,66.5,7.6,0.1
1,1,3,17.0,18.0,17.5,70.8,8.1,0.12
1,1,4,17.0,18.0,17.5,70.3,8.6,0.1
1,1,5,17.0,18.0,17.5,68.0,7.7,0.1
1,1,6,16.5,18.0,17.5,72.0,7.0,0.1
1,1,7,16.0,18.0,17.0,71.5,7.4,0.1
1,1,8,17.0,18.0,17.5,68.0,6.5,0.14
1,1,9,18.0,20.0,19.3,67.8,7.0,0.14
1,1,10,19.0,20.0,19.5,69.3,6.8,0.2
1,1,11,19.0,21.0,20.0,65.3,9.5,0.18
1,1,12,20.0,21.5,20.5,63.5,11.0,0.18
1,1,13,20.0,22.0,20.8,63.3,11.7,0.28
1,1,14,20.0,22.0,21.0,63.5,12.0,0.32
1,1,15,20.0,21.0,20.5,65.5,10.5,0.38
1,1,16,20.0,21.0,20.5,65.3,11.3,0.32
1,1,17,19.0,20.5,20.0,67.3,9.8,0.18
1,1,18,18.0,20.0,19.0,69.8,9.0,0.2
1,1,19,18.0,19.0,18.5,69.5,7.8,0.1
1,1,20,18.0,19.0,18.5,72.0,6.6,0.08
1,1,21,17.5,19.0,18.5,72.8,6.5,0.08
1,1,22,17.5,19.0,18.5,71.8,6.0,0.1
1,1,23,17.0,19.0,18.0,70.5,6.0,0.08
1,2,0,16.0,19.0,17.3,64.8,8.7,0.02
1,2,1,16.0,18.0,17.0,66.3,9.0,0.02
1,2,2,16.0,18.0,17.5,64.5,11.0,0.06
1,2,3,16.0,18.5,17.0,65.8,10.0,0.04
1,2,4,16.0,19.0,17.0,64.5,8.7,0.02
1,2,5,16.0,18.0,17.3,63.3,9.5,0.02
1,2,6,16.0,18.0,17.3,65.0,10.0,0.04
1,2,7,16.0,18.0,16.8,67.0,9.0,0.04
1,2,8,16.0,18.0,16.8,64.8,9.5,0.06
1,2,9,17.0,19.5,18.5,60.3,10.0,0.04
1,2,10,18.5,20.0,19.8,59.5,10.3,0.08
1,2,11,19.0,21.0,20.0,57.8,11.3,0.1
1,2,12,19.5,21.0,20.5,58.3,13.0,0.1
1,2,13,19.5,21.0,20.3,56.5,13.5,0.02
1,2,14,19.5,21.0,20.3,58.5,15.3,0.1
1,2,15,20.0,21.0,20.5,57.5,14.0,0.06
1,2,16,19.0,21.0,20.0,58.0,14.5,0.08
1,2,17,18.0,21.0,19.5,60.0,13.5,0.1
1,2,18,18.0,20.0,19.0,64.0,12.3,0.12
1,2,19,17.0,19.0,18.0,64.8,11.5,0.08
1,2,20,17.0,18.5,17.8,66.3,11.0,0.06
1,2,21,17.0,18.5,17.5,63.3,10.0,0.04
1,2,22,16.5,18.5,17.5,66.0,9.3,0.04
1,2,23,16.0,18.5,17.5,63.8,8.3,0.02
1,3,0,16.0,18.0,17.5,66.0,10.0,0.04
1,3,1,16.0,18.0,17.0,66.0,10.0,0.05
1,3,2,16.0,17.0,16.5,66.0,9.4,0.07
1,3,3,16.0,17.0,16.5,66.0,11.5,0.04
1,3,4,16.0,17.0,16.5,65.0,9.1,0.04
1,3,5,15.0,17.0,16.5,66.5,8.5,0.07
1,3,6,15.0,17.0,16.5,64.0,9.4,0.07
1,3,7,15.0,17.0,16.5,65.5,7.5,0.05
1,3,8,15.0,17.0,16.5,66.0,8.5,0.05
1,3,9,17.0,19.0,18.0,64.5,6.5,0.02
1,3,10,18.0,20.0,19.0,61.0,11.0,0.13
1,3,11,19.0,20.0,19.5,60.0,12.0,0.18
1,3,12,19.0,21.0,19.8,61.0,14.5,0.2
1,3,13,20.0,21.0,20.5,56.0,12.0,0.22
1,3,14,19.0,21.0,20.5,55.5,14.5,0.22
1,3,15,19.0,21.0,20.5,53.0,12.0,0.2
1,3,16,19.0,21.0,20.0,58.0,13.0,0.18
1,3,17,19.0,20.0,19.5,62.0,10.0,0.18
1,3,18,18.0,19.0,18.5,66.5,10.0,0.09
1,3,19,17.0,18.0,18.0,68.5,10.3,0.04
1,3,20,17.0,18.0,17.5,67.5,10.8,0.04
1,3,21,17.0,18.0,17.5,65.0,10.0,0.04
1,3,22,17.0,18.0,17.5,66.0,10.0,0.0
1,3,23,16.0,18.0,17.5,61.5,10.0,0.0
2,1,0,16.0,19.0,17.5,58.5,8.3,0.08
2,1,1,15.0,19.5,17.3,57.5,7.5,0.08
2,1,2,15.0,19.0,17.5,57.8,7.5,0.06
2,1,3,15.0,19.5,17.5,56.3,6.5,0.08
2,1,4,15.0,20.0,17.5,54.5,6.5,0.14
2,1,5,15.0,19.5,17.3,57.5,6.9,0.04
2,1,6,15.0,20.0,17.5,54.8,8.4,0.04
2,1,7,15.0,20.0,17.5,54.8,8.5,0.08
2,1,8,15.0,20.0,17.5,55.3,7.5,0.06
2,1,9,17.0,20.5,18.8,56.3,9.3,0.1
2,1,10,18.0,21.0,19.8,54.5,11.8,0.14
2,1,11,19.0,22.0,20.3,51.8,12.0,0.16
2,1,12,19.0,22.5,21.0,52.5,12.0,0.18
2,1,13,19.0,22.0,21.0,53.5,13.0,0.18
2,1,14,19.0,22.5,21.0,51.5,12.5,0.24
2,1,15,19.0,22.0,20.8,55.0,12.0,0.18
2,1,16,19.0,22.0,20.5,55.5,10.0,0.14
2,1,17,18.5,21.0,20.0,57.5,9.8,0.12
2,1,18,17.8,21.0,19.4,60.8,10.3,0.1
2,1,19,17.0,20.0,18.5,62.8,7.5,0.06
2,1,20,17.0,19.0,18.3,63.0,9.0,0.04
2,1,21,16.5,20.0,18.5,64.0,9.2,0.04
2,1,22,16.0,19.5,18.0,59.8,7.9,0.06
2,1,23,16.0,19.0,17.8,58.8,7.2,0.08
2,2,0,17.0,19.0,17.8,59.8,7.2,0.0
2,2,1,16.0,19.0,17.8,59.8,7.5,0.04
2,2,2,16.0,18.0,17.4,63.3,8.5,0.02
2,2,3,16.0,18.0,17.0,64.3,8.5,0.02
2,2,4,16.0,18.0,16.8,64.0,8.0,0.04
2,2,5,15.5,18.0,16.5,62.5,7.4,0.0
2,2,6,16.0,18.0,17.0,64.0,7.4,0.04
2,2,7,16.0,18.0,17.0,63.8,7.5,0.04
2,2,8,16.0,18.0,17.5,59.5,7.0,0.02
2,2,9,18.0,20.0,19.0,62.3,8.8,0.0
2,2,10,19.0,21.0,20.0,60.0,11.5,0.06
2,2,11,19.5,21.0,20.3,58.5,11.0,0.1
2,2,12,20.0,21.5,20.8,59.5,13.5,0.1
2,2,13,20.0,22.5,21.3,58.8,15.3,0.08
2,2,14,20.0,22.5,21.5,58.8,15.5,0.1
2,2,15,20.0,22.0,21.3,58.3,13.0,0.16
2,2,16,19.5,22.0,20.5,57.8,12.0,0.12
2,2,17,19.0,21.5,20.5,60.8,11.0,0.16
2,2,18,19.0,21.0,19.8,63.3,11.3,0.1
2,2,19,18.0,19.5,18.5,64.5,8.8,0.08
2,2,20,17.0,19.5,18.3,67.3,8.5,0.08
2,2,21,17.0,19.0,18.0,66.3,8.5,0.08
2,2,22,17.0,19.0,18.0,67.5,8.0,0.04
2,2,23,17.0,18.5,17.5,63.5,7.0,0.04
2,3,0,16.0,18.0,17.0,70.0,8.5,0.02
2,3,1,16.0,17.0,17.0,69.0,10.0,0.02
2,3,2,16.0,17.0,16.5,68.5,11.1,0.04
2,3,3,16.0,17.0,16.5,70.0,8.5,0.07
2,3,4,16.0,17.0,16.5,69.0,11.5,0.04
2,3,5,15.0,17.0,16.0,70.5,9.5,0.04
2,3,6,15.0,17.0,16.0,70.5,11.5,0.07
2,3,7,16.0,17.0,16.5,68.0,9.5,0.09
2,3,8,16.0,18.0,17.0,68.0,9.5,0.09
2,3,9,18.0,18.0,18.0,64.5,11.0,0.09
2,3,10,18.0,20.0,19.0,62.5,14.0,0.24
2,3,11,19.0,20.0,19.5,58.5,14.5,0.18
2,3,12,20.0,21.0,20.5,58.5,16.0,0.33
2,3,13,20.0,21.0,20.5,58.5,15.0,0.16
2,3,14,20.0,21.0,20.5,56.5,15.5,0.13
2,3,15,20.0,21.0,20.5,57.5,16.0,0.13
2,3,16,20.0,21.0,20.0,57.0,14.0,0.07
2,3,17,19.0,20.0,19.5,60.0,13.5,0.22
2,3,18,19.0,19.0,19.0,61.0,14.0,0.29
2,3,19,18.0,19.0,18.5,66.0,13.0,0.16
2,3,20,17.0,18.0,17.5,66.5,12.0,0.07
2,3,21,17.0,18.0,17.5,67.0,10.0,0.04
2,3,22,17.0,18.0,17.0,69.0,10.0,0.04
2,3,23,17.0,18.0,17.0,69.0,11.0,0.02
3,1,0,16.0,17.0,17.0,71.5,8.5,0.02
3,1,1,16.0,17.0,16.6,70.8,10.3,0.02
3,1,2,15.5,17.0,16.2,74.5,11.6,0.02
3,1,3,15.2,17.0,16.0,74.5,10.8,0.04
3,1,4,15.4,17.0,16.2,73.5,11.4,0.04
3,1,5,15.5,17.0,16.0,72.0,10.4,0.08
3,1,6,15.0,16.5,16.0,72.0,8.4,0.06
3,1,7,15.0,16.5,15.8,72.8,8.5,0.08
3,1,8,16.0,18.0,17.0,70.5,8.5,0.08
3,1,9,17.8,19.0,18.0,69.0,8.5,0.1
3,1,10,19.0,20.0,19.5,65.0,12.0,0.16
3,1,11,19.0,20.3,19.7,62.5,14.0,0.14
3,1,12,20.0,21.0,20.5,61.5,16.5,0.14
3,1,13,19.5,21.0,20.5,60.3,15.4,0.2
3,1,14,20.0,21.0,20.5,58.5,16.0,0.2
3,1,15,20.0,21.0,20.5,57.8,14.0,0.28
3,1,16,20.0,21.0,20.5,60.0,12.9,0.2
3,1,17,19.0,20.0,19.5,60.3,12.0,0.2
3,1,18,18.6,19.0,19.0,64.3,10.5,0.18
3,1,19,17.8,19.0,18.0,67.8,10.3,0.14
3,1,20,17.0,18.0,17.8,69.0,8.0,0.08
3,1,21,17.0,18.0,17.5,68.3,9.5,0.08
3,1,22,17.0,18.0,17.5,68.8,8.6,0.08
3,1,23,16.0,18.0,17.0,70.0,9.0,0.08
3,2,0,16.0,18.0,17.0,69.8,9.0,0.05
3,2,1,16.0,17.5,16.5,71.0,11.0,0.05
3,2,2,15.6,17.5,16.8,71.5,9.4,0.08
3,2,3,16.0,17.0,16.6,71.0,8.5,0.03
3,2,4,16.0,17.0,16.5,70.3,9.4,0.05
3,2,5,15.7,17.0,16.5,73.0,9.5,0.03
3,2,6,15.0,17.0,16.3,73.8,10.1,0.03
3,2,7,15.0,17.0,16.3,72.0,8.8,0.03
3,2,8,17.0,18.0,17.5,70.5,8.8,0.05
3,2,9,18.0,19.5,18.8,67.0,10.3,0.03
3,2,10,19.0,20.0,19.5,61.5,13.5,0.05
3,2,11,19.0,20.9,20.1,60.0,14.6,0.05
3,2,12,20.0,21.0,20.8,59.5,14.7,0.13
3,2,13,20.0,21.5,20.8,58.5,13.0,0.1
3,2,14,20.5,21.5,21.3,59.3,14.0,0.08
3,2,15,20.0,22.0,21.0,57.0,14.0,0.08
3,2,16,20.0,21.5,20.6,58.3,13.4,0.1
3,2,17,19.4,21.0,20.0,60.0,11.5,0.1
3,2,18,19.0,20.0,19.3,63.5,9.5,0.13
3,2,19,18.0,19.0,18.5,66.5,10.8,0.08
3,2,20,18.0,19.0,18.3,68.5,12.0,0.03
3,2,21,17.0,19.0,17.8,67.0,10.8,0.03
3,2,22,17.0,18.0,17.5,71.0,10.1,0.08
3,2,23,17.0,18.0,17.5,67.8,9.9,0.1
3,3,0,16.0,17.0,16.5,65.5,10.0,0.09
3,3,1,16.0,17.0,16.5,66.0,8.6,0.07
3,3,2,16.0,17.0,16.5,68.0,10.0,0.07
3,3,3,15.0,17.0,16.0,66.5,10.0,0.09
3,3,4,15.0,16.0,15.5,67.0,9.4,0.09
3,3,5,15.0,16.0,16.0,65.5,9.0,0.14
3,3,6,15.0,17.0,15.8,67.5,8.0,0.07
3,3,7,15.0,17.0,16.0,68.0,8.5,0.09
3,3,8,17.0,18.0,17.5,64.5,9.5,0.16
3,3,9,17.0,19.0,18.0,62.5,8.5,0.3
3,3,10,19.0,20.0,19.2,60.0,10.7,0.32
3,3,11,19.0,20.0,19.5,58.0,12.7,0.36
3,3,12,19.0,21.0,20.0,55.0,12.3,0.27
3,3,13,20.0,21.0,20.5,56.5,14.0,0.25
3,3,14,20.0,21.0,20.5,54.5,15.5,0.25
3,3,15,19.0,21.0,20.5,55.5,13.5,0.23
3,3,16,19.0,21.0,20.4,56.5,11.0,0.2
3,3,17,19.0,21.0,19.5,57.5,12.8,0.25
3,3,18,18.0,20.0,19.0,60.0,12.0,0.2
3,3,19,18.0,19.0,18.5,64.0,9.7,0.07
3,3,20,17.0,18.0,18.0,64.0,9.0,0.05
3,3,21,17.0,18.0,17.5,66.5,11.0,0.02
3,3,22,17.0,18.0,17.5,63.5,10.0,0.02
3,3,23,16.0,18.0,17.0,66.0,7.6,0.05
4,1,0,16.5,18.0,17.3,76.5,7.0,0.05
4,1,1,16.5,18.0,17.3,74.5,7.6,0.03
4,1,2,16.0,18.0,16.9,74.5,6.8,0.03
4,1,3,16.0,18.0,17.0,75.0,6.5,0.05
4,1,4,16.0,17.5,16.5,75.5,7.4,0.05
4,1,5,16.0,17.5,16.5,75.3,7.0,0.03
4,1,6,16.0,17.0,16.5,74.0,5.9,0.05
