m,coco,coco_pct
5,8.0,0.01
2,7.0,0.008
4,25.0,0.003
8,1.0,0.543
1,7.0,0.026
8,4.0,0.009
5,2.0,0.492
5,5.0,0.008
4,7.0,0.081
1,18.0,0.0
8,25.0,0.002
5,25.0,0.001
3,3.0,0.135
11,23.0,0.0
1,4.0,0.04
2,4.0,0.047
8,27.0,0.0
8,2.0,0.383
8,23.0,0.0
12,17.0,0.001
9,7.0,0.026
3,23.0,0.0
7,26.0,0.0
11,27.0,0.0
6,17.0,0.006
12,26.0,0.0
1,9.0,0.001
2,8.0,0.0
6,3.0,0.075
1,27.0,0.0
10,5.0,0.004
2,26.0,0.0
6,2.0,0.39
11,25.0,0.001
11,5.0,0.011
7,2.0,0.3
9,9.0,0.004
7,18.0,0.001
1,3.0,0.098
4,17.0,0.004
6,7.0,0.02
6,26.0,0.0
3,2.0,0.363
7,1.0,0.648
2,27.0,0.0
12,4.0,0.04
4,4.0,0.035
8,9.0,0.0
1,25.0,0.001
1,5.0,0.012
5,9.0,0.012
10,18.0,0.001
6,23.0,0.0
4,9.0,0.006
11,18.0,0.001
5,1.0,0.341
7,17.0,0.0
10,3.0,0.082
2,1.0,0.413
12,25.0,0.001
9,23.0,0.0
4,8.0,0.019
7,27.0,0.0
4,3.0,0.129
5,17.0,0.001
8,17.0,0.002
11,9.0,0.001
10,25.0,0.002
3,1.0,0.3
6,25.0,0.003
8,7.0,0.008
11,26.0,0.0
5,27.0,0.0
6,27.0,0.0
2,2.0,0.367
3,5.0,0.007
3,4.0,0.052
7,9.0,0.0
9,27.0,0.0
8,3.0,0.05
9,5.0,0.002
4,27.0,0.0
3,25.0,0.0
7,25.0,0.002
6,5.0,0.003
8,5.0,0.001
2,18.0,0.0
12,3.0,0.123
11,2.0,0.472
9,26.0,0.0
4,1.0,0.268
5,26.0,0.0
10,4.0,0.025
12,18.0,0.0
9,8.0,0.011
7,5.0,0.004
10,27.0,0.0
10,26.0,0.0
9,17.0,0.003
12,9.0,0.001
4,23.0,0.0
11,7.0,0.037
2,23.0,0.0
9,25.0,0.005
4,2.0,0.448
5,18.0,0.004
4,18.0,0.004
11,1.0,0.331
12,23.0,0.0
11,3.0,0.107
5,3.0,0.077
12,27.0,0.0
6,4.0,0.019
10,23.0,0.0
2,5.0,0.018
2,25.0,0.0
4,26.0,0.0
10,9.0,0.002
6,18.0,0.004
1,1.0,0.436
10,7.0,0.037
1,23.0,0.0
2,17.0,0.0
8,8.0,0.001
1,26.0,0.0
6,1.0,0.479
1,17.0,0.001
7,23.0,0.0
12,1.0,0.44
12,8.0,0.004
7,3.0,0.034
12,5.0,0.017
1,2.0,0.382
5,4.0,0.016
3,7.0,0.096
10,8.0,0.005
3,9.0,0.008
11,4.0,0.033
2,3.0,0.146
7,7.0,0.001
5,23.0,0.0
9,18.0,0.004
9,3.0,0.113
3,18.0,0.001
8,26.0,0.0
10,2.0,0.529
9,2.0,0.561
11,17.0,0.003
10,1.0,0.31
10,17.0,0.003
6,9.0,0.0
7,8.0,0.0
4,5.0,0.002
7,4.0,0.01
3,8.0,0.037
11,8.0,0.005
5,7.0,0.038
3,26.0,0.0
9,1.0,0.252
6,8.0,0.002
3,17.0,0.001
8,18.0,0.002
12,7.0,0.017
2,9.0,0.0
9,4.0,0.02
1,8.0,0.005
12,2.0,0.356
3,27.0,0.0
