m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,6.7,10.7,16.6,13.2,1.0,0.09,0.0
1,2,6.4,10.9,16.2,12.5,1.0,0.14,1.0
1,3,8.0,12.7,17.7,14.0,2.0,0.17,1.0
2,1,7.7,12.6,17.9,11.4,1.0,0.12,1.0
2,2,8.6,13.0,17.8,12.0,1.0,0.09,0.0
2,3,8.3,13.1,18.8,14.5,1.0,0.14,1.0
3,1,9.5,14.1,19.2,16.0,3.0,0.3,8.0
3,2,9.9,14.8,20.4,14.3,2.0,0.17,4.0
3,3,9.7,14.3,18.9,15.6,4.0,0.32,17.0
4,1,10.2,15.4,20.4,13.2,1.0,0.15,1.0
4,2,11.9,16.2,20.4,12.9,2.0,0.23,10.0
4,3,12.4,17.2,22.0,12.5,3.0,0.29,18.0
5,1,14.0,18.6,23.8,10.2,2.0,0.22,4.0
5,2,14.5,19.4,24.5,11.7,1.0,0.13,2.0
5,3,16.0,20.9,25.1,13.1,3.0,0.24,11.0
6,1,17.3,22.4,26.9,11.3,2.0,0.22,2.0
6,2,19.3,23.8,28.3,11.5,1.0,0.13,0.0
6,3,19.7,24.5,29.7,11.4,1.0,0.06,0.0
7,1,21.9,26.0,31.0,12.1,1.0,0.06,0.0
7,2,22.2,26.6,31.7,10.7,0.0,0.02,0.0
7,3,22.7,27.4,31.9,11.5,1.0,0.05,0.0
8,1,23.0,27.5,32.5,10.5,0.0,0.01,0.0
8,2,22.7,27.4,32.1,10.6,1.0,0.09,0.0
8,3,22.3,26.9,31.3,11.1,1.0,0.13,3.0
9,1,21.4,25.5,29.5,11.0,2.0,0.19,2.0
9,2,20.2,24.4,28.4,11.4,3.0,0.31,14.0
9,3,19.4,23.5,28.4,11.1,2.0,0.16,3.0
10,1,17.4,21.9,27.1,10.5,1.0,0.08,0.0
10,2,16.1,20.5,25.3,11.0,1.0,0.12,2.0
10,3,14.3,19.1,24.0,10.7,2.0,0.23,9.0
11,1,12.6,16.6,22.0,14.6,2.0,0.2,3.0
11,2,12.5,16.2,21.3,13.2,2.0,0.24,11.0
11,3,9.9,14.6,19.8,13.4,1.0,0.15,1.0
12,1,10.3,14.2,18.9,15.2,2.0,0.24,6.0
12,2,9.3,13.3,17.6,12.3,1.0,0.1,0.0
12,3,7.6,12.1,18.8,10.6,1.0,0.08,0.0
