m,m3,coco,coco_pct
1,2,18.0,0.0
8,1,25.0,0.001
1,2,25.0,0.002
1,1,1.0,0.495
1,3,26.0,0.0
7,3,5.0,0.003
4,3,27.0,0.0
4,2,23.0,0.0
4,1,5.0,0.002
10,2,9.0,0.001
10,2,2.0,0.537
11,3,4.0,0.031
1,3,18.0,0.0
8,3,3.0,0.057
2,1,23.0,0.0
5,2,4.0,0.017
10,3,8.0,0.012
10,2,7.0,0.032
1,1,9.0,0.0
1,2,9.0,0.001
2,2,25.0,0.0
1,2,17.0,0.001
3,2,23.0,0.0
1,3,25.0,0.001
2,1,7.0,0.013
12,1,27.0,0.0
7,3,2.0,0.291
10,2,1.0,0.319
4,3,5.0,0.005
10,3,25.0,0.001
10,1,18.0,0.0
3,1,26.0,0.0
7,2,3.0,0.035
7,1,3.0,0.038
7,2,7.0,0.001
10,3,18.0,0.002
8,1,23.0,0.0
8,3,27.0,0.0
3,2,1.0,0.355
11,3,8.0,0.005
6,1,26.0,0.001
6,1,1.0,0.323
2,3,25.0,0.0
8,2,4.0,0.014
10,1,27.0,0.0
6,3,18.0,0.0
4,1,26.0,0.0
11,3,7.0,0.024
9,3,7.0,0.017
7,1,17.0,0.001
6,2,27.0,0.0
6,3,8.0,0.0
1,3,3.0,0.134
8,3,18.0,0.003
2,1,18.0,0.0
8,1,3.0,0.03
4,3,17.0,0.005
12,1,18.0,0.001
3,3,8.0,0.055
9,3,1.0,0.36
12,2,23.0,0.0
2,3,18.0,0.0
9,2,8.0,0.021
1,3,2.0,0.449
7,2,9.0,0.0
5,3,17.0,0.0
8,3,1.0,0.463
2,3,5.0,0.013
1,2,27.0,0.0
5,2,18.0,0.001
1,1,23.0,0.0
2,2,4.0,0.043
12,1,5.0,0.008
6,1,4.0,0.023
10,1,7.0,0.012
12,3,17.0,0.0
8,3,7.0,0.008
8,1,9.0,0.0
6,1,8.0,0.005
1,2,8.0,0.008
12,3,4.0,0.039
8,2,8.0,0.001
8,3,8.0,0.0
12,2,17.0,0.001
12,1,3.0,0.118
11,1,8.0,0.006
3,2,9.0,0.009
3,2,7.0,0.073
12,3,2.0,0.29
6,1,9.0,0.001
5,2,2.0,0.495
9,2,7.0,0.033
10,2,4.0,0.02
5,3,2.0,0.429
9,1,5.0,0.005
8,3,25.0,0.003
4,2,1.0,0.302
2,3,3.0,0.161
12,3,7.0,0.007
2,1,5.0,0.007
12,3,18.0,0.0
6,2,3.0,0.093
5,1,25.0,0.001
6,3,26.0,0.0
2,3,4.0,0.046
9,1,8.0,0.006
5,1,4.0,0.017
11,3,17.0,0.004
12,2,4.0,0.045
8,2,7.0,0.013
10,1,2.0,0.562
2,1,1.0,0.477
4,1,4.0,0.034
8,3,2.0,0.453
12,2,5.0,0.001
7,1,27.0,0.0
1,3,5.0,0.003
2,2,7.0,0.007
7,3,1.0,0.664
9,2,26.0,0.001
4,2,7.0,0.086
8,3,4.0,0.009
12,1,8.0,0.011
1,3,23.0,0.0
3,1,17.0,0.001
9,2,5.0,0.002
6,1,25.0,0.006
5,3,9.0,0.028
6,2,18.0,0.008
7,1,18.0,0.0
11,2,27.0,0.0
8,1,18.0,0.001
11,2,1.0,0.28
12,2,9.0,0.0
6,2,2.0,0.409
3,3,2.0,0.352
12,2,8.0,0.001
10,3,5.0,0.01
9,1,26.0,0.0
3,1,3.0,0.15
12,3,1.0,0.535
5,1,7.0,0.028
10,1,9.0,0.0
7,1,2.0,0.351
8,1,8.0,0.001
5,2,9.0,0.001
2,3,8.0,0.0
8,1,27.0,0.0
5,1,26.0,0.001
12,1,17.0,0.001
2,1,2.0,0.319
9,2,9.0,0.002
7,1,26.0,0.0
10,1,3.0,0.049
12,2,26.0,0.0
7,1,4.0,0.012
8,3,26.0,0.0
6,1,3.0,0.104
4,2,27.0,0.0
4,3,7.0,0.095
8,2,9.0,0.0
4,3,8.0,0.02
7,2,26.0,0.0
7,2,23.0,0.0
7,2,4.0,0.011
10,3,1.0,0.262
9,2,1.0,0.207
6,2,1.0,0.443
12,1,4.0,0.038
10,1,25.0,0.003
12,2,18.0,0.0
9,2,4.0,0.019
3,1,9.0,0.009
3,1,8.0,0.033
12,2,3.0,0.165
3,3,25.0,0.0
3,3,5.0,0.008
1,1,8.0,0.007
11,2,5.0,0.014
2,3,7.0,0.005
11,1,26.0,0.0
9,3,5.0,0.0
10,3,26.0,0.0
6,2,17.0,0.003
2,1,26.0,0.0
3,3,26.0,0.0
3,3,18.0,0.0
9,3,23.0,0.0
6,3,17.0,0.001
11,2,4.0,0.042
6,3,2.0,0.287
9,2,18.0,0.007
12,2,7.0,0.018
7,3,4.0,0.007
5,1,2.0,0.557
4,2,18.0,0.004
3,1,18.0,0.001
2,2,26.0,0.0
10,2,23.0,0.0
4,3,2.0,0.473
7,3,17.0,0.0
2,1,25.0,0.0
11,3,25.0,0.001
1,3,9.0,0.001
1,1,17.0,0.0
2,3,1.0,0.438
3,2,4.0,0.03
1,2,1.0,0.472
5,2,17.0,0.002
1,1,26.0,0.0
6,2,5.0,0.0
11,3,9.0,0.001
9,3,8.0,0.006
3,1,25.0,0.0
6,3,7.0,0.002
1,1,2.0,0.322
10,2,25.0,0.002
7,2,5.0,0.004
9,3,2.0,0.511
2,1,9.0,0.0
1,2,26.0,0.0
7,3,25.0,0.001
2,2,2.0,0.443
6,3,27.0,0.0
2,3,26.0,0.0
3,3,7.0,0.121
4,1,3.0,0.118
12,1,25.0,0.002
7,3,18.0,0.004
6,3,25.0,0.001
3,1,1.0,0.273
5,1,1.0,0.294
6,1,18.0,0.005
3,2,18.0,0.003
8,2,2.0,0.412
10,1,26.0,0.0
1,1,7.0,0.041
9,2,27.0,0.0
7,1,25.0,0.0
6,1,7.0,0.041
7,2,1.0,0.686
11,1,18.0,0.0
6,2,25.0,0.001
4,1,8.0,0.013
6,3,23.0,0.0
6,1,17.0,0.012
11,2,9.0,0.001
9,2,23.0,0.001
12,3,9.0,0.0
10,1,5.0,0.001
9,2,25.0,0.008
3,3,3.0,0.124
4,1,1.0,0.291
3,3,4.0,0.056
11,1,1.0,0.315
1,2,4.0,0.038
11,3,5.0,0.007
6,3,3.0,0.027
11,1,25.0,0.001
3,2,17.0,0.0
1,1,5.0,0.029
10,3,4.0,0.037
2,1,17.0,0.001
6,2,4.0,0.025
8,2,5.0,0.002
11,2,8.0,0.005
5,2,1.0,0.373
9,3,4.0,0.02
2,1,27.0,0.0
5,3,1.0,0.354
9,2,3.0,0.166
11,2,2.0,0.44
4,3,23.0,0.0
1,1,25.0,0.0
1,2,2.0,0.368
5,3,3.0,0.09
9,3,26.0,0.0
2,3,9.0,0.0
8,1,26.0,0.0
1,1,27.0,0.0
2,2,27.0,0.001
10,3,3.0,0.113
2,2,3.0,0.147
12,1,23.0,0.0
2,3,23.0,0.0
2,2,5.0,0.035
12,2,1.0,0.377
11,2,26.0,0.001
8,1,4.0,0.005
9,1,17.0,0.004
7,1,8.0,0.0
7,3,26.0,0.0
7,3,23.0,0.0
9,1,7.0,0.028
2,3,17.0,0.0
11,3,23.0,0.0
8,1,2.0,0.276
5,3,8.0,0.016
9,1,18.0,0.005
1,1,18.0,0.0
10,2,18.0,0.001
3,3,23.0,0.0
2,2,18.0,0.0
12,3,8.0,0.001
10,3,9.0,0.005
4,2,17.0,0.005
9,3,9.0,0.0
4,2,26.0,0.001
4,1,7.0,0.062
8,2,23.0,0.0
9,3,18.0,0.001
10,1,1.0,0.354
12,3,23.0,0.0
4,2,8.0,0.024
10,1,4.0,0.017
1,3,1.0,0.348
8,3,17.0,0.004
6,2,23.0,0.0
6,3,9.0,0.0
9,2,17.0,0.004
6,1,5.0,0.005
11,3,1.0,0.397
8,2,3.0,0.063
12,1,9.0,0.002
1,3,7.0,0.014
7,2,2.0,0.26
3,1,2.0,0.37
1,3,17.0,0.002
5,1,17.0,0.001
5,2,27.0,0.0
7,1,9.0,0.0
3,2,8.0,0.021
4,3,1.0,0.211
10,1,8.0,0.001
12,2,25.0,0.0
6,3,1.0,0.67
12,3,25.0,0.0
4,3,26.0,0.0
1,3,4.0,0.047
8,2,1.0,0.491
11,3,27.0,0.0
5,1,5.0,0.012
2,2,9.0,0.0
4,2,2.0,0.408
7,3,8.0,0.0
9,1,3.0,0.086
5,1,18.0,0.003
9,1,23.0,0.001
6,3,4.0,0.009
4,1,9.0,0.009
12,1,2.0,0.393
2,3,27.0,0.0
5,1,8.0,0.006
8,1,7.0,0.002
11,1,7.0,0.024
12,1,26.0,0.0
4,2,3.0,0.122
12,1,1.0,0.398
7,2,8.0,0.0
1,3,8.0,0.002
2,2,8.0,0.001
9,1,4.0,0.02
4,1,18.0,0.001
11,1,27.0,0.0
5,1,3.0,0.074
4,3,9.0,0.001
11,3,26.0,0.0
8,1,17.0,0.0
1,2,5.0,0.004
10,2,17.0,0.008
7,2,17.0,0.0
9,3,27.0,0.0
7,1,5.0,0.006
2,2,17.0,0.0
8,2,18.0,0.002
11,2,17.0,0.005
10,1,23.0,0.0
5,2,23.0,0.0
7,3,3.0,0.029
5,3,27.0,0.0
1,2,3.0,0.084
10,3,23.0,0.0
1,2,23.0,0.0
9,1,25.0,0.005
2,2,1.0,0.325
11,1,2.0,0.548
12,1,7.0,0.029
5,1,9.0,0.005
7,2,18.0,0.0
12,3,5.0,0.041
11,2,18.0,0.002
5,2,26.0,0.0
5,3,25.0,0.0
6,3,5.0,0.003
2,1,8.0,0.001
10,2,3.0,0.08
4,1,25.0,0.005
6,2,26.0,0.0
3,1,4.0,0.071
11,1,4.0,0.026
8,2,25.0,0.002
8,3,5.0,0.0
11,2,25.0,0.001
7,3,27.0,0.0
5,3,7.0,0.056
3,2,27.0,0.0
10,3,2.0,0.492
9,1,9.0,0.009
10,2,26.0,0.0
12,3,3.0,0.088
12,3,27.0,0.0
1,2,7.0,0.023
4,3,25.0,0.004
9,1,1.0,0.188
6,2,7.0,0.018
4,1,23.0,0.0
11,1,9.0,0.0
4,1,27.0,0.0
11,1,3.0,0.07
5,3,23.0,0.0
1,1,4.0,0.033
11,1,17.0,0.0
3,3,1.0,0.275
11,2,23.0,0.0
11,3,18.0,0.0
5,3,26.0,0.0
4,2,9.0,0.008
9,3,17.0,0.0
4,3,3.0,0.148
9,1,27.0,0.0
11,3,3.0,0.102
11,1,5.0,0.011
3,1,5.0,0.003
8,3,23.0,0.0
5,1,23.0,0.0
4,2,5.0,0.001
11,1,23.0,0.0
10,2,27.0,0.0
9,1,2.0,0.643
8,2,17.0,0.001
7,3,7.0,0.001
9,2,2.0,0.529
5,2,8.0,0.008
4,2,4.0,0.039
10,3,7.0,0.066
7,3,9.0,0.0
6,2,8.0,0.0
4,3,18.0,0.006
3,2,26.0,0.0
8,2,26.0,0.0
8,3,9.0,0.0
7,1,7.0,0.002
4,1,2.0,0.464
9,3,25.0,0.0
3,2,2.0,0.367
5,2,3.0,0.065
12,3,26.0,0.0
6,1,27.0,0.0
3,3,27.0,0.0
4,2,25.0,0.001
11,2,7.0,0.062
5,3,18.0,0.008
10,2,8.0,0.001
7,1,23.0,0.0
1,3,27.0,0.0
10,3,27.0,0.0
8,1,1.0,0.683
4,3,4.0,0.032
4,1,17.0,0.003
5,2,25.0,0.003
5,2,7.0,0.028
7,1,1.0,0.591
2,1,4.0,0.053
6,2,9.0,0.0
12,2,27.0,0.0
8,2,27.0,0.0
3,1,7.0,0.091
11,2,3.0,0.148
6,1,2.0,0.475
7,2,25.0,0.004
3,2,25.0,0.0
10,1,17.0,0.001
10,3,17.0,0.001
5,2,5.0,0.007
11,3,2.0,0.428
2,3,2.0,0.337
3,2,5.0,0.01
10,2,5.0,0.0
3,1,23.0,0.0
5,3,4.0,0.015
3,3,9.0,0.007
2,2,23.0,0.0
3,2,3.0,0.133
5,1,27.0,0.0
3,3,17.0,0.002
1,1,3.0,0.073
6,1,23.0,0.0
12,2,2.0,0.393
9,3,3.0,0.086
3,1,27.0,0.0
2,1,3.0,0.13
7,2,27.0,0.0
5,3,5.0,0.005
8,1,5.0,0.002
