m,coco,coco_pct
3,18.0,0.0
11,17.0,0.001
5,5.0,0.013
2,25.0,0.0
2,5.0,0.052
1,18.0,0.001
10,26.0,0.0
1,1.0,0.275
4,2.0,0.479
11,3.0,0.177
11,1.0,0.105
2,8.0,0.002
4,26.0,0.0
2,9.0,0.003
4,4.0,0.089
11,12.0,0.0
10,5.0,0.005
2,1.0,0.246
11,25.0,0.002
6,18.0,0.004
7,4.0,0.02
10,9.0,0.009
8,3.0,0.149
12,26.0,0.0
2,3.0,0.172
7,17.0,0.001
3,2.0,0.448
7,25.0,0.001
12,14.0,0.0
9,7.0,0.036
12,7.0,0.028
11,4.0,0.108
9,26.0,0.0
4,3.0,0.246
10,12.0,0.0
4,14.0,0.0
1,17.0,0.0
8,9.0,0.0
8,1.0,0.18
10,1.0,0.127
1,14.0,0.0
2,14.0,0.0
10,17.0,0.001
8,12.0,0.0
10,18.0,0.005
2,7.0,0.021
5,12.0,0.0
7,18.0,0.002
8,25.0,0.004
8,14.0,0.0
1,26.0,0.0
5,26.0,0.0
9,25.0,0.004
2,4.0,0.128
6,14.0,0.0
3,17.0,0.001
9,1.0,0.109
3,12.0,0.0
10,25.0,0.005
10,3.0,0.205
3,26.0,0.0
3,25.0,0.0
11,26.0,0.0
4,25.0,0.001
11,7.0,0.052
4,1.0,0.091
5,18.0,0.0
5,9.0,0.003
11,8.0,0.017
5,8.0,0.008
6,3.0,0.207
9,14.0,0.0
11,5.0,0.012
5,25.0,0.001
11,14.0,0.0
5,2.0,0.602
8,5.0,0.0
9,2.0,0.564
9,4.0,0.05
5,17.0,0.001
10,8.0,0.023
1,8.0,0.011
6,1.0,0.135
7,2.0,0.551
5,7.0,0.042
12,5.0,0.029
12,17.0,0.0
5,14.0,0.0
1,4.0,0.109
9,3.0,0.21
7,9.0,0.0
10,7.0,0.047
2,12.0,0.0
1,12.0,0.0
3,1.0,0.132
6,25.0,0.001
5,4.0,0.054
7,7.0,0.008
9,18.0,0.005
4,18.0,0.001
6,9.0,0.0
8,8.0,0.007
11,9.0,0.001
4,5.0,0.009
8,7.0,0.021
8,4.0,0.026
7,14.0,0.0
12,18.0,0.0
7,3.0,0.114
2,26.0,0.0
12,8.0,0.007
6,8.0,0.005
12,1.0,0.192
3,14.0,0.0
9,9.0,0.004
4,8.0,0.016
6,4.0,0.043
12,9.0,0.0
11,18.0,0.003
12,25.0,0.0
9,12.0,0.0
2,17.0,0.001
7,26.0,0.0
6,17.0,0.002
11,2.0,0.522
10,4.0,0.055
1,2.0,0.428
7,8.0,0.003
8,18.0,0.005
2,2.0,0.374
3,7.0,0.07
9,5.0,0.001
12,4.0,0.114
4,9.0,0.005
4,12.0,0.0
12,2.0,0.502
1,25.0,0.001
3,8.0,0.01
8,26.0,0.001
3,3.0,0.206
1,5.0,0.022
7,5.0,0.0
4,7.0,0.062
6,5.0,0.004
3,5.0,0.026
9,17.0,0.002
6,12.0,0.0
1,9.0,0.003
7,1.0,0.3
9,8.0,0.016
7,12.0,0.0
8,17.0,0.0
5,1.0,0.079
4,17.0,0.001
6,7.0,0.033
3,4.0,0.104
10,14.0,0.0
8,2.0,0.606
6,2.0,0.566
10,2.0,0.518
3,9.0,0.002
6,26.0,0.0
1,3.0,0.121
5,3.0,0.198
12,12.0,0.0
1,7.0,0.029
12,3.0,0.128
2,18.0,0.001
