m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,3.6,10.4,7.0,91.0,10.1,0.26
1,1,3.7,10.0,7.0,93.0,10.1,0.3
1,2,3.3,10.0,6.8,93.0,10.2,0.31
1,3,2.9,10.0,6.4,92.5,9.3,0.28
1,4,2.7,10.0,6.4,92.5,10.3,0.32
1,5,2.9,9.6,6.5,92.5,10.3,0.29
1,6,2.7,9.5,6.2,91.5,9.4,0.28
1,7,2.5,9.7,6.2,92.5,9.2,0.28
1,8,2.7,10.0,6.3,91.0,9.2,0.31
1,9,3.4,10.1,6.6,90.0,9.2,0.34
1,10,5.4,10.7,8.1,87.5,10.1,0.28
1,11,6.7,11.1,9.2,84.0,11.9,0.33
1,12,8.0,11.8,9.9,80.0,13.0,0.34
1,13,8.7,12.5,10.7,78.5,13.0,0.38
1,14,9.6,13.0,11.0,76.5,13.9,0.39
1,15,9.2,12.9,11.1,76.5,12.1,0.39
1,16,8.9,12.7,11.0,78.0,12.1,0.38
1,17,7.6,11.6,9.9,81.0,11.2,0.3
1,18,6.7,11.0,9.0,85.5,10.3,0.24
1,19,6.0,10.7,8.2,87.0,10.1,0.3
1,20,5.5,10.7,7.8,88.5,10.1,0.31
1,21,5.1,10.9,8.0,89.5,11.0,0.27
1,22,4.5,10.5,7.4,91.0,11.0,0.24
1,23,4.0,10.5,7.2,91.0,9.2,0.25
2,0,5.8,10.8,8.2,92.0,9.2,0.1
2,1,5.8,10.0,7.9,92.5,9.1,0.11
2,2,4.7,10.2,7.5,92.0,9.2,0.18
2,3,4.8,10.6,7.6,91.0,8.3,0.17
2,4,5.0,10.0,7.6,90.0,8.3,0.17
2,5,4.1,10.0,7.3,90.5,8.5,0.21
2,6,4.6,10.0,7.3,90.0,9.2,0.14
2,7,4.6,10.0,7.4,90.0,9.2,0.21
2,8,5.0,10.2,7.7,90.0,9.2,0.23
2,9,6.0,10.8,8.4,88.0,9.2,0.22
2,10,8.0,11.8,9.6,84.0,10.1,0.24
2,11,9.2,12.5,11.1,78.5,11.2,0.24
2,12,9.9,13.7,12.0,74.0,12.8,0.29
2,13,10.7,15.3,13.1,70.0,13.9,0.26
2,14,11.0,16.3,13.3,68.0,14.2,0.24
2,15,11.0,16.5,13.5,65.5,13.3,0.24
2,16,10.8,16.0,12.9,68.5,13.0,0.16
2,17,9.5,14.6,12.2,73.0,11.2,0.17
2,18,8.7,12.9,10.6,77.5,10.4,0.14
2,19,7.9,12.0,9.8,83.0,10.1,0.17
2,20,7.1,11.4,9.1,85.0,10.1,0.17
2,21,6.6,11.0,8.7,87.5,9.2,0.16
2,22,6.5,10.8,8.4,88.5,8.6,0.17
2,23,5.8,10.5,8.0,90.0,8.3,0.17
3,0,5.2,10.0,7.6,89.5,8.3,0.32
3,1,5.2,9.9,7.4,89.5,8.3,0.27
3,2,4.5,9.8,7.1,89.5,9.2,0.25
3,3,4.3,9.6,7.0,90.5,7.4,0.24
3,4,4.4,9.6,6.9,90.5,8.3,0.26
3,5,4.3,9.3,6.8,91.0,9.2,0.25
3,6,4.5,9.3,6.7,91.5,9.2,0.25
3,7,4.5,9.2,6.6,92.0,8.3,0.25
3,8,5.2,9.8,7.4,89.5,9.2,0.27
3,9,7.0,10.7,8.9,86.0,10.3,0.34
3,10,8.2,12.7,10.8,79.5,11.9,0.38
3,11,9.0,14.2,11.9,73.0,13.9,0.4
3,12,9.9,15.0,12.0,67.5,13.3,0.44
3,13,10.1,16.1,12.8,65.5,13.9,0.47
3,14,10.2,16.8,13.3,66.5,15.7,0.44
3,15,10.0,17.0,13.6,69.0,15.0,0.42
3,16,9.7,17.0,13.1,70.5,15.0,0.38
3,17,9.1,16.0,12.2,73.5,13.0,0.37
3,18,8.5,14.2,11.4,76.0,13.0,0.34
3,19,7.2,12.2,9.8,80.0,11.2,0.33
3,20,6.9,11.0,8.9,84.5,11.0,0.28
3,21,6.2,10.8,8.7,86.0,9.4,0.29
3,22,5.8,10.6,8.3,87.5,8.3,0.26
3,23,5.8,10.2,8.3,89.0,8.3,0.26
4,0,7.0,11.0,9.1,90.0,7.4,0.17
4,1,7.0,10.8,8.8,89.5,7.4,0.18
4,2,6.5,10.6,8.5,91.3,7.4,0.2
4,3,6.1,10.6,8.3,92.3,7.0,0.15
4,4,5.7,10.1,7.9,93.0,7.4,0.2
4,5,5.7,10.3,7.8,91.8,6.5,0.22
4,6,5.3,10.2,7.8,93.0,7.4,0.2
4,7,6.4,10.7,8.8,92.0,6.5,0.22
4,8,8.0,11.6,10.1,88.3,8.3,0.22
4,9,9.6,13.4,11.5,83.0,9.2,0.2
4,10,10.2,15.1,12.6,76.3,10.7,0.25
4,11,11.0,16.2,13.6,71.5,12.0,0.25
4,12,11.2,17.9,14.5,68.0,13.5,0.28
4,13,12.1,18.5,15.2,67.0,14.4,0.23
4,14,12.2,19.0,15.9,66.8,13.9,0.27
4,15,12.3,19.2,15.8,65.0,14.4,0.18
4,16,12.1,19.3,15.8,64.3,15.4,0.18
4,17,11.6,17.5,14.4,70.8,14.8,0.18
4,18,10.6,16.2,13.4,74.5,13.0,0.17
4,19,9.8,14.5,12.2,77.5,11.6,0.12
4,20,9.1,13.1,11.1,83.0,10.1,0.15
4,21,8.4,12.5,10.2,84.8,9.2,0.1
4,22,8.1,11.9,9.9,87.3,7.9,0.12
4,23,7.6,11.2,9.5,90.0,7.4,0.13
5,0,9.1,13.0,11.1,89.5,7.4,0.13
5,1,8.7,12.9,10.7,90.5,7.4,0.13
5,2,8.5,12.2,10.5,91.5,6.5,0.11
5,3,8.4,12.5,10.3,93.0,6.5,0.11
5,4,8.2,12.1,10.2,93.5,6.5,0.15
5,5,8.2,12.2,10.1,93.5,6.5,0.13
5,6,9.0,12.4,10.5,92.5,6.5,0.16
5,7,9.7,12.9,11.2,90.0,7.4,0.21
5,8,11.0,15.1,13.1,83.5,8.3,0.24
5,9,12.1,17.2,14.6,78.0,9.4,0.27
5,10,13.0,19.1,16.2,72.5,10.1,0.28
5,11,13.5,21.0,17.2,69.5,11.2,0.28
5,12,13.7,21.9,17.8,65.5,12.1,0.38
5,13,15.0,22.9,18.8,61.5,13.0,0.32
5,14,14.8,23.4,19.2,59.5,13.9,0.38
5,15,15.1,23.5,19.3,59.5,14.8,0.39
5,16,14.6,22.6,18.9,61.5,15.7,0.28
5,17,14.2,22.0,18.3,63.0,14.8,0.26
5,18,13.6,21.0,17.5,67.0,13.9,0.25
5,19,12.4,18.5,15.9,71.5,12.1,0.16
5,20,11.2,16.0,13.7,78.0,10.3,0.14
5,21,10.7,14.7,12.7,82.0,9.2,0.09
5,22,10.1,14.2,12.2,85.0,8.3,0.12
5,23,9.7,13.8,11.6,87.0,7.4,0.18
6,0,11.6,15.3,13.5,92.5,6.5,0.12
6,1,11.5,15.1,13.3,93.8,6.5,0.09
6,2,11.1,15.0,13.1,94.8,6.5,0.07
6,3,11.1,14.7,12.9,95.5,5.6,0.07
6,4,11.1,14.7,12.8,96.5,5.6,0.12
6,5,11.0,14.6,12.6,96.5,5.6,0.13
6,6,11.0,15.0,12.8,96.5,5.6,0.14
6,7,11.9,15.7,13.8,93.5,5.6,0.12
6,8,13.1,16.9,14.8,88.3,7.4,0.17
6,9,13.9,18.6,16.2,82.5,9.2,0.2
6,10,14.7,19.9,17.0,77.0,8.4,0.21
6,11,15.4,21.0,18.0,73.5,10.1,0.29
6,12,16.4,22.2,19.0,69.5,10.7,0.3
6,13,16.3,23.0,19.5,68.5,12.1,0.33
6,14,16.0,23.1,19.8,68.8,12.1,0.31
6,15,16.4,23.1,19.8,68.0,12.1,0.34
6,16,15.7,22.9,19.6,69.8,13.0,0.3
6,17,15.6,21.9,19.0,72.5,14.0,0.23
6,18,15.1,20.3,18.2,75.0,13.0,0.19
6,19,14.6,19.1,16.9,77.5,12.1,0.18
6,20,13.4,17.6,15.6,82.8,10.3,0.13
6,21,12.7,16.7,14.6,88.0,9.2,0.08
6,22,12.4,16.0,14.3,90.5,7.4,0.08
6,23,11.8,15.8,13.9,91.0,6.5,0.11
7,0,14.1,17.1,15.7,91.5,6.5,0.06
7,1,13.8,16.7,15.5,92.5,5.6,0.05
7,2,13.7,16.5,15.1,93.0,6.5,0.09
7,3,13.3,16.2,14.9,94.5,5.6,0.07
7,4,13.2,16.0,14.7,95.0,5.6,0.07
7,5,12.9,15.9,14.8,94.5,5.6,0.05
7,6,13.0,16.4,14.9,94.5,5.6,0.06
7,7,14.1,16.7,15.7,91.5,6.5,0.04
7,8,15.2,18.2,17.0,85.5,7.4,0.05
7,9,16.4,20.0,18.4,79.5,7.4,0.07
7,10,17.7,22.0,19.8,74.5,8.3,0.1
7,11,18.5,24.1,21.2,68.5,9.2,0.09
7,12,19.0,25.6,22.4,65.5,10.1,0.09
7,13,19.6,26.7,23.2,62.5,11.9,0.09
7,14,20.2,26.9,23.5,61.5,12.1,0.1
7,15,20.3,26.7,23.6,61.0,13.9,0.09
7,16,20.5,26.6,23.2,63.5,13.9,0.09
7,17,19.2,26.0,22.5,66.5,14.8,0.05
7,18,18.6,24.8,21.5,69.0,13.9,0.04
7,19,17.5,22.6,20.2,74.0,12.1,0.05
7,20,16.3,20.6,18.5,79.5,11.2,0.05
7,21,15.3,19.0,17.4,84.5,9.4,0.04
7,22,15.0,18.2,16.6,86.5,7.4,0.05
7,23,14.5,17.7,16.2,89.5,6.5,0.05
8,0,14.5,17.7,16.0,92.5,6.5,0.04
8,1,14.0,17.7,15.8,93.0,6.5,0.04
8,2,13.7,17.1,15.4,94.0,5.6,0.05
8,3,13.5,17.1,15.3,94.5,6.5,0.06
8,4,13.0,17.0,15.1,95.5,5.6,0.03
8,5,13.1,17.0,15.0,95.5,5.6,0.05
8,6,12.8,16.8,15.0,95.5,5.6,0.03
8,7,13.7,17.4,15.7,94.0,5.6,0.05
8,8,15.5,18.5,17.0,88.5,6.5,0.07
8,9,16.9,20.0,18.5,81.5,7.4,0.09
8,10,18.4,22.2,20.3,75.0,7.4,0.11
8,11,19.6,23.8,21.9,69.0,9.4,0.11
8,12,20.4,25.5,23.2,65.0,10.3,0.04
8,13,20.8,26.8,24.0,62.5,11.2,0.06
8,14,21.2,27.7,24.2,59.5,12.1,0.07
8,15,21.3,27.5,24.5,59.0,13.0,0.07
8,16,21.0,26.8,23.9,62.0,14.8,0.07
8,17,20.3,25.3,23.0,66.5,14.8,0.05
8,18,19.3,23.9,21.8,71.0,13.9,0.04
8,19,17.7,21.9,20.0,76.0,13.0,0.03
8,20,16.7,20.0,18.3,82.0,10.3,0.05
8,21,16.1,19.0,17.5,86.5,9.2,0.04
8,22,15.1,18.4,16.9,90.0,8.3,0.03
8,23,15.0,17.9,16.4,90.5,7.4,0.02
9,0,13.2,16.8,14.9,92.8,5.6,0.14
9,1,13.2,16.5,14.8,93.8,5.6,0.13
9,2,12.7,16.2,14.6,94.0,6.1,0.12
9,3,12.6,16.1,14.4,94.3,5.6,0.15
9,4,12.1,15.9,14.1,94.3,5.6,0.14
9,5,12.2,15.9,14.1,95.3,5.6,0.19
9,6,11.9,15.7,13.9,95.0,6.5,0.18
9,7,12.2,16.0,14.3,94.3,5.6,0.13
9,8,13.8,17.2,15.4,91.3,6.5,0.16
9,9,15.2,19.2,17.2,83.8,7.4,0.2
9,10,16.5,21.1,18.8,77.3,8.3,0.2
9,11,17.1,23.0,19.9,73.5,9.2,0.23
9,12,17.6,24.4,20.7,68.0,10.1,0.24
9,13,18.4,25.1,21.5,64.0,10.7,0.28
9,14,18.4,25.3,21.8,61.5,11.2,0.29
9,15,18.8,25.4,21.9,62.5,13.0,0.26
9,16,18.3,24.3,21.3,63.5,12.6,0.29
9,17,17.7,23.5,20.7,70.3,11.2,0.27
9,18,17.0,21.8,19.5,75.0,10.3,0.22
9,19,16.0,19.5,17.7,84.0,9.2,0.19
9,20,15.2,18.2,16.9,86.5,8.3,0.17
9,21,14.5,17.7,16.1,88.5,7.4,0.22
9,22,14.0,17.2,15.7,90.5,7.0,0.16
9,23,13.4,17.0,15.2,92.0,6.1,0.14
10,0,10.6,15.5,13.1,94.0,8.3,0.34
10,1,10.4,15.1,13.0,94.5,8.3,0.32
10,2,10.2,15.1,12.6,95.0,8.3,0.35
10,3,9.7,15.1,12.5,94.5,9.2,0.39
10,4,9.9,15.1,12.4,94.0,9.2,0.42
10,5,9.7,15.2,12.5,94.5,9.2,0.35
10,6,9.6,15.1,12.5,93.5,8.3,0.36
10,7,9.7,15.1,12.6,93.5,8.5,0.4
10,8,10.6,15.1,13.1,93.5,8.3,0.45
10,9,12.2,16.0,14.2,89.5,9.4,0.5
10,10,13.2,17.1,15.2,85.5,10.3,0.49
10,11,14.0,18.0,15.7,82.5,12.1,0.48
10,12,14.6,19.1,16.7,80.0,13.0,0.47
10,13,14.4,20.0,17.1,77.5,11.9,0.45
10,14,14.3,20.2,17.3,77.5,13.0,0.46
10,15,14.6,20.1,17.4,78.0,12.1,0.4
10,16,14.1,19.7,16.7,79.5,12.1,0.43
10,17,13.4,18.2,16.2,80.5,11.2,0.42
10,18,12.5,16.7,14.7,87.0,10.3,0.34
10,19,12.2,16.0,14.2,89.0,9.4,0.36
10,20,11.9,15.5,13.9,91.0,9.4,0.33
10,21,12.0,15.5,13.6,91.0,8.3,0.34
10,22,11.6,15.6,13.4,93.0,9.2,0.33
10,23,11.0,15.5,13.1,94.0,8.3,0.41
11,0,7.6,12.9,10.0,93.3,9.3,0.3
11,1,7.7,12.6,10.1,93.5,9.2,0.33
11,2,7.2,12.7,9.9,94.3,9.4,0.31
11,3,7.1,12.3,9.6,94.0,8.4,0.34
11,4,6.8,12.4,9.6,94.0,10.1,0.33
11,5,6.8,12.1,9.5,94.3,10.2,0.34
11,6,7.0,12.1,9.3,94.8,9.6,0.28
11,7,6.8,11.8,9.4,94.3,8.3,0.28
11,8,7.2,12.0,9.5,93.8,9.2,0.28
11,9,8.0,12.7,10.5,93.0,10.1,0.31
11,10,9.1,13.4,11.4,88.5,10.8,0.32
11,11,10.1,14.6,12.4,84.8,12.1,0.33
11,12,11.0,14.6,12.6,83.3,13.5,0.38
11,13,11.2,15.7,13.4,80.3,14.4,0.34
11,14,11.4,15.3,13.1,78.8,13.9,0.38
11,15,11.1,15.5,13.0,80.0,11.9,0.31
11,16,10.5,15.5,12.8,82.8,11.6,0.3
11,17,9.8,14.2,12.0,87.8,9.6,0.28
11,18,9.1,13.6,11.4,89.3,10.1,0.26
11,19,8.9,13.2,11.1,89.5,10.2,0.24
11,20,8.4,13.0,10.6,91.8,9.6,0.25
11,21,7.8,12.9,10.4,93.0,10.2,0.29
11,22,8.0,12.6,10.3,92.0,10.1,0.29
11,23,7.7,12.7,10.1,93.5,10.2,0.35
12,0,6.0,10.9,8.4,93.5,10.1,0.26
12,1,5.7,11.0,8.5,94.0,10.1,0.28
12,2,5.0,11.1,8.2,94.5,10.1,0.29
12,3,5.4,11.1,8.4,94.5,9.2,0.29
12,4,5.2,11.0,8.1,95.0,9.2,0.3
12,5,5.2,10.8,8.0,94.5,9.2,0.28
12,6,5.3,10.7,8.0,94.5,10.1,0.29
12,7,5.0,10.6,7.8,94.5,9.2,0.26
12,8,5.0,10.5,7.6,94.5,9.2,0.22
12,9,5.7,11.0,8.1,93.0,8.3,0.24
12,10,7.2,11.5,9.0,90.5,11.0,0.25
12,11,8.1,12.3,10.0,88.0,11.2,0.29
12,12,9.1,13.0,11.1,86.5,11.9,0.31
12,13,9.9,13.8,11.8,82.5,13.0,0.31
12,14,9.9,14.0,11.9,82.5,13.0,0.29
12,15,9.7,14.0,11.6,83.0,13.0,0.3
12,16,9.1,13.0,11.0,85.0,11.0,0.27
12,17,8.3,11.7,10.1,89.0,11.0,0.29
12,18,7.8,11.2,9.7,91.5,10.1,0.28
12,19,7.2,11.0,9.3,91.5,11.0,0.29
12,20,7.0,11.0,9.1,92.5,9.2,0.31
12,21,6.9,11.0,9.0,93.0,11.0,0.26
12,22,6.4,11.0,8.7,92.5,11.0,0.25
12,23,6.0,11.0,8.5,93.5,10.3,0.24
