m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,3.0,10.2,6.4,94.0,9.2,0.3
1,1,1,2.7,10.2,5.9,94.3,7.0,0.3
1,1,2,2.0,9.8,5.8,94.5,8.8,0.3
1,1,3,1.6,10.2,5.7,94.3,7.4,0.33
1,1,4,1.4,9.9,5.6,93.5,7.4,0.4
1,1,5,2.3,9.3,6.1,93.8,7.4,0.4
1,1,6,1.9,9.6,6.3,93.8,8.9,0.43
1,1,7,1.7,9.8,6.2,94.0,8.3,0.4
1,1,8,1.8,10.4,6.3,94.0,7.9,0.37
1,1,9,2.6,10.4,6.9,92.5,8.8,0.37
1,1,10,4.6,10.8,7.8,90.3,10.1,0.33
1,1,11,6.1,11.1,8.8,87.8,10.6,0.4
1,1,12,7.6,11.6,9.6,86.5,12.1,0.4
1,1,13,8.1,12.1,10.3,83.3,11.5,0.47
1,1,14,8.6,12.8,10.5,80.3,13.0,0.47
1,1,15,8.7,12.5,10.6,80.0,12.0,0.5
1,1,16,8.3,12.4,10.2,81.0,11.9,0.53
1,1,17,7.3,11.7,9.1,84.8,10.6,0.43
1,1,18,6.3,11.1,8.0,88.8,10.1,0.33
1,1,19,5.3,10.9,7.8,90.3,9.6,0.33
1,1,20,4.4,11.1,7.5,92.3,10.1,0.4
1,1,21,4.3,10.9,7.4,93.0,10.1,0.37
1,1,22,3.9,10.9,7.2,93.0,10.2,0.33
1,1,23,3.2,10.9,7.0,92.5,9.6,0.33
1,2,0,3.4,9.6,6.7,89.3,10.2,0.3
1,2,1,3.8,9.6,6.8,88.8,11.0,0.33
1,2,2,3.5,9.3,6.5,90.8,9.9,0.3
1,2,3,3.0,9.1,6.1,90.5,8.8,0.27
1,2,4,2.8,9.1,6.1,89.3,10.7,0.3
1,2,5,3.3,9.4,6.1,90.8,10.3,0.2
1,2,6,2.8,9.3,5.8,88.8,8.8,0.2
1,2,7,2.6,8.6,5.4,89.0,9.6,0.27
1,2,8,2.8,8.4,5.5,88.3,7.9,0.43
1,2,9,3.5,8.6,6.0,88.8,8.4,0.5
1,2,10,5.5,9.4,7.2,85.5,10.6,0.37
1,2,11,6.8,10.8,8.6,81.3,11.6,0.34
1,2,12,7.9,11.5,9.6,78.3,12.5,0.4
1,2,13,8.6,12.3,10.3,76.0,13.5,0.4
1,2,14,9.5,12.8,11.0,73.5,12.4,0.43
1,2,15,9.4,12.7,11.0,74.8,10.1,0.4
1,2,16,9.1,12.1,10.9,77.0,10.2,0.3
1,2,17,7.7,11.2,9.6,79.5,8.3,0.27
1,2,18,6.8,10.7,8.4,83.3,9.8,0.2
1,2,19,6.3,10.0,7.8,86.3,8.8,0.33
1,2,20,5.7,10.2,7.6,88.0,8.0,0.37
1,2,21,5.1,10.1,7.6,88.5,12.0,0.23
1,2,22,4.8,10.0,7.2,90.8,10.1,0.23
1,2,23,3.9,10.0,6.7,89.3,10.6,0.3
1,3,0,4.2,10.6,7.6,91.0,11.0,0.18
1,3,1,4.5,10.3,7.6,92.0,11.0,0.27
1,3,2,3.8,10.2,7.3,91.0,12.8,0.33
1,3,3,3.4,10.7,7.1,90.5,11.9,0.24
1,3,4,3.2,10.5,6.9,90.5,13.0,0.27
1,3,5,3.6,10.1,6.9,93.0,12.7,0.27
1,3,6,2.9,10.0,6.6,90.5,10.3,0.21
1,3,7,3.1,10.7,7.1,90.5,9.4,0.18
1,3,8,3.5,10.1,6.9,90.5,11.0,0.15
1,3,9,4.1,10.4,7.0,88.5,11.0,0.18
1,3,10,5.9,11.4,8.4,87.5,11.2,0.15
1,3,11,8.0,12.4,9.7,84.0,13.0,0.27
1,3,12,9.0,13.0,11.1,80.0,13.9,0.24
1,3,13,9.7,13.0,11.3,78.0,13.9,0.27
1,3,14,10.0,13.6,11.9,76.0,14.1,0.27
1,3,15,9.9,13.7,11.6,75.5,13.9,0.27
1,3,16,9.0,13.9,11.5,77.5,13.0,0.3
1,3,17,8.6,13.0,10.5,80.0,12.1,0.21
1,3,18,7.6,12.3,10.0,83.5,11.0,0.18
1,3,19,6.6,12.0,9.3,86.0,11.8,0.24
1,3,20,6.0,11.8,8.8,86.0,11.9,0.18
1,3,21,5.7,11.8,8.8,88.5,11.0,0.21
1,3,22,5.0,11.5,8.3,88.5,11.2,0.15
1,3,23,4.7,11.0,8.0,90.5,9.2,0.12
2,1,0,4.9,9.9,7.4,93.3,10.1,0.13
2,1,1,4.9,9.6,7.5,95.0,8.9,0.1
2,1,2,3.9,9.6,7.3,94.5,7.9,0.1
2,1,3,3.5,10.2,6.7,92.8,7.9,0.17
2,1,4,3.6,9.8,6.5,94.3,7.4,0.2
2,1,5,3.2,10.2,6.4,95.3,8.8,0.2
2,1,6,3.6,9.9,6.4,94.3,8.8,0.17
2,1,7,3.6,9.6,6.2,92.3,7.9,0.23
2,1,8,3.6,9.1,6.4,93.0,7.4,0.17
2,1,9,5.1,10.6,7.4,90.3,7.8,0.13
2,1,10,7.0,11.0,9.2,85.5,8.8,0.13
2,1,11,9.1,12.1,10.5,77.5,11.6,0.2
2,1,12,9.8,13.0,11.4,75.0,12.8,0.23
2,1,13,10.6,14.1,12.7,70.3,14.8,0.17
2,1,14,10.5,14.5,13.0,68.8,13.7,0.2
2,1,15,10.5,14.2,12.6,67.3,13.6,0.23
2,1,16,9.8,14.2,12.4,68.3,12.4,0.17
2,1,17,9.4,13.7,11.6,75.3,10.6,0.13
2,1,18,8.4,12.1,10.5,79.8,10.6,0.1
2,1,19,7.8,11.7,9.7,84.5,9.8,0.1
2,1,20,6.3,10.8,8.8,85.8,11.6,0.07
2,1,21,5.8,10.6,8.5,88.8,9.3,0.1
2,1,22,5.8,10.1,7.8,88.5,9.8,0.13
2,1,23,5.0,10.0,7.8,91.3,8.0,0.07
2,2,0,6.3,11.4,8.6,91.3,9.2,0.03
2,2,1,6.1,11.0,8.4,92.3,10.7,0.03
2,2,2,6.3,10.9,8.1,91.0,9.8,0.13
2,2,3,6.2,11.0,8.5,90.3,8.5,0.1
2,2,4,5.4,11.0,7.9,88.5,9.6,0.07
2,2,5,5.7,10.9,7.9,90.5,10.2,0.1
2,2,6,5.8,10.9,7.9,90.5,9.8,0.03
2,2,7,5.8,10.7,7.8,90.8,9.6,0.13
2,2,8,6.1,10.7,7.9,92.0,9.8,0.2
2,2,9,6.5,11.1,8.5,89.5,9.9,0.13
2,2,10,8.6,12.1,10.2,84.3,11.2,0.2
