m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,4.8,9.6,16.1,6.8,3.0,0.33,6.0
1,2,4.9,9.6,16.0,7.7,2.0,0.23,8.0
1,3,8.0,12.1,17.4,8.7,4.0,0.34,13.0
2,1,6.9,11.6,18.4,8.0,2.0,0.21,15.0
2,2,8.8,13.8,20.5,7.5,1.0,0.11,3.0
2,3,8.1,13.4,19.9,10.6,2.0,0.23,1.0
3,1,8.8,13.5,18.5,10.1,4.0,0.44,24.0
3,2,10.1,15.4,21.6,10.2,3.0,0.28,19.0
3,3,10.4,16.0,22.1,11.8,3.0,0.3,19.0
4,1,10.7,15.9,21.6,10.6,3.0,0.33,13.0
4,2,12.3,18.0,24.4,10.0,2.0,0.2,10.0
4,3,12.4,18.0,23.3,11.4,3.0,0.35,13.0
5,1,14.1,20.7,27.4,10.7,1.0,0.13,3.0
5,2,14.7,21.4,28.9,12.1,1.0,0.13,1.0
5,3,16.3,23.0,29.5,10.8,1.0,0.13,1.0
6,1,17.3,23.9,30.5,12.7,1.0,0.1,1.0
6,2,17.8,23.6,29.8,12.1,1.0,0.1,0.0
6,3,19.1,25.4,32.0,12.9,0.0,0.01,0.0
7,1,19.8,26.8,33.9,12.4,0.0,0.01,0.0
7,2,21.5,28.5,35.8,13.0,0.0,0.03,0.0
7,3,21.4,28.7,35.8,11.9,0.0,0.01,0.0
8,1,21.6,28.9,36.3,11.7,0.0,0.03,0.0
8,2,20.9,28.1,35.2,11.2,0.0,0.01,0.0
8,3,21.2,28.5,35.3,10.6,0.0,0.01,0.0
9,1,19.7,25.8,32.5,10.3,0.0,0.04,0.0
9,2,19.6,24.8,30.4,9.6,2.0,0.23,3.0
9,3,17.6,23.4,30.6,9.2,1.0,0.11,1.0
10,1,17.0,23.1,31.1,7.9,1.0,0.09,0.0
10,2,16.4,20.4,27.0,9.3,3.0,0.32,22.0
10,3,13.8,17.9,23.1,9.1,4.0,0.32,30.0
11,1,11.3,15.7,22.0,8.5,3.0,0.3,10.0
11,2,11.2,15.5,22.0,8.3,4.0,0.37,7.0
11,3,8.4,13.1,18.7,8.7,3.0,0.33,12.0
12,1,8.3,12.1,17.8,7.7,3.0,0.29,6.0
12,2,8.2,12.0,17.7,7.5,3.0,0.33,14.0
12,3,7.4,11.6,17.7,9.0,2.0,0.17,1.0
