m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,5.6,9.2,14.5,15.4,2.0,0.22,7.0
1,2,4.8,8.7,13.9,16.3,2.0,0.16,11.0
1,3,5.8,10.0,15.6,14.8,1.0,0.13,3.0
2,1,7.2,10.7,15.9,15.3,2.0,0.22,2.0
2,2,7.4,11.0,15.7,13.5,1.0,0.15,2.0
2,3,8.4,11.8,16.2,14.0,2.0,0.23,4.0
3,1,8.5,12.1,16.4,15.8,3.0,0.27,12.0
3,2,9.8,12.9,16.5,15.2,2.0,0.19,3.0
3,3,9.4,12.8,17.6,16.5,3.0,0.23,7.0
4,1,9.6,13.2,17.9,15.5,2.0,0.21,3.0
4,2,11.7,15.1,18.5,15.9,3.0,0.27,8.0
4,3,12.9,15.9,19.8,15.0,3.0,0.32,16.0
5,1,13.8,17.3,21.3,14.1,2.0,0.23,5.0
5,2,14.1,17.5,21.6,14.5,3.0,0.3,6.0
5,3,16.3,19.5,23.5,13.7,2.0,0.17,11.0
6,1,18.0,20.6,24.9,14.1,2.0,0.25,6.0
6,2,19.4,22.5,27.0,14.4,2.0,0.2,13.0
6,3,21.0,23.9,27.4,13.8,1.0,0.14,0.0
7,1,21.9,24.9,28.5,14.1,1.0,0.13,1.0
7,2,22.6,25.3,29.4,13.3,2.0,0.17,2.0
7,3,23.3,26.0,30.1,14.0,1.0,0.13,1.0
8,1,23.3,26.2,30.6,14.8,1.0,0.12,2.0
8,2,23.3,26.0,30.1,14.2,2.0,0.17,2.0
8,3,22.9,25.3,29.8,13.7,3.0,0.25,5.0
9,1,20.9,24.0,28.1,14.5,4.0,0.37,39.0
9,2,20.0,23.2,27.6,13.5,3.0,0.33,16.0
9,3,17.8,21.2,25.5,15.1,2.0,0.19,6.0
10,1,16.9,19.8,24.4,14.7,2.0,0.23,11.0
10,2,15.9,19.3,23.9,14.0,2.0,0.19,16.0
10,3,14.2,17.6,22.2,14.3,4.0,0.32,10.0
11,1,12.3,15.8,20.1,15.3,3.0,0.33,13.0
11,2,11.6,14.3,18.4,13.9,2.0,0.22,5.0
11,3,8.9,12.4,17.4,14.6,2.0,0.23,4.0
12,1,7.4,10.9,15.9,15.5,2.0,0.19,2.0
12,2,7.8,11.3,16.0,14.3,2.0,0.21,5.0
12,3,7.1,10.8,16.5,15.1,0.0,0.04,0.0
