m,m3,coco,coco_pct
1,1,23.0,0.0
7,1,12.0,0.0
10,2,1.0,0.108
6,1,9.0,0.001
8,1,15.0,0.0
1,1,7.0,0.048
7,1,9.0,0.0
6,2,21.0,0.0
4,3,3.0,0.241
6,1,1.0,0.113
9,3,14.0,0.0
4,1,14.0,0.0
7,3,5.0,0.0
11,1,18.0,0.005
6,1,26.0,0.001
1,1,25.0,0.0
5,2,7.0,0.03
2,1,4.0,0.028
9,1,18.0,0.002
10,3,9.0,0.018
6,2,17.0,0.0
5,1,5.0,0.011
2,2,9.0,0.0
1,1,9.0,0.0
9,1,14.0,0.0
12,2,8.0,0.025
8,3,5.0,0.0
12,2,26.0,0.0
2,3,25.0,0.0
2,1,3.0,0.128
5,3,17.0,0.004
10,1,23.0,0.001
1,2,25.0,0.0
3,3,7.0,0.08
2,3,5.0,0.021
11,2,4.0,0.033
3,1,8.0,0.016
3,1,5.0,0.008
11,3,15.0,0.0
3,1,17.0,0.001
5,2,15.0,0.0
3,1,3.0,0.167
9,2,1.0,0.14
10,1,1.0,0.145
12,1,26.0,0.0
1,2,9.0,0.003
7,3,4.0,0.006
2,1,26.0,0.0
12,2,1.0,0.263
3,3,9.0,0.003
9,2,21.0,0.0
10,1,14.0,0.0
10,1,21.0,0.0
4,2,9.0,0.001
11,1,26.0,0.0
10,1,3.0,0.137
4,1,26.0,0.0
2,1,14.0,0.0
6,1,8.0,0.012
3,1,23.0,0.0
9,3,15.0,0.0
6,1,7.0,0.038
1,3,12.0,0.0
7,2,4.0,0.01
1,2,18.0,0.0
9,2,18.0,0.001
7,3,7.0,0.009
5,1,21.0,0.0
4,3,4.0,0.044
12,3,23.0,0.0
6,1,17.0,0.008
4,3,26.0,0.0
10,1,7.0,0.044
7,1,15.0,0.0
9,3,7.0,0.032
12,1,9.0,0.003
12,1,2.0,0.645
2,2,19.0,0.0
2,2,18.0,0.0
7,3,3.0,0.066
9,1,19.0,0.0
8,1,3.0,0.082
6,3,9.0,0.0
5,2,26.0,0.0
11,1,14.0,0.0
3,2,25.0,0.0
12,3,2.0,0.497
10,2,17.0,0.002
3,1,14.0,0.0
7,3,9.0,0.0
11,1,12.0,0.0
12,3,25.0,0.0
6,1,23.0,0.0
2,3,8.0,0.004
5,3,15.0,0.0
4,2,7.0,0.054
6,1,3.0,0.12
8,3,9.0,0.006
2,2,8.0,0.001
10,2,19.0,0.0
11,3,26.0,0.001
10,3,18.0,0.003
7,3,19.0,0.0
2,3,26.0,0.0
9,2,25.0,0.01
2,2,26.0,0.0
3,2,1.0,0.159
12,1,4.0,0.026
9,1,2.0,0.576
4,3,7.0,0.07
8,1,8.0,0.002
11,1,2.0,0.6
8,2,12.0,0.0
1,3,21.0,0.0
10,1,19.0,0.001
4,3,8.0,0.027
8,2,17.0,0.001
4,1,21.0,0.0
10,3,5.0,0.002
8,1,21.0,0.0
10,2,8.0,0.029
9,3,21.0,0.0
1,2,8.0,0.013
6,3,18.0,0.001
8,2,15.0,0.0
2,3,21.0,0.0
9,3,26.0,0.0
4,1,4.0,0.044
3,3,1.0,0.219
7,1,5.0,0.003
2,3,3.0,0.172
5,2,1.0,0.199
1,2,15.0,0.0
1,1,4.0,0.039
9,3,19.0,0.0
6,3,17.0,0.0
8,2,8.0,0.01
5,3,1.0,0.154
8,3,25.0,0.01
2,1,19.0,0.0
1,2,2.0,0.43
11,3,3.0,0.135
1,3,1.0,0.298
5,3,2.0,0.654
2,1,9.0,0.007
8,1,26.0,0.0
12,3,5.0,0.014
3,3,25.0,0.002
12,2,25.0,0.0
6,3,5.0,0.005
12,3,21.0,0.0
12,1,18.0,0.0
11,3,23.0,0.0
4,2,19.0,0.0
1,3,9.0,0.001
7,1,14.0,0.0
6,2,25.0,0.002
1,1,2.0,0.452
9,2,8.0,0.011
1,3,14.0,0.0
3,1,2.0,0.554
10,3,14.0,0.0
11,1,3.0,0.133
8,1,4.0,0.01
3,1,19.0,0.0
10,3,15.0,0.0
5,3,9.0,0.007
3,2,18.0,0.0
1,3,19.0,0.0
5,2,25.0,0.002
11,3,1.0,0.17
5,1,25.0,0.007
11,2,2.0,0.599
7,3,23.0,0.001
5,1,9.0,0.005
7,2,23.0,0.0
2,3,1.0,0.288
5,2,4.0,0.025
5,1,2.0,0.671
5,2,8.0,0.013
11,2,18.0,0.0
8,3,2.0,0.657
2,1,12.0,0.0
2,2,15.0,0.0
12,2,4.0,0.035
1,1,1.0,0.331
12,2,23.0,0.0
2,3,12.0,0.002
3,3,15.0,0.0
1,3,26.0,0.0
2,3,15.0,0.001
5,3,18.0,0.0
5,3,3.0,0.116
11,3,19.0,0.0
10,2,9.0,0.011
9,2,2.0,0.603
1,2,26.0,0.0
4,2,12.0,0.0
5,1,17.0,0.002
3,2,5.0,0.023
5,2,23.0,0.001
6,2,9.0,0.003
10,1,15.0,0.0
4,2,23.0,0.0
9,3,25.0,0.002
11,1,25.0,0.001
6,3,8.0,0.004
9,3,23.0,0.001
8,2,3.0,0.09
11,1,19.0,0.0
4,3,18.0,0.001
2,1,2.0,0.452
6,3,14.0,0.0
1,3,25.0,0.002
6,2,23.0,0.0
12,1,14.0,0.0
10,3,7.0,0.053
5,3,23.0,0.001
4,1,17.0,0.005
5,1,7.0,0.026
5,2,19.0,0.0
7,2,25.0,0.002
9,1,5.0,0.0
2,2,12.0,0.0
9,2,14.0,0.0
11,1,4.0,0.03
12,3,7.0,0.001
10,2,25.0,0.005
7,2,21.0,0.0
7,3,8.0,0.002
10,3,4.0,0.023
9,1,3.0,0.181
7,3,12.0,0.0
9,2,23.0,0.0
10,1,5.0,0.001
3,2,23.0,0.0
5,3,25.0,0.001
4,2,8.0,0.035
8,3,21.0,0.0
5,1,18.0,0.001
1,2,17.0,0.003
9,2,5.0,0.0
9,2,7.0,0.054
12,3,14.0,0.0
6,1,15.0,0.0
9,3,8.0,0.007
8,3,18.0,0.001
7,2,1.0,0.437
7,2,18.0,0.0
9,2,17.0,0.001
6,3,25.0,0.001
3,1,9.0,0.0
10,2,12.0,0.0
1,1,26.0,0.0
11,1,21.0,0.0
6,2,26.0,0.0
8,1,25.0,0.007
7,3,14.0,0.0
4,1,2.0,0.624
3,2,14.0,0.0
6,3,12.0,0.0
4,1,9.0,0.002
11,3,18.0,0.001
12,1,25.0,0.0
