m,coco,coco_pct
4,5.0,0.009
2,9.0,0.004
9,8.0,0.016
10,12.0,0.0
8,26.0,0.001
5,12.0,0.0
1,2.0,0.429
11,25.0,0.002
8,3.0,0.149
1,25.0,0.001
8,8.0,0.007
6,15.0,0.0
9,7.0,0.036
12,7.0,0.028
12,4.0,0.114
7,4.0,0.02
4,25.0,0.001
9,5.0,0.001
10,15.0,0.0
7,7.0,0.008
5,17.0,0.001
3,1.0,0.135
9,3.0,0.21
11,4.0,0.108
10,14.0,0.0
12,8.0,0.007
7,3.0,0.114
11,2.0,0.522
8,4.0,0.026
2,4.0,0.086
2,5.0,0.052
10,9.0,0.009
11,8.0,0.017
11,26.0,0.0
8,2.0,0.606
3,5.0,0.031
6,3.0,0.207
8,17.0,0.0
10,18.0,0.005
3,25.0,0.0
8,18.0,0.005
4,12.0,0.0
6,1.0,0.135
2,25.0,0.0
12,9.0,0.0
1,4.0,0.104
12,15.0,0.0
12,12.0,0.0
4,15.0,0.0
7,5.0,0.0
4,8.0,0.016
5,14.0,0.0
7,2.0,0.551
5,15.0,0.0
5,8.0,0.008
8,9.0,0.0
8,12.0,0.0
5,4.0,0.054
7,12.0,0.0
9,4.0,0.05
5,7.0,0.042
10,1.0,0.127
7,15.0,0.0
5,1.0,0.079
12,2.0,0.502
7,18.0,0.002
10,2.0,0.518
7,14.0,0.0
7,8.0,0.003
9,1.0,0.109
2,17.0,0.002
6,5.0,0.004
3,2.0,0.463
1,9.0,0.003
8,25.0,0.004
3,26.0,0.0
8,5.0,0.0
1,7.0,0.029
12,26.0,0.0
7,1.0,0.3
6,26.0,0.0
9,2.0,0.564
12,1.0,0.192
7,9.0,0.0
4,17.0,0.001
6,18.0,0.004
9,17.0,0.002
11,15.0,0.0
6,8.0,0.005
4,3.0,0.246
2,7.0,0.029
1,12.0,0.0
11,17.0,0.001
7,26.0,0.0
6,9.0,0.0
3,15.0,0.0
4,9.0,0.005
4,1.0,0.091
1,17.0,0.0
2,8.0,0.007
1,18.0,0.001
9,9.0,0.004
10,3.0,0.205
5,9.0,0.003
5,25.0,0.001
6,2.0,0.566
6,17.0,0.002
4,4.0,0.089
9,26.0,0.0
2,1.0,0.259
1,15.0,0.0
11,1.0,0.105
10,4.0,0.055
11,7.0,0.052
3,18.0,0.0
6,14.0,0.0
9,14.0,0.0
2,18.0,0.001
4,14.0,0.0
2,14.0,0.001
4,7.0,0.062
8,1.0,0.18
12,18.0,0.0
3,12.0,0.0
3,7.0,0.063
3,14.0,0.0
6,12.0,0.0
10,8.0,0.023
2,12.0,0.0
2,2.0,0.405
4,18.0,0.001
5,18.0,0.0
3,9.0,0.002
3,3.0,0.202
9,25.0,0.004
12,17.0,0.0
4,2.0,0.479
7,25.0,0.001
2,26.0,0.0
10,25.0,0.005
1,3.0,0.119
6,4.0,0.043
5,2.0,0.602
11,5.0,0.012
11,9.0,0.001
12,25.0,0.0
9,15.0,0.0
2,3.0,0.156
3,8.0,0.009
5,26.0,0.0
5,3.0,0.198
8,7.0,0.021
11,3.0,0.177
1,26.0,0.0
1,8.0,0.011
3,17.0,0.001
11,18.0,0.003
10,26.0,0.0
6,25.0,0.001
1,14.0,0.0
10,5.0,0.005
11,14.0,0.0
5,5.0,0.013
12,3.0,0.128
6,7.0,0.033
7,17.0,0.001
9,12.0,0.0
8,14.0,0.0
8,15.0,0.0
4,26.0,0.0
10,17.0,0.001
3,4.0,0.094
2,15.0,0.0
1,1.0,0.281
12,14.0,0.0
11,12.0,0.0
12,5.0,0.029
10,7.0,0.047
9,18.0,0.005
1,5.0,0.022
