m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,2.5,9.2,5.9,76.5,11.8,0.03
1,1,2.5,9.0,5.8,76.0,10.1,0.03
1,2,2.4,8.3,5.0,77.0,10.3,0.03
1,3,1.5,8.7,4.7,77.5,11.0,0.03
1,4,1.3,8.8,4.7,79.0,10.3,0.05
1,5,1.0,8.4,4.4,78.0,10.3,0.04
1,6,0.8,8.7,4.4,78.5,10.1,0.03
1,7,0.7,8.1,4.6,80.0,9.2,0.02
1,8,1.9,8.6,5.5,77.5,11.0,0.02
1,9,5.9,11.4,8.8,70.0,8.3,0.02
1,10,8.9,13.5,11.5,57.5,12.1,0.02
1,11,10.6,15.1,12.8,52.5,14.7,0.02
1,12,11.5,16.2,13.9,50.5,16.6,0.05
1,13,12.1,16.3,14.2,49.0,16.8,0.06
1,14,12.0,16.7,14.4,49.5,16.8,0.04
1,15,11.9,15.9,13.9,50.5,15.0,0.03
1,16,10.8,14.7,12.8,56.0,15.0,0.02
1,17,8.5,12.5,10.3,64.5,11.2,0.04
1,18,6.5,11.5,8.7,69.0,9.5,0.04
1,19,5.4,10.4,7.7,72.5,10.3,0.03
1,20,4.3,10.3,7.4,73.5,12.1,0.02
1,21,3.9,9.7,7.0,76.0,11.2,0.06
1,22,3.8,9.7,6.8,74.5,10.3,0.04
1,23,3.0,9.7,6.4,75.5,11.2,0.03
2,0,6.2,10.4,8.2,80.5,9.4,0.08
2,1,5.7,9.9,7.9,79.0,10.1,0.07
2,2,4.9,10.1,7.6,79.5,9.2,0.05
2,3,4.8,9.6,7.1,80.0,9.4,0.07
2,4,4.3,9.4,6.8,81.5,8.5,0.07
2,5,3.7,9.9,7.0,81.0,9.2,0.05
2,6,3.9,9.6,6.6,81.5,9.4,0.05
2,7,3.9,10.0,6.8,83.0,8.5,0.05
2,8,6.8,10.9,8.6,77.0,8.3,0.08
2,9,10.0,13.0,11.9,67.5,8.3,0.09
2,10,12.0,15.0,13.8,60.0,9.2,0.11
2,11,13.1,16.4,15.0,55.5,11.0,0.14
2,12,14.0,17.3,15.5,53.0,13.9,0.1
2,13,14.0,17.8,15.9,51.0,13.9,0.08
2,14,14.0,18.0,16.1,53.0,14.1,0.05
2,15,13.6,17.2,15.6,55.0,15.0,0.06
2,16,13.0,16.2,15.0,59.5,13.9,0.07
2,17,11.9,14.4,13.5,66.5,10.3,0.1
2,18,10.0,13.0,11.4,74.5,8.3,0.07
2,19,8.3,12.0,10.3,78.5,7.4,0.08
2,20,7.9,11.4,9.8,78.0,8.3,0.1
2,21,7.4,11.2,9.3,79.5,8.6,0.09
2,22,6.8,11.0,8.6,80.0,9.2,0.08
2,23,6.3,10.4,8.4,80.5,9.2,0.14
3,0,7.5,11.2,9.6,76.0,11.2,0.1
3,1,7.4,11.3,9.4,76.5,12.1,0.1
3,2,7.1,11.3,9.3,76.0,12.0,0.1
3,3,7.3,11.0,9.3,77.0,10.1,0.11
3,4,6.7,11.2,9.0,76.5,11.9,0.13
3,5,6.5,11.0,8.9,77.0,11.2,0.11
3,6,6.1,10.9,8.6,78.0,9.4,0.1
3,7,7.5,11.6,9.7,77.0,10.1,0.08
3,8,10.2,13.5,12.1,67.5,10.1,0.09
3,9,11.7,15.6,13.7,60.5,13.0,0.1
3,10,13.4,17.1,15.6,54.5,15.0,0.11
3,11,14.0,18.3,16.4,51.0,16.8,0.1
3,12,14.3,18.8,16.5,50.5,18.6,0.12
3,13,15.0,19.4,17.2,49.5,18.5,0.13
3,14,15.0,18.6,16.8,50.0,19.5,0.12
3,15,14.7,18.1,16.3,52.5,18.6,0.1
3,16,14.0,17.5,15.8,56.0,16.8,0.07
3,17,12.8,16.3,14.7,62.5,15.1,0.12
3,18,11.7,14.5,12.9,68.0,12.1,0.12
3,19,10.6,13.2,12.0,73.5,10.1,0.11
3,20,9.8,12.8,11.4,75.0,10.1,0.07
3,21,9.5,12.4,10.9,75.5,11.2,0.09
3,22,8.8,12.1,10.5,75.5,11.2,0.09
3,23,8.3,11.7,10.1,76.0,11.0,0.11
4,0,10.1,14.0,11.4,80.8,8.4,0.1
4,1,9.8,13.5,11.2,80.8,9.9,0.05
4,2,9.1,13.1,10.9,79.3,9.4,0.03
4,3,8.9,12.9,10.9,80.3,9.4,0.05
4,4,8.4,12.8,10.6,79.5,10.1,0.05
4,5,7.7,12.7,10.3,80.8,9.2,0.03
4,6,9.0,12.6,10.9,79.8,8.4,0.07
4,7,11.9,15.0,13.4,71.5,8.3,0.07
4,8,13.0,16.9,14.8,64.5,10.1,0.05
4,9,14.9,18.8,16.7,57.0,12.1,0.07
4,10,15.5,20.1,18.0,52.3,14.0,0.07
4,11,16.4,21.1,18.5,52.5,15.9,0.07
4,12,17.1,21.1,19.0,50.8,17.7,0.12
4,13,17.3,20.9,19.2,51.0,18.6,0.1
4,14,16.8,21.0,19.0,52.5,18.6,0.08
4,15,16.4,20.6,18.4,52.8,17.7,0.08
4,16,16.0,19.6,17.8,56.3,17.3,0.05
4,17,14.6,18.7,16.9,59.8,13.9,0.05
4,18,13.7,17.5,15.4,67.5,12.1,0.08
4,19,12.6,15.9,14.2,75.5,8.9,0.1
4,20,11.9,15.1,13.6,78.3,8.3,0.07
4,21,11.6,14.7,13.2,80.5,8.3,0.07
4,22,11.0,14.1,12.6,81.3,9.2,0.1
4,23,10.6,13.9,12.1,81.5,8.4,0.07
5,0,13.4,16.1,15.0,82.5,7.4,0.06
5,1,12.7,15.9,14.7,82.0,8.3,0.04
5,2,12.4,15.9,14.2,81.0,7.4,0.04
5,3,12.0,15.4,13.8,80.5,8.3,0.01
5,4,12.0,15.2,13.5,80.0,8.3,0.06
5,5,12.2,15.2,13.6,80.0,9.2,0.08
5,6,13.9,16.7,15.4,73.0,7.4,0.05
